ward,precinct,total,Mauricio Araujo,Mauricio Araujo Percent,precinct_id
1,1,312,312,100.0,01001
1,2,325,325,100.0,01002
1,3,283,283,100.0,01003
1,4,259,259,100.0,01004
1,5,365,365,100.0,01005
1,6,195,195,100.0,01006
1,7,260,260,100.0,01007
1,8,315,315,100.0,01008
1,9,246,246,100.0,01009
1,10,353,353,100.0,01010
1,11,253,253,100.0,01011
1,12,395,395,100.0,01012
1,13,367,367,100.0,01013
1,14,293,293,100.0,01014
1,15,207,207,100.0,01015
1,16,102,102,100.0,01016
1,17,262,262,100.0,01017
1,18,220,220,100.0,01018
1,19,171,171,100.0,01019
1,20,234,234,100.0,01020
1,21,246,246,100.0,01021
1,22,231,231,100.0,01022
1,23,251,251,100.0,01023
1,24,399,399,100.0,01024
1,25,235,235,100.0,01025
1,26,317,317,100.0,01026
1,27,198,198,100.0,01027
1,28,179,179,100.0,01028
1,29,280,280,100.0,01029
1,30,391,391,100.0,01030
1,31,416,416,100.0,01031
1,32,238,238,100.0,01032
1,33,294,294,100.0,01033
1,34,246,246,100.0,01034
1,35,281,281,100.0,01035
1,36,325,325,100.0,01036
1,37,260,260,100.0,01037
1,38,176,176,100.0,01038
1,39,318,318,100.0,01039
1,40,143,143,100.0,01040
1,41,207,207,100.0,01041
1,42,218,218,100.0,01042
1,43,220,220,100.0,01043
1,44,271,271,100.0,01044
1,45,272,272,100.0,01045
1,46,303,303,100.0,01046
1,47,315,315,100.0,01047
1,48,149,149,100.0,01048
1,49,190,190,100.0,01049
1,50,230,230,100.0,01050
26,1,155,155,100.0,26001
26,3,172,172,100.0,26003
26,4,159,159,100.0,26004
26,5,213,213,100.0,26005
26,6,99,99,100.0,26006
26,7,150,150,100.0,26007
26,8,146,146,100.0,26008
26,9,148,148,100.0,26009
26,10,118,118,100.0,26010
26,11,166,166,100.0,26011
26,12,137,137,100.0,26012
26,13,176,176,100.0,26013
26,14,156,156,100.0,26014
26,15,154,154,100.0,26015
26,16,125,125,100.0,26016
26,18,115,115,100.0,26018
26,19,304,304,100.0,26019
26,20,252,252,100.0,26020
26,21,216,216,100.0,26021
26,22,144,144,100.0,26022
26,23,138,138,100.0,26023
26,24,160,160,100.0,26024
26,25,64,64,100.0,26025
26,26,137,137,100.0,26026
26,27,155,155,100.0,26027
26,28,71,71,100.0,26028
26,29,121,121,100.0,26029
26,30,191,191,100.0,26030
26,31,106,106,100.0,26031
26,32,236,236,100.0,26032
26,34,197,197,100.0,26034
26,35,198,198,100.0,26035
26,36,146,146,100.0,26036
26,37,107,107,100.0,26037
26,38,167,167,100.0,26038
26,39,167,167,100.0,26039
26,40,110,110,100.0,26040
26,41,148,148,100.0,26041
26,42,195,195,100.0,26042
26,43,147,147,100.0,26043
26,44,103,103,100.0,26044
26,45,195,195,100.0,26045
26,46,180,180,100.0,26046
26,47,116,116,100.0,26047
26,48,188,188,100.0,26048
26,49,124,124,100.0,26049
26,50,117,117,100.0,26050
26,51,165,165,100.0,26051
26,52,87,87,100.0,26052
26,53,154,154,100.0,26053
26,54,152,152,100.0,26054
26,55,101,101,100.0,26055
26,56,165,165,100.0,26056
26,57,104,104,100.0,26057
26,58,133,133,100.0,26058
26,59,168,168,100.0,26059
26,60,174,174,100.0,26060
26,61,111,111,100.0,26061
26,62,205,205,100.0,26062
26,63,64,64,100.0,26063
27,4,172,172,100.0,27004
27,10,326,326,100.0,27010
27,11,161,161,100.0,27011
27,13,225,225,100.0,27013
27,15,2,2,100.0,27015
27,18,236,236,100.0,27018
27,27,6,6,100.0,27027
27,30,156,156,100.0,27030
27,32,175,175,100.0,27032
27,35,271,271,100.0,27035
27,38,217,217,100.0,27038
27,41,288,288,100.0,27041
27,50,48,48,100.0,27050
27,53,184,184,100.0,27053
27,54,391,391,100.0,27054
27,56,203,203,100.0,27056
27,59,245,245,100.0,27059
29,7,40,40,100.0,29007
30,4,205,205,100.0,30004
30,5,129,129,100.0,30005
30,19,136,136,100.0,30019
30,20,162,162,100.0,30020
30,21,251,251,100.0,30021
30,22,210,210,100.0,30022
30,23,190,190,100.0,30023
30,24,195,195,100.0,30024
30,26,146,146,100.0,30026
30,27,270,270,100.0,30027
30,29,123,123,100.0,30029
30,31,152,152,100.0,30031
30,32,76,76,100.0,30032
30,33,134,134,100.0,30033
30,35,215,215,100.0,30035
30,40,212,212,100.0,30040
30,41,230,230,100.0,30041
31,1,106,106,100.0,31001
31,2,131,131,100.0,31002
31,4,151,151,100.0,31004
31,5,177,177,100.0,31005
31,6,165,165,100.0,31006
31,7,158,158,100.0,31007
31,9,28,28,100.0,31009
31,10,97,97,100.0,31010
31,11,130,130,100.0,31011
31,12,168,168,100.0,31012
31,13,187,187,100.0,31013
31,14,149,149,100.0,31014
31,17,184,184,100.0,31017
31,18,116,116,100.0,31018
31,19,151,151,100.0,31019
31,20,141,141,100.0,31020
31,21,203,203,100.0,31021
31,22,129,129,100.0,31022
31,23,115,115,100.0,31023
31,24,150,150,100.0,31024
31,25,182,182,100.0,31025
31,27,142,142,100.0,31027
31,28,178,178,100.0,31028
31,30,181,181,100.0,31030
31,31,222,222,100.0,31031
31,32,177,177,100.0,31032
31,33,162,162,100.0,31033
31,34,146,146,100.0,31034
31,35,128,128,100.0,31035
31,36,205,205,100.0,31036
31,37,167,167,100.0,31037
31,38,8,8,100.0,31038
31,39,97,97,100.0,31039
31,40,103,103,100.0,31040
31,41,182,182,100.0,31041
31,42,175,175,100.0,31042
31,44,168,168,100.0,31044
31,46,170,170,100.0,31046
31,47,195,195,100.0,31047
31,48,157,157,100.0,31048
31,49,89,89,100.0,31049
31,50,191,191,100.0,31050
31,51,105,105,100.0,31051
32,1,344,344,100.0,32001
32,2,376,376,100.0,32002
32,3,307,307,100.0,32003
32,4,324,324,100.0,32004
32,5,233,233,100.0,32005
32,6,286,286,100.0,32006
32,9,215,215,100.0,32009
32,11,279,279,100.0,32011
32,12,223,223,100.0,32012
32,14,282,282,100.0,32014
32,15,175,175,100.0,32015
32,16,301,301,100.0,32016
32,17,386,386,100.0,32017
32,19,131,131,100.0,32019
32,20,174,174,100.0,32020
32,24,383,383,100.0,32024
32,26,236,236,100.0,32026
32,27,109,109,100.0,32027
32,28,284,284,100.0,32028
32,29,262,262,100.0,32029
32,30,353,353,100.0,32030
32,31,371,371,100.0,32031
32,33,176,176,100.0,32033
32,34,401,401,100.0,32034
32,35,341,341,100.0,32035
32,36,385,385,100.0,32036
32,40,350,350,100.0,32040
32,41,346,346,100.0,32041
32,42,382,382,100.0,32042
32,45,286,286,100.0,32045
32,46,121,121,100.0,32046
32,52,209,209,100.0,32052
33,1,354,354,100.0,33001
33,2,347,347,100.0,33002
33,3,357,357,100.0,33003
33,4,383,383,100.0,33004
33,6,339,339,100.0,33006
33,7,365,365,100.0,33007
33,8,315,315,100.0,33008
33,10,244,244,100.0,33010
33,11,380,380,100.0,33011
33,12,384,384,100.0,33012
33,13,348,348,100.0,33013
33,15,364,364,100.0,33015
33,16,298,298,100.0,33016
33,17,366,366,100.0,33017
33,19,387,387,100.0,33019
33,20,331,331,100.0,33020
33,21,396,396,100.0,33021
33,22,354,354,100.0,33022
33,23,365,365,100.0,33023
33,24,324,324,100.0,33024
33,25,431,431,100.0,33025
33,26,408,408,100.0,33026
33,27,365,365,100.0,33027
35,1,314,314,100.0,35001
35,2,232,232,100.0,35002
35,3,283,283,100.0,35003
35,4,294,294,100.0,35004
35,5,264,264,100.0,35005
35,6,308,308,100.0,35006
35,7,336,336,100.0,35007
35,8,266,266,100.0,35008
35,9,305,305,100.0,35009
35,10,310,310,100.0,35010
35,11,276,276,100.0,35011
35,12,345,345,100.0,35012
35,14,340,340,100.0,35014
35,15,249,249,100.0,35015
35,16,320,320,100.0,35016
35,17,301,301,100.0,35017
35,18,365,365,100.0,35018
35,19,317,317,100.0,35019
35,20,283,283,100.0,35020
35,21,274,274,100.0,35021
35,23,191,191,100.0,35023
35,24,156,156,100.0,35024
35,25,340,340,100.0,35025
35,26,360,360,100.0,35026
35,27,322,322,100.0,35027
35,28,390,390,100.0,35028
35,29,363,363,100.0,35029
35,30,380,380,100.0,35030
35,31,191,191,100.0,35031
35,32,141,141,100.0,35032
35,34,298,298,100.0,35034
35,35,287,287,100.0,35035
35,36,243,243,100.0,35036
37,1,208,208,100.0,37001
37,2,303,303,100.0,37002
37,3,186,186,100.0,37003
37,10,271,271,100.0,37010
37,12,275,275,100.0,37012
37,19,264,264,100.0,37019
37,22,274,274,100.0,37022
37,39,256,256,100.0,37039
37,42,203,203,100.0,37042
47,15,411,411,100.0,47015
47,21,304,304,100.0,47021
47,40,351,351,100.0,47040
