ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
24,7,303,303,100.0,24007
24,16,211,211,100.0,24016
24,41,266,266,100.0,24041
24,46,366,366,100.0,24046
28,1,324,324,100.0,28001
28,4,364,364,100.0,28004
28,8,307,307,100.0,28008
28,12,254,254,100.0,28012
28,14,217,217,100.0,28014
28,15,291,291,100.0,28015
28,17,225,225,100.0,28017
28,19,367,367,100.0,28019
28,21,384,384,100.0,28021
28,27,399,399,100.0,28027
28,39,292,292,100.0,28039
28,40,375,375,100.0,28040
28,41,338,338,100.0,28041
28,42,280,280,100.0,28042
28,45,347,347,100.0,28045
28,46,287,287,100.0,28046
28,51,264,264,100.0,28051
28,55,286,286,100.0,28055
28,56,302,302,100.0,28056
28,57,253,253,100.0,28057
28,58,345,345,100.0,28058
28,60,207,207,100.0,28060
29,1,674,674,100.0,29001
29,3,461,461,100.0,29003
29,12,431,431,100.0,29012
29,14,425,425,100.0,29014
29,15,371,371,100.0,29015
29,17,302,302,100.0,29017
29,22,313,313,100.0,29022
29,25,435,435,100.0,29025
29,28,481,481,100.0,29028
29,31,376,376,100.0,29031
29,34,261,261,100.0,29034
29,36,495,495,100.0,29036
29,38,333,333,100.0,29038
29,42,461,461,100.0,29042
29,49,549,549,100.0,29049
37,2,290,290,100.0,37002
37,10,354,354,100.0,37010
37,14,495,495,100.0,37014
37,15,450,450,100.0,37015
37,16,385,385,100.0,37016
37,20,413,413,100.0,37020
37,21,422,422,100.0,37021
37,22,324,324,100.0,37022
37,23,314,314,100.0,37023
37,24,428,428,100.0,37024
37,25,449,449,100.0,37025
37,26,449,449,100.0,37026
37,27,440,440,100.0,37027
37,30,239,239,100.0,37030
37,31,393,393,100.0,37031
37,33,349,349,100.0,37033
37,34,411,411,100.0,37034
37,36,417,417,100.0,37036
37,40,396,396,100.0,37040
37,41,429,429,100.0,37041
37,43,364,364,100.0,37043
