ward,precinct,total,Heather Steans,Heather Steans Percent,Tom Durkin,Tom Durkin Percent,precinct_id
40,1,115,86,74.78,29,25.22,40001
40,2,258,202,78.29,56,21.71,40002
40,3,418,336,80.38,82,19.62,40003
40,4,333,267,80.18,66,19.82,40004
40,7,430,334,77.67,96,22.33,40007
40,9,320,267,83.44,53,16.56,40009
40,10,201,150,74.63,51,25.37,40010
40,11,368,282,76.63,86,23.37,40011
40,12,266,222,83.46,44,16.54,40012
40,13,433,350,80.83,83,19.17,40013
40,14,447,356,79.64,91,20.36,40014
40,15,373,311,83.38,62,16.62,40015
40,16,360,293,81.39,67,18.61,40016
40,18,446,385,86.32,61,13.68,40018
40,19,320,239,74.69,81,25.31,40019
40,21,340,267,78.53,73,21.47,40021
40,22,257,210,81.71,47,18.29,40022
40,23,553,448,81.01,105,18.99,40023
40,24,73,53,72.6,20,27.4,40024
40,25,286,235,82.17,51,17.83,40025
40,26,379,303,79.95,76,20.05,40026
40,27,310,252,81.29,58,18.71,40027
40,28,471,395,83.86,76,16.14,40028
40,33,397,319,80.35,78,19.65,40033
40,35,387,305,78.81,82,21.19,40035
40,36,409,331,80.93,78,19.07,40036
40,37,280,217,77.5,63,22.5,40037
40,39,303,246,81.19,57,18.81,40039
40,40,229,179,78.17,50,21.83,40040
40,41,482,394,81.74,88,18.26,40041
40,42,437,345,78.95,92,21.05,40042
40,43,441,346,78.46,95,21.54,40043
40,44,276,219,79.35,57,20.65,40044
40,45,540,425,78.7,115,21.3,40045
40,46,433,354,81.76,79,18.24,40046
40,47,387,310,80.1,77,19.9,40047
46,2,490,394,80.41,96,19.59,46002
46,4,437,356,81.46,81,18.54,46004
46,6,507,419,82.64,88,17.36,46006
46,7,353,278,78.75,75,21.25,46007
46,8,435,367,84.37,68,15.63,46008
46,9,522,412,78.93,110,21.07,46009
46,11,518,420,81.08,98,18.92,46011
46,12,552,456,82.61,96,17.39,46012
46,14,422,325,77.01,97,22.99,46014
46,16,417,317,76.02,100,23.98,46016
46,19,568,466,82.04,102,17.96,46019
46,20,352,299,84.94,53,15.06,46020
46,21,214,177,82.71,37,17.29,46021
46,22,346,255,73.7,91,26.3,46022
46,23,352,313,88.92,39,11.08,46023
46,25,555,427,76.94,128,23.06,46025
46,26,500,423,84.6,77,15.4,46026
46,27,624,467,74.84,157,25.16,46027
