ward,precinct,total,Eugene ''Gene'' Moore,Eugene ''Gene'' Moore Percent,Gregory Goldstein,Gregory Goldstein Percent,Terrence A. Gilhooly,Terrence A. Gilhooly Percent,precinct_id
1,1,442,315,71.27,69,15.61,58,13.12,01001
1,2,461,314,68.11,89,19.31,58,12.58,01002
1,3,388,279,71.91,59,15.21,50,12.89,01003
1,4,398,287,72.11,65,16.33,46,11.56,01004
1,5,495,346,69.9,90,18.18,59,11.92,01005
1,6,391,231,59.08,104,26.6,56,14.32,01006
1,7,402,272,67.66,103,25.62,27,6.72,01007
1,8,457,332,72.65,71,15.54,54,11.82,01008
1,9,335,240,71.64,48,14.33,47,14.03,01009
1,10,493,304,61.66,120,24.34,69,14.0,01010
1,11,371,264,71.16,74,19.95,33,8.89,01011
1,12,554,348,62.82,161,29.06,45,8.12,01012
1,13,500,375,75.0,54,10.8,71,14.2,01013
1,14,389,296,76.09,60,15.42,33,8.48,01014
1,15,293,230,78.5,33,11.26,30,10.24,01015
1,16,144,130,90.28,10,6.94,4,2.78,01016
1,17,350,246,70.29,64,18.29,40,11.43,01017
1,18,369,280,75.88,35,9.49,54,14.63,01018
1,19,268,194,72.39,51,19.03,23,8.58,01019
1,20,369,277,75.07,57,15.45,35,9.49,01020
1,21,353,240,67.99,83,23.51,30,8.5,01021
1,22,344,267,77.62,33,9.59,44,12.79,01022
1,23,338,239,70.71,61,18.05,38,11.24,01023
1,24,527,372,70.59,78,14.8,77,14.61,01024
1,25,345,243,70.43,63,18.26,39,11.3,01025
1,26,435,278,63.91,112,25.75,45,10.34,01026
1,27,296,203,68.58,69,23.31,24,8.11,01027
1,28,256,199,77.73,44,17.19,13,5.08,01028
1,29,430,300,69.77,83,19.3,47,10.93,01029
1,30,570,430,75.44,84,14.74,56,9.82,01030
1,31,582,360,61.86,177,30.41,45,7.73,01031
1,32,380,272,71.58,73,19.21,35,9.21,01032
1,33,437,293,67.05,89,20.37,55,12.59,01033
1,34,302,211,69.87,48,15.89,43,14.24,01034
1,35,397,268,67.51,101,25.44,28,7.05,01035
1,36,453,313,69.09,93,20.53,47,10.38,01036
1,37,360,267,74.17,46,12.78,47,13.06,01037
1,38,250,188,75.2,36,14.4,26,10.4,01038
1,39,444,352,79.28,64,14.41,28,6.31,01039
1,40,204,139,68.14,40,19.61,25,12.25,01040
1,41,331,230,69.49,67,20.24,34,10.27,01041
1,42,377,257,68.17,83,22.02,37,9.81,01042
1,43,331,240,72.51,67,20.24,24,7.25,01043
1,44,357,246,68.91,48,13.45,63,17.65,01044
1,45,409,298,72.86,62,15.16,49,11.98,01045
1,46,431,284,65.89,86,19.95,61,14.15,01046
1,47,444,291,65.54,107,24.1,46,10.36,01047
1,48,224,152,67.86,47,20.98,25,11.16,01048
1,49,287,187,65.16,59,20.56,41,14.29,01049
1,50,340,234,68.82,64,18.82,42,12.35,01050
2,1,818,562,68.7,183,22.37,73,8.92,02001
2,2,176,150,85.23,20,11.36,6,3.41,02002
2,3,601,456,75.87,101,16.81,44,7.32,02003
2,4,388,380,97.94,3,0.77,5,1.29,02004
2,5,483,446,92.34,20,4.14,17,3.52,02005
2,6,754,476,63.13,237,31.43,41,5.44,02006
2,7,462,452,97.84,4,0.87,6,1.3,02007
2,8,569,377,66.26,151,26.54,41,7.21,02008
2,9,469,437,93.18,24,5.12,8,1.71,02009
2,10,312,298,95.51,8,2.56,6,1.92,02010
2,11,552,351,63.59,137,24.82,64,11.59,02011
2,12,760,458,60.26,232,30.53,70,9.21,02012
2,13,477,396,83.02,55,11.53,26,5.45,02013
2,14,440,401,91.14,24,5.45,15,3.41,02014
2,15,270,259,95.93,6,2.22,5,1.85,02015
2,16,800,488,61.0,245,30.63,67,8.38,02016
2,17,401,377,94.01,16,3.99,8,2.0,02017
2,18,441,278,63.04,142,32.2,21,4.76,02018
2,19,676,427,63.17,212,31.36,37,5.47,02019
2,20,452,393,86.95,37,8.19,22,4.87,02020
2,21,366,308,84.15,45,12.3,13,3.55,02021
2,22,593,419,70.66,142,23.95,32,5.4,02022
2,23,335,295,88.06,33,9.85,7,2.09,02023
2,24,561,430,76.65,88,15.69,43,7.66,02024
2,25,652,546,83.74,80,12.27,26,3.99,02025
2,26,436,329,75.46,83,19.04,24,5.5,02026
2,27,360,342,95.0,13,3.61,5,1.39,02027
2,28,395,263,66.58,109,27.59,23,5.82,02028
2,29,258,208,80.62,35,13.57,15,5.81,02029
2,30,617,399,64.67,167,27.07,51,8.27,02030
2,31,406,383,94.33,14,3.45,9,2.22,02031
2,32,319,281,88.09,26,8.15,12,3.76,02032
2,33,295,285,96.61,6,2.03,4,1.36,02033
2,34,310,290,93.55,11,3.55,9,2.9,02034
2,35,188,138,73.4,29,15.43,21,11.17,02035
2,36,701,520,74.18,134,19.12,47,6.7,02036
2,37,391,245,62.66,120,30.69,26,6.65,02037
2,38,695,435,62.59,226,32.52,34,4.89,02038
2,39,516,441,85.47,52,10.08,23,4.46,02039
2,40,972,717,73.77,187,19.24,68,7.0,02040
2,41,254,247,97.24,2,0.79,5,1.97,02041
2,42,181,175,96.69,6,3.31,0,0.0,02042
2,43,469,338,72.07,106,22.6,25,5.33,02043
2,44,255,241,94.51,11,4.31,3,1.18,02044
2,45,485,443,91.34,27,5.57,15,3.09,02045
2,46,495,467,94.34,12,2.42,16,3.23,02046
2,47,304,290,95.39,7,2.3,7,2.3,02047
2,48,296,293,98.99,1,0.34,2,0.68,02048
2,49,339,224,66.08,76,22.42,39,11.5,02049
2,50,326,252,77.3,49,15.03,25,7.67,02050
2,51,358,340,94.97,12,3.35,6,1.68,02051
2,52,574,540,94.08,21,3.66,13,2.26,02052
2,53,575,411,71.48,109,18.96,55,9.57,02053
2,54,592,402,67.91,101,17.06,89,15.03,02054
2,55,261,181,69.35,62,23.75,18,6.9,02055
2,56,361,336,93.07,14,3.88,11,3.05,02056
3,1,326,321,98.47,3,0.92,2,0.61,03001
3,2,428,417,97.43,6,1.4,5,1.17,03002
3,3,495,398,80.4,68,13.74,29,5.86,03003
3,4,298,283,94.97,8,2.68,7,2.35,03004
3,5,314,294,93.63,13,4.14,7,2.23,03005
3,6,332,324,97.59,5,1.51,3,0.9,03006
3,7,285,274,96.14,7,2.46,4,1.4,03007
3,8,471,456,96.82,9,1.91,6,1.27,03008
3,9,345,335,97.1,7,2.03,3,0.87,03009
3,10,173,169,97.69,3,1.73,1,0.58,03010
