ward,precinct,total,Patrick J. Sherlock,Patrick J. Sherlock Percent,precinct_id
13,1,223,223,100.0,13001
13,2,164,164,100.0,13002
13,3,299,299,100.0,13003
13,4,346,346,100.0,13004
13,5,278,278,100.0,13005
13,6,246,246,100.0,13006
13,7,200,200,100.0,13007
13,8,240,240,100.0,13008
13,9,271,271,100.0,13009
13,10,194,194,100.0,13010
13,11,234,234,100.0,13011
13,12,212,212,100.0,13012
13,13,235,235,100.0,13013
13,14,232,232,100.0,13014
13,15,348,348,100.0,13015
13,16,291,291,100.0,13016
13,17,237,237,100.0,13017
13,18,224,224,100.0,13018
13,19,333,333,100.0,13019
13,20,252,252,100.0,13020
13,21,244,244,100.0,13021
13,22,215,215,100.0,13022
13,23,220,220,100.0,13023
13,24,210,210,100.0,13024
13,25,233,233,100.0,13025
13,26,236,236,100.0,13026
13,27,243,243,100.0,13027
13,28,199,199,100.0,13028
13,29,193,193,100.0,13029
13,30,350,350,100.0,13030
13,31,305,305,100.0,13031
13,32,268,268,100.0,13032
13,33,229,229,100.0,13033
13,34,320,320,100.0,13034
13,35,243,243,100.0,13035
13,36,161,161,100.0,13036
13,37,214,214,100.0,13037
13,38,291,291,100.0,13038
13,39,259,259,100.0,13039
13,40,281,281,100.0,13040
13,41,196,196,100.0,13041
13,42,208,208,100.0,13042
13,43,226,226,100.0,13043
13,44,234,234,100.0,13044
13,45,301,301,100.0,13045
13,46,250,250,100.0,13046
13,47,309,309,100.0,13047
14,1,149,149,100.0,14001
14,2,145,145,100.0,14002
14,3,209,209,100.0,14003
14,4,161,161,100.0,14004
14,6,158,158,100.0,14006
14,9,160,160,100.0,14009
14,13,207,207,100.0,14013
14,25,160,160,100.0,14025
14,27,233,233,100.0,14027
14,28,204,204,100.0,14028
15,1,123,123,100.0,15001
15,8,287,287,100.0,15008
15,10,170,170,100.0,15010
15,14,222,222,100.0,15014
15,16,147,147,100.0,15016
15,28,229,229,100.0,15028
15,34,38,38,100.0,15034
15,41,281,281,100.0,15041
15,46,28,28,100.0,15046
15,51,14,14,100.0,15051
16,17,151,151,100.0,16017
16,39,186,186,100.0,16039
17,11,275,275,100.0,17011
17,32,241,241,100.0,17032
17,40,202,202,100.0,17040
17,56,231,231,100.0,17056
17,57,235,235,100.0,17057
17,58,58,58,100.0,17058
17,59,129,129,100.0,17059
17,60,276,276,100.0,17060
17,61,196,196,100.0,17061
17,62,158,158,100.0,17062
17,63,208,208,100.0,17063
17,64,170,170,100.0,17064
18,1,162,162,100.0,18001
18,2,263,263,100.0,18002
18,3,201,201,100.0,18003
18,4,292,292,100.0,18004
18,5,260,260,100.0,18005
18,6,225,225,100.0,18006
18,7,269,269,100.0,18007
18,8,136,136,100.0,18008
18,9,310,310,100.0,18009
18,10,427,427,100.0,18010
18,11,277,277,100.0,18011
18,12,328,328,100.0,18012
18,13,321,321,100.0,18013
18,14,306,306,100.0,18014
18,15,155,155,100.0,18015
18,16,308,308,100.0,18016
18,17,266,266,100.0,18017
18,18,204,204,100.0,18018
18,19,282,282,100.0,18019
18,21,395,395,100.0,18021
18,22,348,348,100.0,18022
18,23,274,274,100.0,18023
18,26,212,212,100.0,18026
18,27,283,283,100.0,18027
18,28,217,217,100.0,18028
18,29,283,283,100.0,18029
18,31,298,298,100.0,18031
18,32,302,302,100.0,18032
18,33,252,252,100.0,18033
18,34,325,325,100.0,18034
18,35,341,341,100.0,18035
18,36,213,213,100.0,18036
18,37,234,234,100.0,18037
18,39,290,290,100.0,18039
18,40,336,336,100.0,18040
18,41,247,247,100.0,18041
18,42,244,244,100.0,18042
18,43,240,240,100.0,18043
18,44,191,191,100.0,18044
18,47,287,287,100.0,18047
18,48,167,167,100.0,18048
18,49,248,248,100.0,18049
18,50,278,278,100.0,18050
18,54,297,297,100.0,18054
18,55,229,229,100.0,18055
18,56,255,255,100.0,18056
18,57,227,227,100.0,18057
18,58,321,321,100.0,18058
18,59,212,212,100.0,18059
18,62,207,207,100.0,18062
19,1,277,277,100.0,19001
19,2,302,302,100.0,19002
19,3,218,218,100.0,19003
19,4,259,259,100.0,19004
19,5,332,332,100.0,19005
19,6,245,245,100.0,19006
19,7,287,287,100.0,19007
19,8,216,216,100.0,19008
19,9,207,207,100.0,19009
19,10,441,441,100.0,19010
19,11,293,293,100.0,19011
19,12,259,259,100.0,19012
19,13,251,251,100.0,19013
19,14,166,166,100.0,19014
19,15,223,223,100.0,19015
19,16,346,346,100.0,19016
19,17,278,278,100.0,19017
19,18,368,368,100.0,19018
19,19,324,324,100.0,19019
19,20,306,306,100.0,19020
19,21,216,216,100.0,19021
19,22,332,332,100.0,19022
19,23,322,322,100.0,19023
19,24,234,234,100.0,19024
19,25,310,310,100.0,19025
19,26,293,293,100.0,19026
19,27,226,226,100.0,19027
19,28,369,369,100.0,19028
19,29,217,217,100.0,19029
19,30,264,264,100.0,19030
19,31,272,272,100.0,19031
19,32,298,298,100.0,19032
19,33,287,287,100.0,19033
19,34,307,307,100.0,19034
19,35,291,291,100.0,19035
19,36,449,449,100.0,19036
19,37,337,337,100.0,19037
19,38,326,326,100.0,19038
19,39,203,203,100.0,19039
19,40,323,323,100.0,19040
19,41,189,189,100.0,19041
19,42,336,336,100.0,19042
19,43,344,344,100.0,19043
19,44,250,250,100.0,19044
19,45,286,286,100.0,19045
19,46,323,323,100.0,19046
19,47,238,238,100.0,19047
19,48,253,253,100.0,19048
19,49,395,395,100.0,19049
19,50,364,364,100.0,19050
19,51,231,231,100.0,19051
19,52,236,236,100.0,19052
19,53,282,282,100.0,19053
19,54,241,241,100.0,19054
19,55,246,246,100.0,19055
19,56,382,382,100.0,19056
19,57,345,345,100.0,19057
19,58,297,297,100.0,19058
19,59,246,246,100.0,19059
19,61,374,374,100.0,19061
19,62,304,304,100.0,19062
19,63,240,240,100.0,19063
19,64,361,361,100.0,19064
19,65,239,239,100.0,19065
19,66,365,365,100.0,19066
21,20,103,103,100.0,21020
23,1,230,230,100.0,23001
23,2,255,255,100.0,23002
23,3,205,205,100.0,23003
23,4,225,225,100.0,23004
23,5,210,210,100.0,23005
23,6,236,236,100.0,23006
23,7,128,128,100.0,23007
23,8,233,233,100.0,23008
23,9,257,257,100.0,23009
23,10,278,278,100.0,23010
23,11,249,249,100.0,23011
23,12,233,233,100.0,23012
23,13,275,275,100.0,23013
23,14,107,107,100.0,23014
23,15,256,256,100.0,23015
23,16,218,218,100.0,23016
23,17,272,272,100.0,23017
23,18,174,174,100.0,23018
23,19,215,215,100.0,23019
23,20,203,203,100.0,23020
23,21,217,217,100.0,23021
23,22,233,233,100.0,23022
23,23,225,225,100.0,23023
23,24,199,199,100.0,23024
23,25,184,184,100.0,23025
23,26,207,207,100.0,23026
23,27,200,200,100.0,23027
23,28,213,213,100.0,23028
23,29,235,235,100.0,23029
23,30,206,206,100.0,23030
23,32,283,283,100.0,23032
23,33,260,260,100.0,23033
23,34,202,202,100.0,23034
23,35,168,168,100.0,23035
23,36,285,285,100.0,23036
23,37,160,160,100.0,23037
23,38,216,216,100.0,23038
23,39,208,208,100.0,23039
23,40,213,213,100.0,23040
23,41,264,264,100.0,23041
23,42,192,192,100.0,23042
23,43,273,273,100.0,23043
23,44,238,238,100.0,23044
23,45,282,282,100.0,23045
23,46,231,231,100.0,23046
23,47,232,232,100.0,23047
23,48,229,229,100.0,23048
23,49,241,241,100.0,23049
23,50,173,173,100.0,23050
23,51,218,218,100.0,23051
23,52,260,260,100.0,23052
23,53,145,145,100.0,23053
23,54,274,274,100.0,23054
23,55,199,199,100.0,23055
23,56,199,199,100.0,23056
34,19,59,59,100.0,34019
34,33,155,155,100.0,34033
