ward,precinct,total,Harry Osterman,Harry Osterman Percent,John Beacham,John Beacham Percent,precinct_id
40,3,416,356,85.58,60,14.42,40003
40,4,331,275,83.08,56,16.92,40004
40,7,430,355,82.56,75,17.44,40007
40,11,367,297,80.93,70,19.07,40011
40,12,264,221,83.71,43,16.29,40012
40,13,434,358,82.49,76,17.51,40013
40,16,348,299,85.92,49,14.08,40016
40,26,384,311,80.99,73,19.01,40026
40,27,317,274,86.44,43,13.56,40027
40,28,466,400,85.84,66,14.16,40028
40,35,228,183,80.26,45,19.74,40035
40,37,281,238,84.7,43,15.3,40037
40,42,51,47,92.16,4,7.84,40042
40,43,57,46,80.7,11,19.3,40043
40,47,382,305,79.84,77,20.16,40047
48,1,468,389,83.12,79,16.88,48001
48,2,341,279,81.82,62,18.18,48002
48,3,631,552,87.48,79,12.52,48003
48,5,334,280,83.83,54,16.17,48005
48,6,539,480,89.05,59,10.95,48006
48,7,376,319,84.84,57,15.16,48007
48,8,310,267,86.13,43,13.87,48008
48,9,358,302,84.36,56,15.64,48009
48,10,312,257,82.37,55,17.63,48010
48,11,478,406,84.94,72,15.06,48011
48,12,477,409,85.74,68,14.26,48012
48,13,363,314,86.5,49,13.5,48013
48,14,431,375,87.01,56,12.99,48014
48,15,341,288,84.46,53,15.54,48015
48,16,401,358,89.28,43,10.72,48016
48,18,326,293,89.88,33,10.12,48018
48,19,336,292,86.9,44,13.1,48019
48,20,238,219,92.02,19,7.98,48020
48,22,465,419,90.11,46,9.89,48022
48,26,441,395,89.57,46,10.43,48026
48,27,261,222,85.06,39,14.94,48027
48,28,301,254,84.39,47,15.61,48028
48,29,255,224,87.84,31,12.16,48029
48,30,389,326,83.8,63,16.2,48030
48,31,408,366,89.71,42,10.29,48031
48,32,418,338,80.86,80,19.14,48032
48,33,295,264,89.49,31,10.51,48033
48,36,315,264,83.81,51,16.19,48036
48,37,394,326,82.74,68,17.26,48037
48,38,421,373,88.6,48,11.4,48038
48,39,325,288,88.62,37,11.38,48039
48,41,346,286,82.66,60,17.34,48041
48,42,343,296,86.3,47,13.7,48042
48,43,555,474,85.41,81,14.59,48043
48,44,494,429,86.84,65,13.16,48044
48,45,343,296,86.3,47,13.7,48045
48,46,339,297,87.61,42,12.39,48046
48,47,444,400,90.09,44,9.91,48047
48,48,431,384,89.1,47,10.9,48048
48,50,453,382,84.33,71,15.67,48050
48,51,517,451,87.23,66,12.77,48051
48,52,360,308,85.56,52,14.44,48052
48,53,228,195,85.53,33,14.47,48053
48,54,406,361,88.92,45,11.08,48054
49,2,512,445,86.91,67,13.09,49002
49,3,293,250,85.32,43,14.68,49003
49,4,218,191,87.61,27,12.39,49004
49,7,338,281,83.14,57,16.86,49007
49,8,455,395,86.81,60,13.19,49008
49,9,338,275,81.36,63,18.64,49009
49,10,350,287,82.0,63,18.0,49010
49,11,296,261,88.18,35,11.82,49011
49,12,460,416,90.43,44,9.57,49012
49,13,468,398,85.04,70,14.96,49013
49,15,396,356,89.9,40,10.1,49015
49,17,139,115,82.73,24,17.27,49017
49,18,258,225,87.21,33,12.79,49018
49,19,368,324,88.04,44,11.96,49019
49,21,131,111,84.73,20,15.27,49021
49,22,342,299,87.43,43,12.57,49022
49,23,369,316,85.64,53,14.36,49023
49,25,476,389,81.72,87,18.28,49025
49,26,381,313,82.15,68,17.85,49026
49,27,670,575,85.82,95,14.18,49027
49,29,497,407,81.89,90,18.11,49029
49,31,329,268,81.46,61,18.54,49031
49,32,292,237,81.16,55,18.84,49032
49,33,319,274,85.89,45,14.11,49033
49,36,628,510,81.21,118,18.79,49036
49,37,612,509,83.17,103,16.83,49037
49,39,424,367,86.56,57,13.44,49039
49,42,501,435,86.83,66,13.17,49042
50,34,93,80,86.02,13,13.98,50034
