ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,248,248,100.0,36006
36,13,45,45,100.0,36013
36,26,260,260,100.0,36026
36,41,73,73,100.0,36041
36,43,226,226,100.0,36043
38,1,311,311,100.0,38001
38,2,246,246,100.0,38002
38,4,165,165,100.0,38004
38,5,51,51,100.0,38005
38,6,270,270,100.0,38006
38,8,183,183,100.0,38008
38,9,297,297,100.0,38009
38,11,200,200,100.0,38011
38,12,241,241,100.0,38012
38,13,235,235,100.0,38013
38,14,231,231,100.0,38014
38,15,201,201,100.0,38015
38,17,210,210,100.0,38017
38,18,247,247,100.0,38018
38,19,275,275,100.0,38019
38,21,279,279,100.0,38021
38,22,275,275,100.0,38022
38,23,192,192,100.0,38023
38,25,277,277,100.0,38025
38,26,183,183,100.0,38026
38,27,165,165,100.0,38027
38,28,196,196,100.0,38028
38,29,236,236,100.0,38029
38,30,264,264,100.0,38030
38,31,344,344,100.0,38031
38,32,299,299,100.0,38032
38,33,239,239,100.0,38033
38,35,304,304,100.0,38035
38,36,260,260,100.0,38036
38,37,308,308,100.0,38037
38,39,280,280,100.0,38039
38,40,213,213,100.0,38040
38,41,362,362,100.0,38041
38,42,319,319,100.0,38042
38,43,290,290,100.0,38043
38,44,280,280,100.0,38044
38,45,324,324,100.0,38045
38,46,249,249,100.0,38046
38,47,266,266,100.0,38047
38,48,240,240,100.0,38048
38,49,242,242,100.0,38049
38,50,258,258,100.0,38050
38,51,212,212,100.0,38051
38,52,274,274,100.0,38052
41,53,329,329,100.0,41053
45,1,291,291,100.0,45001
45,2,356,356,100.0,45002
45,3,394,394,100.0,45003
45,6,340,340,100.0,45006
45,7,344,344,100.0,45007
45,8,274,274,100.0,45008
45,9,337,337,100.0,45009
45,11,310,310,100.0,45011
45,13,355,355,100.0,45013
45,15,344,344,100.0,45015
45,16,369,369,100.0,45016
45,17,276,276,100.0,45017
45,18,336,336,100.0,45018
45,19,335,335,100.0,45019
45,20,322,322,100.0,45020
45,21,276,276,100.0,45021
45,22,273,273,100.0,45022
45,23,333,333,100.0,45023
45,25,358,358,100.0,45025
45,26,375,375,100.0,45026
45,27,306,306,100.0,45027
45,28,312,312,100.0,45028
45,29,362,362,100.0,45029
45,30,306,306,100.0,45030
45,31,337,337,100.0,45031
45,32,217,217,100.0,45032
45,33,295,295,100.0,45033
45,34,247,247,100.0,45034
45,35,323,323,100.0,45035
45,37,365,365,100.0,45037
45,38,381,381,100.0,45038
45,39,392,392,100.0,45039
45,40,378,378,100.0,45040
45,41,235,235,100.0,45041
45,42,296,296,100.0,45042
45,43,271,271,100.0,45043
45,44,336,336,100.0,45044
45,45,253,253,100.0,45045
45,46,339,339,100.0,45046
45,47,352,352,100.0,45047
45,48,325,325,100.0,45048
45,49,301,301,100.0,45049
45,50,280,280,100.0,45050
45,51,303,303,100.0,45051
45,52,312,312,100.0,45052
45,53,276,276,100.0,45053
