ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,353,353,100.0,13003
13,18,242,242,100.0,13018
13,20,320,320,100.0,13020
13,31,271,271,100.0,13031
14,1,184,184,100.0,14001
14,2,207,207,100.0,14002
14,3,294,294,100.0,14003
14,4,217,217,100.0,14004
14,5,351,351,100.0,14005
14,6,222,222,100.0,14006
14,9,242,242,100.0,14009
14,11,223,223,100.0,14011
14,13,254,254,100.0,14013
14,15,290,290,100.0,14015
14,24,162,162,100.0,14024
14,25,226,226,100.0,14025
14,27,320,320,100.0,14027
14,28,267,267,100.0,14028
14,32,177,177,100.0,14032
14,34,182,182,100.0,14034
15,1,73,73,100.0,15001
15,10,215,215,100.0,15010
15,16,181,181,100.0,15016
16,17,182,182,100.0,16017
16,32,113,113,100.0,16032
16,39,285,285,100.0,16039
22,2,149,149,100.0,22002
22,3,235,235,100.0,22003
22,4,195,195,100.0,22004
22,5,220,220,100.0,22005
22,6,164,164,100.0,22006
22,10,212,212,100.0,22010
22,12,156,156,100.0,22012
22,13,247,247,100.0,22013
22,14,164,164,100.0,22014
22,16,221,221,100.0,22016
22,17,223,223,100.0,22017
22,18,221,221,100.0,22018
22,20,223,223,100.0,22020
22,23,212,212,100.0,22023
22,24,171,171,100.0,22024
22,25,163,163,100.0,22025
22,26,146,146,100.0,22026
22,27,270,270,100.0,22027
22,28,127,127,100.0,22028
23,5,258,258,100.0,23005
23,6,312,312,100.0,23006
23,7,111,111,100.0,23007
23,9,330,330,100.0,23009
23,10,344,344,100.0,23010
23,14,148,148,100.0,23014
23,24,247,247,100.0,23024
23,25,253,253,100.0,23025
23,29,278,278,100.0,23029
23,31,318,318,100.0,23031
23,32,361,361,100.0,23032
23,33,338,338,100.0,23033
23,37,17,17,100.0,23037
23,41,332,332,100.0,23041
23,50,215,215,100.0,23050
23,51,262,262,100.0,23051
23,53,203,203,100.0,23053
