ward,precinct,total,Luis Arroyo,Luis Arroyo Percent,precinct_id
26,4,186,186,100.0,26004
26,6,134,134,100.0,26006
26,13,190,190,100.0,26013
26,16,167,167,100.0,26016
26,26,178,178,100.0,26026
26,30,239,239,100.0,26030
26,42,230,230,100.0,26042
26,54,195,195,100.0,26054
26,60,219,219,100.0,26060
26,62,228,228,100.0,26062
29,2,288,288,100.0,29002
29,6,176,176,100.0,29006
29,7,226,226,100.0,29007
29,9,187,187,100.0,29009
29,10,176,176,100.0,29010
29,24,268,268,100.0,29024
29,30,203,203,100.0,29030
29,32,264,264,100.0,29032
29,39,277,277,100.0,29039
30,2,197,197,100.0,30002
30,4,255,255,100.0,30004
30,5,185,185,100.0,30005
30,6,201,201,100.0,30006
30,9,75,75,100.0,30009
30,10,242,242,100.0,30010
30,11,192,192,100.0,30011
30,12,226,226,100.0,30012
30,17,158,158,100.0,30017
30,21,292,292,100.0,30021
30,22,297,297,100.0,30022
30,24,232,232,100.0,30024
30,27,340,340,100.0,30027
30,28,194,194,100.0,30028
30,34,253,253,100.0,30034
30,35,265,265,100.0,30035
30,37,189,189,100.0,30037
30,40,264,264,100.0,30040
30,41,265,265,100.0,30041
31,3,180,180,100.0,31003
31,10,108,108,100.0,31010
31,12,199,199,100.0,31012
31,15,118,118,100.0,31015
31,17,223,223,100.0,31017
31,20,170,170,100.0,31020
31,21,246,246,100.0,31021
31,23,137,137,100.0,31023
31,24,177,177,100.0,31024
31,25,219,219,100.0,31025
31,27,179,179,100.0,31027
31,29,171,171,100.0,31029
31,34,185,185,100.0,31034
31,35,156,156,100.0,31035
31,36,243,243,100.0,31036
31,37,221,221,100.0,31037
31,39,118,118,100.0,31039
31,40,136,136,100.0,31040
31,42,249,249,100.0,31042
31,43,209,209,100.0,31043
31,44,215,215,100.0,31044
31,45,196,196,100.0,31045
31,51,140,140,100.0,31051
35,2,302,302,100.0,35002
35,23,238,238,100.0,35023
35,35,337,337,100.0,35035
36,1,259,259,100.0,36001
36,3,343,343,100.0,36003
36,4,220,220,100.0,36004
36,6,41,41,100.0,36006
36,36,244,244,100.0,36036
36,41,154,154,100.0,36041
36,51,306,306,100.0,36051
36,53,95,95,100.0,36053
37,1,257,257,100.0,37001
37,2,86,86,100.0,37002
37,11,171,171,100.0,37011
37,19,321,321,100.0,37019
37,39,318,318,100.0,37039
37,42,295,295,100.0,37042
38,16,270,270,100.0,38016
38,53,76,76,100.0,38053
