ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,385,385,100.0,09001
9,2,410,410,100.0,09002
9,5,375,375,100.0,09005
9,9,401,401,100.0,09009
9,12,377,377,100.0,09012
9,13,355,355,100.0,09013
9,14,476,476,100.0,09014
9,17,370,370,100.0,09017
9,18,212,212,100.0,09018
9,22,426,426,100.0,09022
9,23,314,314,100.0,09023
9,29,374,374,100.0,09029
9,31,334,334,100.0,09031
9,32,383,383,100.0,09032
9,34,320,320,100.0,09034
9,35,419,419,100.0,09035
9,38,437,437,100.0,09038
9,40,398,398,100.0,09040
9,43,283,283,100.0,09043
9,46,358,358,100.0,09046
9,48,373,373,100.0,09048
9,51,173,173,100.0,09051
9,52,365,365,100.0,09052
34,2,340,340,100.0,34002
34,3,336,336,100.0,34003
34,4,528,528,100.0,34004
34,5,419,419,100.0,34005
34,9,364,364,100.0,34009
34,10,392,392,100.0,34010
34,11,357,357,100.0,34011
34,14,395,395,100.0,34014
34,15,366,366,100.0,34015
34,16,369,369,100.0,34016
34,17,369,369,100.0,34017
34,18,279,279,100.0,34018
34,20,512,512,100.0,34020
34,22,418,418,100.0,34022
34,23,360,360,100.0,34023
34,24,421,421,100.0,34024
34,26,326,326,100.0,34026
34,27,375,375,100.0,34027
34,28,280,280,100.0,34028
34,30,438,438,100.0,34030
34,31,249,249,100.0,34031
34,36,410,410,100.0,34036
34,37,399,399,100.0,34037
34,38,374,374,100.0,34038
34,39,369,369,100.0,34039
34,40,429,429,100.0,34040
34,41,253,253,100.0,34041
34,42,446,446,100.0,34042
34,43,503,503,100.0,34043
34,50,401,401,100.0,34050
34,52,325,325,100.0,34052
34,53,372,372,100.0,34053
34,54,395,395,100.0,34054
34,59,426,426,100.0,34059
34,60,438,438,100.0,34060
