ward,precinct,total,Rickey R. Hendon,Rickey R. Hendon Percent,Jason Allen Braswell,Jason Allen Braswell Percent,precinct_id
1,6,400,291,72.75,109,27.25,01006
1,8,457,376,82.28,81,17.72,01008
1,12,583,417,71.53,166,28.47,01012
1,31,485,326,67.22,159,32.78,01031
1,32,143,117,81.82,26,18.18,01032
1,35,341,248,72.73,93,27.27,01035
1,44,196,156,79.59,40,20.41,01044
2,2,184,162,88.04,22,11.96,02002
2,3,623,488,78.33,135,21.67,02003
2,4,415,412,99.28,3,0.72,02004
2,5,491,459,93.48,32,6.52,02005
2,6,770,516,67.01,254,32.99,02006
2,9,472,447,94.7,25,5.3,02009
2,10,324,311,95.99,13,4.01,02010
2,12,773,521,67.4,252,32.6,02012
2,13,495,427,86.26,68,13.74,02013
2,15,272,263,96.69,9,3.31,02015
2,16,837,551,65.83,286,34.17,02016
2,17,409,391,95.6,18,4.4,02017
2,23,339,305,89.97,34,10.03,02023
2,25,660,562,85.15,98,14.85,02025
2,27,367,356,97.0,11,3.0,02027
2,28,399,288,72.18,111,27.82,02028
2,29,263,225,85.55,38,14.45,02029
2,32,331,302,91.24,29,8.76,02032
2,33,299,292,97.66,7,2.34,02033
2,34,324,308,95.06,16,4.94,02034
2,39,529,464,87.71,65,12.29,02039
2,41,271,262,96.68,9,3.32,02041
2,42,189,186,98.41,3,1.59,02042
2,45,488,444,90.98,44,9.02,02045
2,47,313,301,96.17,12,3.83,02047
2,48,303,300,99.01,3,0.99,02048
2,49,5,5,100.0,0,0.0,02049
2,50,339,269,79.35,70,20.65,02050
2,51,364,347,95.33,17,4.67,02051
2,52,589,561,95.25,28,4.75,02052
2,56,365,335,91.78,30,8.22,02056
11,50,11,9,81.82,2,18.18,11050
22,7,342,337,98.54,5,1.46,22007
22,19,290,280,96.55,10,3.45,22019
22,21,362,355,98.07,7,1.93,22021
24,1,464,457,98.49,7,1.51,24001
24,2,320,312,97.5,8,2.5,24002
24,3,341,324,95.01,17,4.99,24003
24,4,311,308,99.04,3,0.96,24004
24,5,327,319,97.55,8,2.45,24005
24,6,392,380,96.94,12,3.06,24006
24,8,318,312,98.11,6,1.89,24008
24,9,349,338,96.85,11,3.15,24009
24,10,257,253,98.44,4,1.56,24010
24,11,251,247,98.41,4,1.59,24011
24,12,386,378,97.93,8,2.07,24012
24,13,348,339,97.41,9,2.59,24013
24,14,437,429,98.17,8,1.83,24014
24,15,295,288,97.63,7,2.37,24015
24,17,317,310,97.79,7,2.21,24017
24,18,264,262,99.24,2,0.76,24018
24,19,252,250,99.21,2,0.79,24019
24,20,287,282,98.26,5,1.74,24020
24,21,239,234,97.91,5,2.09,24021
24,22,383,373,97.39,10,2.61,24022
24,23,292,285,97.6,7,2.4,24023
24,24,237,236,99.58,1,0.42,24024
24,25,418,407,97.37,11,2.63,24025
24,26,438,431,98.4,7,1.6,24026
24,27,188,177,94.15,11,5.85,24027
24,28,380,371,97.63,9,2.37,24028
24,29,398,392,98.49,6,1.51,24029
24,30,324,320,98.77,4,1.23,24030
24,31,349,341,97.71,8,2.29,24031
24,32,311,302,97.11,9,2.89,24032
24,33,248,246,99.19,2,0.81,24033
24,34,344,337,97.97,7,2.03,24034
24,35,471,464,98.51,7,1.49,24035
24,36,299,293,97.99,6,2.01,24036
24,37,357,347,97.2,10,2.8,24037
24,38,373,356,95.44,17,4.56,24038
24,39,371,366,98.65,5,1.35,24039
24,40,397,381,95.97,16,4.03,24040
24,42,270,265,98.15,5,1.85,24042
24,43,473,463,97.89,10,2.11,24043
24,44,423,411,97.16,12,2.84,24044
24,45,310,305,98.39,5,1.61,24045
24,47,304,302,99.34,2,0.66,24047
24,48,179,177,98.88,2,1.12,24048
24,49,502,488,97.21,14,2.79,24049
24,50,515,504,97.86,11,2.14,24050
24,51,499,488,97.8,11,2.2,24051
24,52,285,283,99.3,2,0.7,24052
24,54,351,343,97.72,8,2.28,24054
24,55,372,365,98.12,7,1.88,24055
24,56,411,400,97.32,11,2.68,24056
25,3,431,352,81.67,79,18.33,25003
25,4,471,362,76.86,109,23.14,25004
25,6,284,252,88.73,32,11.27,25006
25,9,6,6,100.0,0,0.0,25009
25,10,245,221,90.2,24,9.8,25010
25,12,427,364,85.25,63,14.75,25012
25,18,168,134,79.76,34,20.24,25018
25,21,311,216,69.45,95,30.55,25021
25,25,381,278,72.97,103,27.03,25025
25,26,335,232,69.25,103,30.75,25026
25,27,330,229,69.39,101,30.61,25027
25,28,417,289,69.3,128,30.7,25028
25,29,927,690,74.43,237,25.57,25029
25,31,286,245,85.66,41,14.34,25031
26,7,7,5,71.43,2,28.57,26007
26,17,179,122,68.16,57,31.84,26017
26,28,1,1,100.0,0,0.0,26028
26,32,7,3,42.86,4,57.14,26032
26,33,134,96,71.64,38,28.36,26033
26,46,373,273,73.19,100,26.81,26046
27,1,733,478,65.21,255,34.79,27001
27,2,313,307,98.08,6,1.92,27002
27,3,338,335,99.11,3,0.89,27003
27,7,476,340,71.43,136,28.57,27007
27,8,355,345,97.18,10,2.82,27008
27,10,111,103,92.79,8,7.21,27010
27,11,497,354,71.23,143,28.77,27011
27,14,529,513,96.98,16,3.02,27014
27,15,207,196,94.69,11,5.31,27015
27,17,503,344,68.39,159,31.61,27017
27,18,384,263,68.49,121,31.51,27018
27,19,347,337,97.12,10,2.88,27019
27,22,368,363,98.64,5,1.36,27022
27,23,74,71,95.95,3,4.05,27023
27,24,333,326,97.9,7,2.1,27024
27,25,242,232,95.87,10,4.13,27025
27,26,267,253,94.76,14,5.24,27026
27,27,386,361,93.52,25,6.48,27027
27,29,286,281,98.25,5,1.75,27029
27,30,217,210,96.77,7,3.23,27030
27,31,274,266,97.08,8,2.92,27031
27,33,325,284,87.38,41,12.62,27033
27,34,330,318,96.36,12,3.64,27034
27,36,305,296,97.05,9,2.95,27036
27,40,317,311,98.11,6,1.89,27040
27,41,39,32,82.05,7,17.95,27041
27,44,309,301,97.41,8,2.59,27044
27,45,280,276,98.57,4,1.43,27045
27,46,352,342,97.16,10,2.84,27046
27,47,286,285,99.65,1,0.35,27047
27,48,384,377,98.18,7,1.82,27048
27,49,362,350,96.69,12,3.31,27049
27,50,457,302,66.08,155,33.92,27050
27,52,313,308,98.4,5,1.6,27052
27,53,296,251,84.8,45,15.2,27053
27,54,589,422,71.65,167,28.35,27054
27,55,339,329,97.05,10,2.95,27055
27,56,20,17,85.0,3,15.0,27056
27,57,369,270,73.17,99,26.83,27057
27,58,157,100,63.69,57,36.31,27058
28,2,397,387,97.48,10,2.52,28002
28,3,313,307,98.08,6,1.92,28003
28,5,313,293,93.61,20,6.39,28005
28,6,256,249,97.27,7,2.73,28006
28,7,303,297,98.02,6,1.98,28007
28,9,265,263,99.25,2,0.75,28009
28,10,87,87,100.0,0,0.0,28010
28,11,290,286,98.62,4,1.38,28011
28,13,284,280,98.59,4,1.41,28013
28,18,448,439,97.99,9,2.01,28018
28,20,323,318,98.45,5,1.55,28020
28,22,303,295,97.36,8,2.64,28022
28,23,357,352,98.6,5,1.4,28023
28,24,264,262,99.24,2,0.76,28024
28,25,177,174,98.31,3,1.69,28025
28,26,319,311,97.49,8,2.51,28026
28,28,218,213,97.71,5,2.29,28028
28,30,262,254,96.95,8,3.05,28030
28,31,318,314,98.74,4,1.26,28031
28,32,358,347,96.93,11,3.07,28032
28,33,390,385,98.72,5,1.28,28033
28,34,67,63,94.03,4,5.97,28034
28,35,302,291,96.36,11,3.64,28035
28,36,280,277,98.93,3,1.07,28036
28,37,488,476,97.54,12,2.46,28037
28,43,433,421,97.23,12,2.77,28043
28,44,382,375,98.17,7,1.83,28044
28,50,261,256,98.08,5,1.92,28050
28,52,314,308,98.09,6,1.91,28052
28,53,223,198,88.79,25,11.21,28053
28,54,274,266,97.08,8,2.92,28054
28,59,235,234,99.57,1,0.43,28059
28,61,262,238,90.84,24,9.16,28061
32,2,557,439,78.82,118,21.18,32002
32,4,522,362,69.35,160,30.65,32004
32,5,382,293,76.7,89,23.3,32005
32,6,453,341,75.28,112,24.72,32006
32,26,378,301,79.63,77,20.37,32026
32,29,298,238,79.87,60,20.13,32029
32,31,590,428,72.54,162,27.46,32031
32,33,302,211,69.87,91,30.13,32033
32,34,572,404,70.63,168,29.37,32034
32,35,552,403,73.01,149,26.99,32035
32,36,608,444,73.03,164,26.97,32036
32,37,4,4,100.0,0,0.0,32037
32,46,114,87,76.32,27,23.68,32046
32,50,43,32,74.42,11,25.58,32050
32,51,551,311,56.44,240,43.56,32051
32,52,297,217,73.06,80,26.94,32052
37,3,331,319,96.37,12,3.63,37003
37,4,491,469,95.52,22,4.48,37004
37,8,460,441,95.87,19,4.13,37008
37,12,399,380,95.24,19,4.76,37012
37,13,408,386,94.61,22,5.39,37013
37,28,437,424,97.03,13,2.97,37028
42,9,271,172,63.47,99,36.53,42009
42,12,331,207,62.54,124,37.46,42012
42,14,551,353,64.07,198,35.93,42014
42,18,991,622,62.76,369,37.24,42018
42,21,398,255,64.07,143,35.93,42021
42,59,768,494,64.32,274,35.68,42059
42,67,1035,643,62.13,392,37.87,42067
42,68,568,344,60.56,224,39.44,42068
42,69,431,315,73.09,116,26.91,42069
43,1,546,372,68.13,174,31.87,43001
43,3,474,286,60.34,188,39.66,43003
43,5,479,284,59.29,195,40.71,43005
43,9,493,297,60.24,196,39.76,43009
43,10,510,291,57.06,219,42.94,43010
43,11,445,290,65.17,155,34.83,43011
43,15,383,237,61.88,146,38.12,43015
43,47,401,225,56.11,176,43.89,43047
43,55,108,60,55.56,48,44.44,43055
