ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,634,634,100.0,04001
4,9,611,611,100.0,04009
4,17,419,419,100.0,04017
4,21,497,497,100.0,04021
4,22,482,482,100.0,04022
4,28,283,283,100.0,04028
4,29,357,357,100.0,04029
4,31,284,284,100.0,04031
4,32,450,450,100.0,04032
4,34,325,325,100.0,04034
4,38,577,577,100.0,04038
4,41,242,242,100.0,04041
4,43,283,283,100.0,04043
4,44,281,281,100.0,04044
4,45,527,527,100.0,04045
4,47,627,627,100.0,04047
4,48,452,452,100.0,04048
5,1,422,422,100.0,05001
5,3,225,225,100.0,05003
5,5,391,391,100.0,05005
5,6,444,444,100.0,05006
5,7,402,402,100.0,05007
5,8,479,479,100.0,05008
5,11,337,337,100.0,05011
5,14,475,475,100.0,05014
5,17,417,417,100.0,05017
5,21,418,418,100.0,05021
5,22,347,347,100.0,05022
5,24,269,269,100.0,05024
5,25,403,403,100.0,05025
5,26,444,444,100.0,05026
5,27,546,546,100.0,05027
5,28,396,396,100.0,05028
5,29,378,378,100.0,05029
5,30,345,345,100.0,05030
5,31,412,412,100.0,05031
5,32,513,513,100.0,05032
5,33,213,213,100.0,05033
5,34,435,435,100.0,05034
5,35,320,320,100.0,05035
5,36,275,275,100.0,05036
5,37,310,310,100.0,05037
5,38,363,363,100.0,05038
5,39,460,460,100.0,05039
5,40,469,469,100.0,05040
5,41,341,341,100.0,05041
5,42,429,429,100.0,05042
5,43,377,377,100.0,05043
5,44,463,463,100.0,05044
5,46,440,440,100.0,05046
5,47,378,378,100.0,05047
5,48,268,268,100.0,05048
5,49,82,82,100.0,05049
5,53,381,381,100.0,05053
5,54,509,509,100.0,05054
5,55,335,335,100.0,05055
7,3,304,304,100.0,07003
7,8,148,148,100.0,07008
7,9,330,330,100.0,07009
7,10,277,277,100.0,07010
7,11,354,354,100.0,07011
7,14,433,433,100.0,07014
7,15,216,216,100.0,07015
7,16,273,273,100.0,07016
7,17,216,216,100.0,07017
7,18,281,281,100.0,07018
7,20,219,219,100.0,07020
7,22,255,255,100.0,07022
7,23,406,406,100.0,07023
7,28,485,485,100.0,07028
7,29,349,349,100.0,07029
7,32,323,323,100.0,07032
7,35,463,463,100.0,07035
7,39,411,411,100.0,07039
7,40,450,450,100.0,07040
7,44,561,561,100.0,07044
7,45,421,421,100.0,07045
7,46,110,110,100.0,07046
7,54,163,163,100.0,07054
7,56,315,315,100.0,07056
7,57,255,255,100.0,07057
8,70,549,549,100.0,08070
10,1,295,295,100.0,10001
10,4,287,287,100.0,10004
10,7,89,89,100.0,10007
10,18,308,308,100.0,10018
10,22,174,174,100.0,10022
10,23,78,78,100.0,10023
10,25,391,391,100.0,10025
10,37,260,260,100.0,10037
10,43,190,190,100.0,10043
10,45,153,153,100.0,10045
10,47,189,189,100.0,10047
10,48,281,281,100.0,10048
20,26,270,270,100.0,20026
20,34,473,473,100.0,20034
20,38,52,52,100.0,20038
