ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Anthony W. Williams,Anthony W. Williams Percent,precinct_id
5,1,547,538,98.35,9,1.65,05001
5,4,302,296,98.01,6,1.99,05004
5,6,530,523,98.68,7,1.32,05006
5,7,473,465,98.31,8,1.69,05007
5,11,381,353,92.65,28,7.35,05011
5,14,547,520,95.06,27,4.94,05014
5,21,489,481,98.36,8,1.64,05021
5,24,290,274,94.48,16,5.52,05024
5,26,523,513,98.09,10,1.91,05026
5,28,457,443,96.94,14,3.06,05028
5,29,444,431,97.07,13,2.93,05029
5,31,486,473,97.33,13,2.67,05031
5,32,601,582,96.84,19,3.16,05032
5,34,517,512,99.03,5,0.97,05034
5,36,329,325,98.78,4,1.22,05036
5,37,351,327,93.16,24,6.84,05037
5,38,391,356,91.05,35,8.95,05038
5,40,564,559,99.11,5,0.89,05040
5,42,518,503,97.1,15,2.9,05042
5,43,434,423,97.47,11,2.53,05043
5,44,548,533,97.26,15,2.74,05044
5,46,496,453,91.33,43,8.67,05046
5,47,448,441,98.44,7,1.56,05047
5,49,104,103,99.04,1,0.96,05049
5,54,585,570,97.44,15,2.56,05054
6,21,422,416,98.58,6,1.42,06021
6,22,438,433,98.86,5,1.14,06022
6,64,449,439,97.77,10,2.23,06064
7,1,590,579,98.14,11,1.86,07001
7,2,498,480,96.39,18,3.61,07002
7,3,370,357,96.49,13,3.51,07003
7,4,381,367,96.33,14,3.67,07004
7,5,388,373,96.13,15,3.87,07005
7,6,394,390,98.98,4,1.02,07006
7,7,351,345,98.29,6,1.71,07007
7,8,185,177,95.68,8,4.32,07008
7,9,389,384,98.71,5,1.29,07009
7,10,340,327,96.18,13,3.82,07010
7,11,428,419,97.9,9,2.1,07011
7,12,311,308,99.04,3,0.96,07012
7,13,302,297,98.34,5,1.66,07013
7,14,517,502,97.1,15,2.9,07014
7,15,253,246,97.23,7,2.77,07015
7,16,341,329,96.48,12,3.52,07016
7,17,278,272,97.84,6,2.16,07017
7,18,357,342,95.8,15,4.2,07018
7,19,605,595,98.35,10,1.65,07019
7,20,283,275,97.17,8,2.83,07020
7,21,428,418,97.66,10,2.34,07021
7,22,302,293,97.02,9,2.98,07022
7,23,500,490,98.0,10,2.0,07023
7,24,341,335,98.24,6,1.76,07024
7,25,449,436,97.1,13,2.9,07025
7,26,493,484,98.17,9,1.83,07026
7,27,525,518,98.67,7,1.33,07027
7,28,603,599,99.34,4,0.66,07028
7,29,434,424,97.7,10,2.3,07029
7,30,359,353,98.33,6,1.67,07030
7,31,338,331,97.93,7,2.07,07031
7,32,390,369,94.62,21,5.38,07032
7,33,280,276,98.57,4,1.43,07033
7,34,345,342,99.13,3,0.87,07034
7,35,569,544,95.61,25,4.39,07035
7,36,425,415,97.65,10,2.35,07036
7,37,187,181,96.79,6,3.21,07037
7,38,304,300,98.68,4,1.32,07038
7,39,484,479,98.97,5,1.03,07039
7,40,528,512,96.97,16,3.03,07040
7,41,301,294,97.67,7,2.33,07041
7,42,653,639,97.86,14,2.14,07042
7,43,421,417,99.05,4,0.95,07043
7,44,671,657,97.91,14,2.09,07044
7,45,502,490,97.61,12,2.39,07045
7,46,169,166,98.22,3,1.78,07046
7,47,342,334,97.66,8,2.34,07047
7,48,336,332,98.81,4,1.19,07048
7,49,200,200,100.0,0,0.0,07049
7,50,265,259,97.74,6,2.26,07050
7,51,645,636,98.6,9,1.4,07051
7,52,293,288,98.29,5,1.71,07052
7,53,328,323,98.48,5,1.52,07053
7,54,198,189,95.45,9,4.55,07054
7,55,301,296,98.34,5,1.66,07055
7,56,374,372,99.47,2,0.53,07056
7,57,306,299,97.71,7,2.29,07057
7,58,376,364,96.81,12,3.19,07058
7,59,238,233,97.9,5,2.1,07059
7,60,260,254,97.69,6,2.31,07060
7,61,308,300,97.4,8,2.6,07061
8,3,384,373,97.14,11,2.86,08003
8,4,394,389,98.73,5,1.27,08004
8,5,406,396,97.54,10,2.46,08005
8,7,387,377,97.42,10,2.58,08007
8,8,404,402,99.5,2,0.5,08008
8,9,442,438,99.1,4,0.9,08009
8,15,325,322,99.08,3,0.92,08015
8,17,337,328,97.33,9,2.67,08017
8,19,469,459,97.87,10,2.13,08019
8,23,402,396,98.51,6,1.49,08023
8,24,427,417,97.66,10,2.34,08024
8,25,418,409,97.85,9,2.15,08025
8,26,343,338,98.54,5,1.46,08026
8,27,446,435,97.53,11,2.47,08027
8,28,349,347,99.43,2,0.57,08028
8,32,619,611,98.71,8,1.29,08032
8,34,523,514,98.28,9,1.72,08034
8,36,395,391,98.99,4,1.01,08036
8,39,421,419,99.52,2,0.48,08039
8,42,405,402,99.26,3,0.74,08042
8,44,304,299,98.36,5,1.64,08044
8,46,348,342,98.28,6,1.72,08046
8,47,391,388,99.23,3,0.77,08047
8,49,520,515,99.04,5,0.96,08049
8,50,403,398,98.76,5,1.24,08050
8,51,483,474,98.14,9,1.86,08051
8,57,373,367,98.39,6,1.61,08057
8,60,361,354,98.06,7,1.94,08060
8,62,322,310,96.27,12,3.73,08062
8,63,368,363,98.64,5,1.36,08063
8,65,263,258,98.1,5,1.9,08065
8,66,605,594,98.18,11,1.82,08066
8,70,653,642,98.32,11,1.68,08070
9,1,465,460,98.92,5,1.08,09001
9,2,511,504,98.63,7,1.37,09002
9,3,307,303,98.7,4,1.3,09003
9,4,410,402,98.05,8,1.95,09004
9,5,477,470,98.53,7,1.47,09005
9,6,473,466,98.52,7,1.48,09006
9,7,414,407,98.31,7,1.69,09007
9,8,501,494,98.6,7,1.4,09008
9,9,473,463,97.89,10,2.11,09009
9,10,424,416,98.11,8,1.89,09010
9,11,364,357,98.08,7,1.92,09011
