ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,Michael Hawkins,Michael Hawkins Percent,Jerome Pohlen,Jerome Pohlen Percent,precinct_id
3,19,125,102,81.6,18,14.4,5,4.0,03019
11,1,357,286,80.11,47,13.17,24,6.72,11001
11,2,376,301,80.05,41,10.9,34,9.04,11002
11,4,394,323,81.98,48,12.18,23,5.84,11004
11,5,256,207,80.86,22,8.59,27,10.55,11005
11,6,447,354,79.19,53,11.86,40,8.95,11006
11,7,303,243,80.2,38,12.54,22,7.26,11007
11,8,362,282,77.9,59,16.3,21,5.8,11008
11,9,259,207,79.92,36,13.9,16,6.18,11009
11,11,531,402,75.71,88,16.57,41,7.72,11011
11,12,322,267,82.92,38,11.8,17,5.28,11012
11,13,322,262,81.37,45,13.98,15,4.66,11013
11,15,277,233,84.12,33,11.91,11,3.97,11015
11,16,426,349,81.92,39,9.15,38,8.92,11016
11,17,485,393,81.03,54,11.13,38,7.84,11017
11,18,197,145,73.6,30,15.23,22,11.17,11018
11,19,353,266,75.35,54,15.3,33,9.35,11019
11,20,247,201,81.38,31,12.55,15,6.07,11020
11,21,293,242,82.59,38,12.97,13,4.44,11021
11,22,287,263,91.64,17,5.92,7,2.44,11022
11,23,269,229,85.13,27,10.04,13,4.83,11023
11,24,512,429,83.79,64,12.5,19,3.71,11024
11,25,371,311,83.83,39,10.51,21,5.66,11025
11,26,463,374,80.78,42,9.07,47,10.15,11026
11,29,373,313,83.91,38,10.19,22,5.9,11029
11,30,371,297,80.05,36,9.7,38,10.24,11030
11,31,210,160,76.19,40,19.05,10,4.76,11031
11,32,231,191,82.68,34,14.72,6,2.6,11032
11,33,207,165,79.71,32,15.46,10,4.83,11033
11,34,84,61,72.62,19,22.62,4,4.76,11034
11,35,435,348,80.0,66,15.17,21,4.83,11035
11,37,408,331,81.13,61,14.95,16,3.92,11037
11,38,444,366,82.43,64,14.41,14,3.15,11038
11,39,408,327,80.15,62,15.2,19,4.66,11039
11,40,195,163,83.59,23,11.79,9,4.62,11040
11,41,187,157,83.96,15,8.02,15,8.02,11041
11,42,248,197,79.44,33,13.31,18,7.26,11042
11,43,369,304,82.38,47,12.74,18,4.88,11043
11,44,363,266,73.28,50,13.77,47,12.95,11044
11,45,179,129,72.07,39,21.79,11,6.15,11045
11,47,320,261,81.56,42,13.13,17,5.31,11047
11,48,129,108,83.72,18,13.95,3,2.33,11048
11,49,277,221,79.78,45,16.25,11,3.97,11049
11,50,213,163,76.53,43,20.19,7,3.29,11050
13,1,350,282,80.57,54,15.43,14,4.0,13001
13,2,266,234,87.97,22,8.27,10,3.76,13002
13,4,553,431,77.94,100,18.08,22,3.98,13004
13,5,411,370,90.02,24,5.84,17,4.14,13005
13,6,380,314,82.63,51,13.42,15,3.95,13006
13,7,314,282,89.81,19,6.05,13,4.14,13007
13,8,372,300,80.65,61,16.4,11,2.96,13008
13,9,392,331,84.44,46,11.73,15,3.83,13009
13,10,315,262,83.17,44,13.97,9,2.86,13010
13,11,378,335,88.62,30,7.94,13,3.44,13011
13,12,351,309,88.03,32,9.12,10,2.85,13012
13,13,386,345,89.38,32,8.29,9,2.33,13013
13,14,376,308,81.91,53,14.1,15,3.99,13014
13,15,502,456,90.84,32,6.37,14,2.79,13015
13,16,450,394,87.56,47,10.44,9,2.0,13016
13,17,373,290,77.75,63,16.89,20,5.36,13017
13,18,328,271,82.62,44,13.41,13,3.96,13018
13,19,509,469,92.14,28,5.5,12,2.36,13019
13,20,392,351,89.54,35,8.93,6,1.53,13020
13,21,404,349,86.39,42,10.4,13,3.22,13021
13,22,326,288,88.34,34,10.43,4,1.23,13022
13,23,344,290,84.3,35,10.17,19,5.52,13023
13,24,335,305,91.04,25,7.46,5,1.49,13024
13,25,358,300,83.8,48,13.41,10,2.79,13025
13,26,397,331,83.38,48,12.09,18,4.53,13026
13,27,362,297,82.04,51,14.09,14,3.87,13027
13,28,276,240,86.96,25,9.06,11,3.99,13028
13,29,307,265,86.32,29,9.45,13,4.23,13029
13,30,507,445,87.77,42,8.28,20,3.94,13030
13,31,447,407,91.05,25,5.59,15,3.36,13031
13,32,378,348,92.06,18,4.76,12,3.17,13032
13,33,360,315,87.5,34,9.44,11,3.06,13033
13,34,488,429,87.91,43,8.81,16,3.28,13034
13,35,361,318,88.09,23,6.37,20,5.54,13035
13,36,230,207,90.0,16,6.96,7,3.04,13036
13,37,338,275,81.36,42,12.43,21,6.21,13037
13,38,406,347,85.47,53,13.05,6,1.48,13038
13,39,377,332,88.06,34,9.02,11,2.92,13039
13,40,441,381,86.39,51,11.56,9,2.04,13040
13,41,282,250,88.65,22,7.8,10,3.55,13041
13,42,318,270,84.91,37,11.64,11,3.46,13042
13,43,346,292,84.39,36,10.4,18,5.2,13043
13,44,405,373,92.1,28,6.91,4,0.99,13044
13,45,459,399,86.93,50,10.89,10,2.18,13045
13,46,386,341,88.34,31,8.03,14,3.63,13046
13,47,460,407,88.48,37,8.04,16,3.48,13047
14,2,242,210,86.78,22,9.09,10,4.13,14002
14,25,267,236,88.39,18,6.74,13,4.87,14025
14,28,310,262,84.52,36,11.61,12,3.87,14028
15,1,214,180,84.11,26,12.15,8,3.74,15001
15,10,274,231,84.31,28,10.22,15,5.47,15010
15,13,282,262,92.91,16,5.67,4,1.42,15013
15,14,363,320,88.15,31,8.54,12,3.31,15014
15,15,327,293,89.6,21,6.42,13,3.98,15015
15,16,236,201,85.17,27,11.44,8,3.39,15016
15,25,393,370,94.15,14,3.56,9,2.29,15025
15,28,351,307,87.46,31,8.83,13,3.7,15028
15,32,374,355,94.92,11,2.94,8,2.14,15032
15,44,345,314,91.01,24,6.96,7,2.03,15044
15,49,107,95,88.79,7,6.54,5,4.67,15049
16,1,269,251,93.31,13,4.83,5,1.86,16001
16,4,260,238,91.54,12,4.62,10,3.85,16004
16,6,117,113,96.58,2,1.71,2,1.71,16006
16,7,311,294,94.53,12,3.86,5,1.61,16007
16,11,406,385,94.83,17,4.19,4,0.99,16011
16,13,255,230,90.2,18,7.06,7,2.75,16013
16,17,239,198,82.85,29,12.13,12,5.02,16017
16,23,315,284,90.16,20,6.35,11,3.49,16023
16,32,131,116,88.55,11,8.4,4,3.05,16032
16,35,380,330,86.84,33,8.68,17,4.47,16035
16,39,345,296,85.8,32,9.28,17,4.93,16039
16,42,275,244,88.73,20,7.27,11,4.0,16042
18,3,319,257,80.56,54,16.93,8,2.51,18003
18,6,349,285,81.66,57,16.33,7,2.01,18006
18,15,240,198,82.5,33,13.75,9,3.75,18015
18,28,332,269,81.02,57,17.17,6,1.81,18028
