ward,precinct,total,Michael J. Zalewski,Michael J. Zalewski Percent,Charles ''Charlie'' Johnson,Charles ''Charlie'' Johnson Percent,Rita Maniotis,Rita Maniotis Percent,precinct_id
13,4,154,124,80.52,19,12.34,11,7.14,13004
23,1,369,266,72.09,87,23.58,16,4.34,23001
23,2,423,320,75.65,76,17.97,27,6.38,23002
23,3,376,276,73.4,79,21.01,21,5.59,23003
23,4,376,282,75.0,68,18.09,26,6.91,23004
23,7,72,66,91.67,5,6.94,1,1.39,23007
23,8,409,344,84.11,41,10.02,24,5.87,23008
23,11,442,339,76.7,79,17.87,24,5.43,23011
23,12,386,288,74.61,73,18.91,25,6.48,23012
23,13,452,344,76.11,81,17.92,27,5.97,23013
23,14,1,1,100.0,0,0.0,0,0.0,23014
23,15,409,329,80.44,71,17.36,9,2.2,23015
23,16,404,319,78.96,53,13.12,32,7.92,23016
23,17,456,336,73.68,85,18.64,35,7.68,23017
23,18,325,237,72.92,66,20.31,22,6.77,23018
23,19,363,267,73.55,64,17.63,32,8.82,23019
23,20,336,265,78.87,58,17.26,13,3.87,23020
23,21,336,322,95.83,6,1.79,8,2.38,23021
23,22,412,323,78.4,60,14.56,29,7.04,23022
23,23,391,305,78.01,67,17.14,19,4.86,23023
23,26,389,284,73.01,91,23.39,14,3.6,23026
23,27,338,263,77.81,56,16.57,19,5.62,23027
23,28,380,284,74.74,79,20.79,17,4.47,23028
23,30,349,291,83.38,46,13.18,12,3.44,23030
23,34,343,287,83.67,30,8.75,26,7.58,23034
23,35,270,261,96.67,5,1.85,4,1.48,23035
23,36,487,388,79.67,80,16.43,19,3.9,23036
23,37,256,247,96.48,2,0.78,7,2.73,23037
23,38,331,274,82.78,36,10.88,21,6.34,23038
23,39,365,278,76.16,62,16.99,25,6.85,23039
23,40,410,308,75.12,79,19.27,23,5.61,23040
23,42,318,260,81.76,43,13.52,15,4.72,23042
23,43,451,344,76.27,88,19.51,19,4.21,23043
23,44,375,298,79.47,48,12.8,29,7.73,23044
23,45,476,376,78.99,76,15.97,24,5.04,23045
23,46,397,310,78.09,64,16.12,23,5.79,23046
23,47,428,308,71.96,85,19.86,35,8.18,23047
23,48,377,301,79.84,53,14.06,23,6.1,23048
23,49,438,326,74.43,89,20.32,23,5.25,23049
23,52,448,345,77.01,78,17.41,25,5.58,23052
23,54,455,380,83.52,66,14.51,9,1.98,23054
23,55,391,292,74.68,77,19.69,22,5.63,23055
23,56,351,259,73.79,65,18.52,27,7.69,23056
