ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,Steve Sauerberg,Steve Sauerberg Percent,Kathy Cummings,Kathy Cummings Percent,Larry A. Stafford,Larry A. Stafford Percent,Chad N. Koppie,Chad N. Koppie Percent,precinct_id
1,1,513,418,81.48,55,10.72,24,4.68,13,2.53,3,0.58,01001
1,2,548,444,81.02,70,12.77,26,4.74,8,1.46,0,0.0,01002
1,3,438,364,83.11,49,11.19,19,4.34,6,1.37,0,0.0,01003
1,4,462,379,82.03,48,10.39,27,5.84,8,1.73,0,0.0,01004
1,5,574,484,84.32,62,10.8,22,3.83,5,0.87,1,0.17,01005
1,6,443,337,76.07,85,19.19,11,2.48,7,1.58,3,0.68,01006
1,7,449,342,76.17,90,20.04,14,3.12,3,0.67,0,0.0,01007
1,8,518,438,84.56,53,10.23,20,3.86,7,1.35,0,0.0,01008
1,9,380,316,83.16,33,8.68,20,5.26,10,2.63,1,0.26,01009
1,10,574,457,79.62,78,13.59,29,5.05,10,1.74,0,0.0,01010
1,11,415,341,82.17,56,13.49,8,1.93,9,2.17,1,0.24,01011
1,12,643,496,77.14,116,18.04,16,2.49,15,2.33,0,0.0,01012
1,13,559,478,85.51,51,9.12,25,4.47,4,0.72,1,0.18,01013
1,14,427,366,85.71,36,8.43,19,4.45,5,1.17,1,0.23,01014
1,15,328,294,89.63,15,4.57,17,5.18,1,0.3,1,0.3,01015
1,16,151,141,93.38,8,5.3,2,1.32,0,0.0,0,0.0,01016
1,17,405,347,85.68,33,8.15,19,4.69,5,1.23,1,0.25,01017
1,18,417,346,82.97,27,6.47,38,9.11,6,1.44,0,0.0,01018
1,19,302,258,85.43,34,11.26,8,2.65,2,0.66,0,0.0,01019
1,20,416,358,86.06,34,8.17,19,4.57,4,0.96,1,0.24,01020
1,21,414,325,78.5,70,16.91,15,3.62,3,0.72,1,0.24,01021
1,22,377,330,87.53,24,6.37,18,4.77,5,1.33,0,0.0,01022
1,23,390,324,83.08,47,12.05,14,3.59,4,1.03,1,0.26,01023
1,24,590,509,86.27,40,6.78,34,5.76,6,1.02,1,0.17,01024
1,25,409,334,81.66,49,11.98,17,4.16,9,2.2,0,0.0,01025
1,26,495,380,76.77,84,16.97,17,3.43,12,2.42,2,0.4,01026
1,27,326,264,80.98,47,14.42,9,2.76,3,0.92,3,0.92,01027
1,28,294,247,84.01,35,11.9,8,2.72,3,1.02,1,0.34,01028
1,29,479,394,82.25,60,12.53,20,4.18,5,1.04,0,0.0,01029
1,30,627,546,87.08,53,8.45,24,3.83,4,0.64,0,0.0,01030
1,31,709,530,74.75,149,21.02,17,2.4,13,1.83,0,0.0,01031
1,32,445,375,84.27,52,11.69,12,2.7,5,1.12,1,0.22,01032
1,33,494,409,82.79,56,11.34,22,4.45,4,0.81,3,0.61,01033
1,34,342,293,85.67,33,9.65,10,2.92,5,1.46,1,0.29,01034
1,35,484,371,76.65,88,18.18,15,3.1,10,2.07,0,0.0,01035
1,36,522,414,79.31,69,13.22,28,5.36,8,1.53,3,0.57,01036
1,37,429,358,83.45,45,10.49,19,4.43,7,1.63,0,0.0,01037
1,38,276,239,86.59,25,9.06,8,2.9,3,1.09,1,0.36,01038
1,39,494,434,87.85,44,8.91,8,1.62,5,1.01,3,0.61,01039
1,40,229,174,75.98,31,13.54,14,6.11,9,3.93,1,0.44,01040
1,41,370,302,81.62,52,14.05,8,2.16,7,1.89,1,0.27,01041
1,42,435,361,82.99,53,12.18,12,2.76,9,2.07,0,0.0,01042
1,43,374,310,82.89,53,14.17,9,2.41,2,0.53,0,0.0,01043
1,44,399,330,82.71,40,10.03,20,5.01,9,2.26,0,0.0,01044
1,45,460,391,85.0,37,8.04,21,4.57,11,2.39,0,0.0,01045
1,46,490,414,84.49,54,11.02,16,3.27,6,1.22,0,0.0,01046
1,47,522,430,82.38,70,13.41,19,3.64,3,0.57,0,0.0,01047
1,48,257,212,82.49,30,11.67,13,5.06,1,0.39,1,0.39,01048
1,49,343,279,81.34,36,10.5,17,4.96,9,2.62,2,0.58,01049
1,50,398,334,83.92,39,9.8,18,4.52,5,1.26,2,0.5,01050
2,1,947,775,81.84,133,14.04,21,2.22,14,1.48,4,0.42,02001
2,2,204,182,89.22,14,6.86,3,1.47,2,0.98,3,1.47,02002
2,3,677,570,84.19,82,12.11,16,2.36,8,1.18,1,0.15,02003
2,4,409,396,96.82,6,1.47,5,1.22,2,0.49,0,0.0,02004
2,5,494,469,94.94,11,2.23,8,1.62,3,0.61,3,0.61,02005
2,6,857,636,74.21,194,22.64,22,2.57,4,0.47,1,0.12,02006
2,7,494,490,99.19,2,0.4,2,0.4,0,0.0,0,0.0,02007
2,8,649,521,80.28,105,16.18,12,1.85,10,1.54,1,0.15,02008
2,9,492,472,95.93,14,2.85,2,0.41,4,0.81,0,0.0,02009
2,10,333,322,96.7,6,1.8,4,1.2,0,0.0,1,0.3,02010
2,11,601,489,81.36,88,14.64,13,2.16,10,1.66,1,0.17,02011
2,12,855,659,77.08,158,18.48,22,2.57,15,1.75,1,0.12,02012
2,13,519,465,89.6,36,6.94,10,1.93,6,1.16,2,0.39,02013
2,14,467,452,96.79,10,2.14,3,0.64,2,0.43,0,0.0,02014
2,15,304,297,97.7,3,0.99,1,0.33,2,0.66,1,0.33,02015
2,16,929,699,75.24,206,22.17,15,1.61,6,0.65,3,0.32,02016
2,17,418,404,96.65,9,2.15,3,0.72,1,0.24,1,0.24,02017
2,18,485,363,74.85,106,21.86,7,1.44,8,1.65,1,0.21,02018
2,19,744,550,73.92,172,23.12,15,2.02,7,0.94,0,0.0,02019
2,20,485,446,91.96,27,5.57,8,1.65,4,0.82,0,0.0,02020
2,21,410,375,91.46,28,6.83,7,1.71,0,0.0,0,0.0,02021
2,22,655,528,80.61,115,17.56,8,1.22,3,0.46,1,0.15,02022
2,23,344,318,92.44,22,6.4,2,0.58,1,0.29,1,0.29,02023
2,24,647,530,81.92,69,10.66,36,5.56,9,1.39,3,0.46,02024
2,25,706,634,89.8,53,7.51,12,1.7,4,0.57,3,0.42,02025
2,26,487,412,84.6,62,12.73,9,1.85,4,0.82,0,0.0,02026
2,27,380,366,96.32,8,2.11,3,0.79,3,0.79,0,0.0,02027
2,28,439,351,79.95,77,17.54,6,1.37,4,0.91,1,0.23,02028
2,29,293,263,89.76,28,9.56,2,0.68,0,0.0,0,0.0,02029
2,30,695,536,77.12,126,18.13,22,3.17,9,1.29,2,0.29,02030
2,31,412,400,97.09,6,1.46,3,0.73,2,0.49,1,0.24,02031
2,32,338,311,92.01,15,4.44,8,2.37,3,0.89,1,0.3,02032
2,33,300,293,97.67,3,1.0,2,0.67,1,0.33,1,0.33,02033
2,34,320,308,96.25,7,2.19,2,0.63,1,0.31,2,0.63,02034
2,35,217,175,80.65,24,11.06,11,5.07,6,2.76,1,0.46,02035
2,36,776,645,83.12,109,14.05,16,2.06,4,0.52,2,0.26,02036
2,37,444,356,80.18,79,17.79,3,0.68,6,1.35,0,0.0,02037
2,38,779,588,75.48,181,23.23,4,0.51,6,0.77,0,0.0,02038
2,39,558,502,89.96,33,5.91,13,2.33,7,1.25,3,0.54,02039
