ward,precinct,total,Dominique C. Ross,Dominique C. Ross Percent,precinct_id
2,14,325,325,100.0,02014
2,20,217,217,100.0,02020
2,31,264,264,100.0,02031
2,44,180,180,100.0,02044
2,46,352,352,100.0,02046
3,1,216,216,100.0,03001
3,2,297,297,100.0,03002
3,4,226,226,100.0,03004
3,5,222,222,100.0,03005
3,7,177,177,100.0,03007
3,8,325,325,100.0,03008
3,9,242,242,100.0,03009
3,10,110,110,100.0,03010
3,11,293,293,100.0,03011
3,12,243,243,100.0,03012
3,14,208,208,100.0,03014
3,15,295,295,100.0,03015
3,16,223,223,100.0,03016
3,17,132,132,100.0,03017
3,18,150,150,100.0,03018
3,20,195,195,100.0,03020
3,21,141,141,100.0,03021
3,22,139,139,100.0,03022
3,23,235,235,100.0,03023
3,24,335,335,100.0,03024
3,25,202,202,100.0,03025
3,26,99,99,100.0,03026
3,27,258,258,100.0,03027
3,29,201,201,100.0,03029
3,30,211,211,100.0,03030
3,31,355,355,100.0,03031
3,32,250,250,100.0,03032
3,33,353,353,100.0,03033
3,34,210,210,100.0,03034
3,35,276,276,100.0,03035
3,36,87,87,100.0,03036
3,37,107,107,100.0,03037
3,38,303,303,100.0,03038
3,39,231,231,100.0,03039
3,40,237,237,100.0,03040
3,41,205,205,100.0,03041
3,42,229,229,100.0,03042
3,43,73,73,100.0,03043
3,44,102,102,100.0,03044
3,46,63,63,100.0,03046
3,47,153,153,100.0,03047
3,48,160,160,100.0,03048
3,49,96,96,100.0,03049
3,50,159,159,100.0,03050
4,1,466,466,100.0,04001
4,2,477,477,100.0,04002
4,3,403,403,100.0,04003
4,4,354,354,100.0,04004
4,5,415,415,100.0,04005
4,6,104,104,100.0,04006
4,7,402,402,100.0,04007
4,8,425,425,100.0,04008
4,9,474,474,100.0,04009
4,10,382,382,100.0,04010
4,11,372,372,100.0,04011
4,12,202,202,100.0,04012
4,13,227,227,100.0,04013
4,14,302,302,100.0,04014
4,15,266,266,100.0,04015
4,16,444,444,100.0,04016
4,17,305,305,100.0,04017
4,18,362,362,100.0,04018
4,19,344,344,100.0,04019
4,20,212,212,100.0,04020
4,21,375,375,100.0,04021
4,22,348,348,100.0,04022
4,23,239,239,100.0,04023
4,24,334,334,100.0,04024
4,25,283,283,100.0,04025
4,26,357,357,100.0,04026
4,27,326,326,100.0,04027
4,28,208,208,100.0,04028
4,29,236,236,100.0,04029
4,30,262,262,100.0,04030
4,31,160,160,100.0,04031
