ward,precinct,total,Annazette R. Collins,Annazette R. Collins Percent,precinct_id
1,6,305,305,100.0,01006
1,8,402,402,100.0,01008
1,12,482,482,100.0,01012
1,31,400,400,100.0,01031
1,32,124,124,100.0,01032
1,35,282,282,100.0,01035
1,44,161,161,100.0,01044
2,5,439,439,100.0,02005
2,15,243,243,100.0,02015
2,23,211,211,100.0,02023
2,27,319,319,100.0,02027
2,42,157,157,100.0,02042
2,45,429,429,100.0,02045
2,47,285,285,100.0,02047
2,48,268,268,100.0,02048
2,52,504,504,100.0,02052
2,56,324,324,100.0,02056
24,18,234,234,100.0,24018
24,29,290,290,100.0,24029
24,33,219,219,100.0,24033
24,55,336,336,100.0,24055
26,7,7,7,100.0,26007
26,17,126,126,100.0,26017
26,28,1,1,100.0,26028
26,32,5,5,100.0,26032
26,33,104,104,100.0,26033
26,46,295,295,100.0,26046
27,2,279,279,100.0,27002
27,3,309,309,100.0,27003
27,8,334,334,100.0,27008
27,10,102,102,100.0,27010
27,14,472,472,100.0,27014
27,15,176,176,100.0,27015
27,18,294,294,100.0,27018
27,19,316,316,100.0,27019
27,22,325,325,100.0,27022
27,23,70,70,100.0,27023
27,24,297,297,100.0,27024
27,25,214,214,100.0,27025
27,26,240,240,100.0,27026
27,27,323,323,100.0,27027
27,29,255,255,100.0,27029
27,30,192,192,100.0,27030
27,31,239,239,100.0,27031
27,33,283,283,100.0,27033
27,34,307,307,100.0,27034
27,36,267,267,100.0,27036
27,40,285,285,100.0,27040
27,41,31,31,100.0,27041
27,44,277,277,100.0,27044
27,45,259,259,100.0,27045
27,46,311,311,100.0,27046
27,47,257,257,100.0,27047
27,48,350,350,100.0,27048
27,49,316,316,100.0,27049
27,50,374,374,100.0,27050
27,52,291,291,100.0,27052
27,53,253,253,100.0,27053
27,54,289,289,100.0,27054
27,55,320,320,100.0,27055
27,56,15,15,100.0,27056
27,57,0,0,0.0,27057
28,2,351,351,100.0,28002
28,3,272,272,100.0,28003
28,5,267,267,100.0,28005
28,6,235,235,100.0,28006
28,7,270,270,100.0,28007
28,9,240,240,100.0,28009
28,10,84,84,100.0,28010
28,11,265,265,100.0,28011
28,13,254,254,100.0,28013
28,18,398,398,100.0,28018
28,20,289,289,100.0,28020
28,22,289,289,100.0,28022
28,23,306,306,100.0,28023
28,24,252,252,100.0,28024
28,25,160,160,100.0,28025
28,26,311,311,100.0,28026
28,28,211,211,100.0,28028
28,30,230,230,100.0,28030
28,31,277,277,100.0,28031
28,32,310,310,100.0,28032
28,33,361,361,100.0,28033
28,36,250,250,100.0,28036
28,37,458,458,100.0,28037
28,43,417,417,100.0,28043
28,44,349,349,100.0,28044
28,50,226,226,100.0,28050
28,59,215,215,100.0,28059
32,2,465,465,100.0,32002
32,4,408,408,100.0,32004
32,5,311,311,100.0,32005
32,6,365,365,100.0,32006
32,26,310,310,100.0,32026
32,29,253,253,100.0,32029
32,31,463,463,100.0,32031
32,33,226,226,100.0,32033
32,34,458,458,100.0,32034
32,35,438,438,100.0,32035
32,36,490,490,100.0,32036
32,37,4,4,100.0,32037
32,46,97,97,100.0,32046
32,50,35,35,100.0,32050
32,51,414,414,100.0,32051
32,52,252,252,100.0,32052
37,3,291,291,100.0,37003
37,4,434,434,100.0,37004
37,8,415,415,100.0,37008
37,12,357,357,100.0,37012
37,13,359,359,100.0,37013
37,28,377,377,100.0,37028
43,1,441,441,100.0,43001
43,3,381,381,100.0,43003
43,5,353,353,100.0,43005
43,9,373,373,100.0,43009
43,10,384,384,100.0,43010
43,11,336,336,100.0,43011
43,15,290,290,100.0,43015
43,47,294,294,100.0,43047
43,55,82,82,100.0,43055
