ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,Jeremy Karpen,Jeremy Karpen Percent,precinct_id
1,7,262,214,81.68,48,18.32,01007
1,9,353,253,71.67,100,28.33,01009
1,13,516,390,75.58,126,24.42,01013
1,20,358,304,84.92,54,15.08,01020
1,24,547,425,77.7,122,22.3,01024
1,29,428,322,75.23,106,24.77,01029
1,30,576,467,81.08,109,18.92,01030
1,31,125,90,72.0,35,28.0,01031
1,34,305,246,80.66,59,19.34,01034
1,38,243,208,85.6,35,14.4,01038
1,39,446,385,86.32,61,13.68,01039
1,41,117,93,79.49,24,20.51,01041
26,8,207,164,79.23,43,20.77,26008
26,19,423,289,68.32,134,31.68,26019
26,34,273,205,75.09,68,24.91,26034
26,51,237,195,82.28,42,17.72,26051
30,9,183,172,93.99,11,6.01,30009
30,18,220,193,87.73,27,12.27,30018
30,19,212,178,83.96,34,16.04,30019
30,25,153,132,86.27,21,13.73,30025
30,36,267,225,84.27,42,15.73,30036
31,1,138,132,95.65,6,4.35,31001
31,2,192,176,91.67,16,8.33,31002
31,4,206,184,89.32,22,10.68,31004
31,5,277,249,89.89,28,10.11,31005
31,6,242,219,90.5,23,9.5,31006
31,7,245,230,93.88,15,6.12,31007
31,9,223,202,90.58,21,9.42,31009
31,11,178,161,90.45,17,9.55,31011
31,13,278,251,90.29,27,9.71,31013
31,14,222,203,91.44,19,8.56,31014
31,16,187,152,81.28,35,18.72,31016
31,18,219,200,91.32,19,8.68,31018
31,19,200,184,92.0,16,8.0,31019
31,22,179,155,86.59,24,13.41,31022
31,28,254,233,91.73,21,8.27,31028
31,30,268,250,93.28,18,6.72,31030
31,31,337,281,83.38,56,16.62,31031
31,32,252,227,90.08,25,9.92,31032
31,33,236,212,89.83,24,10.17,31033
31,38,153,136,88.89,17,11.11,31038
31,41,249,221,88.76,28,11.24,31041
31,46,240,223,92.92,17,7.08,31046
31,47,251,220,87.65,31,12.35,31047
31,48,234,216,92.31,18,7.69,31048
31,49,126,119,94.44,7,5.56,31049
31,50,275,248,90.18,27,9.82,31050
32,14,407,308,75.68,99,24.32,32014
32,16,298,249,83.56,49,16.44,32016
35,1,449,351,78.17,98,21.83,35001
35,3,409,324,79.22,85,20.78,35003
35,5,379,307,81.0,72,19.0,35005
35,6,410,334,81.46,76,18.54,35006
35,7,485,335,69.07,150,30.93,35007
35,8,389,265,68.12,124,31.88,35008
35,9,448,349,77.9,99,22.1,35009
35,10,454,329,72.47,125,27.53,35010
35,11,438,371,84.7,67,15.3,35011
35,12,486,337,69.34,149,30.66,35012
35,13,138,129,93.48,9,6.52,35013
35,14,399,337,84.46,62,15.54,35014
35,15,387,277,71.58,110,28.42,35015
35,16,453,327,72.19,126,27.81,35016
35,17,458,327,71.4,131,28.6,35017
35,18,528,431,81.63,97,18.37,35018
35,19,454,325,71.59,129,28.41,35019
35,20,426,346,81.22,80,18.78,35020
35,21,388,294,75.77,94,24.23,35021
35,24,245,216,88.16,29,11.84,35024
35,25,490,336,68.57,154,31.43,35025
35,27,492,314,63.82,178,36.18,35027
35,28,550,345,62.73,205,37.27,35028
35,29,493,356,72.21,137,27.79,35029
35,30,575,370,64.35,205,35.65,35030
35,31,285,181,63.51,104,36.49,35031
35,33,107,90,84.11,17,15.89,35033
35,34,436,289,66.28,147,33.72,35034
35,36,354,264,74.58,90,25.42,35036
38,53,13,12,92.31,1,7.69,38053
