ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
40,8,76,76,100.0,40008
49,24,308,308,100.0,49024
49,28,264,264,100.0,49028
49,38,308,308,100.0,49038
49,40,279,279,100.0,49040
49,41,304,304,100.0,49041
50,1,343,343,100.0,50001
50,2,367,367,100.0,50002
50,3,277,277,100.0,50003
50,4,331,331,100.0,50004
50,5,330,330,100.0,50005
50,6,216,216,100.0,50006
50,7,330,330,100.0,50007
50,8,294,294,100.0,50008
50,9,250,250,100.0,50009
50,10,234,234,100.0,50010
50,11,305,305,100.0,50011
50,12,141,141,100.0,50012
50,13,354,354,100.0,50013
50,14,114,114,100.0,50014
50,15,345,345,100.0,50015
50,16,135,135,100.0,50016
50,17,282,282,100.0,50017
50,18,273,273,100.0,50018
50,19,252,252,100.0,50019
50,20,298,298,100.0,50020
50,21,290,290,100.0,50021
50,22,434,434,100.0,50022
50,23,230,230,100.0,50023
50,24,357,357,100.0,50024
50,25,257,257,100.0,50025
50,26,269,269,100.0,50026
50,27,97,97,100.0,50027
50,28,242,242,100.0,50028
50,29,340,340,100.0,50029
50,30,247,247,100.0,50030
50,31,95,95,100.0,50031
50,32,346,346,100.0,50032
50,33,260,260,100.0,50033
50,34,126,126,100.0,50034
50,35,392,392,100.0,50035
50,36,295,295,100.0,50036
50,37,329,329,100.0,50037
50,38,174,174,100.0,50038
50,39,236,236,100.0,50039
50,40,342,342,100.0,50040
50,41,376,376,100.0,50041
50,42,287,287,100.0,50042
50,43,314,314,100.0,50043
