ward,precinct,total,Jeffrey M. Schoenberg,Jeffrey M. Schoenberg Percent,Brendan Appel,Brendan Appel Percent,precinct_id
49,1,458,436,95.2,22,4.8,49001
49,5,448,412,91.96,36,8.04,49005
49,6,480,411,85.63,69,14.38,49006
49,14,388,334,86.08,54,13.92,49014
49,16,320,278,86.88,42,13.13,49016
49,20,459,415,90.41,44,9.59,49020
49,30,451,403,89.36,48,10.64,49030
49,34,436,391,89.68,45,10.32,49034
49,35,500,423,84.6,77,15.4,49035
