ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
3,26,87,64,73.56,23,26.44,03026
3,27,223,159,71.3,64,28.7,03027
3,28,526,441,83.84,85,16.16,03028
3,29,126,95,75.4,31,24.6,03029
3,30,158,116,73.42,42,26.58,03030
3,31,301,212,70.43,89,29.57,03031
3,32,209,153,73.21,56,26.79,03032
3,33,297,204,68.69,93,31.31,03033
3,34,180,130,72.22,50,27.78,03034
3,35,238,177,74.37,61,25.63,03035
3,36,76,53,69.74,23,30.26,03036
3,37,92,68,73.91,24,26.09,03037
3,38,228,189,82.89,39,17.11,03038
3,39,158,126,79.75,32,20.25,03039
3,40,188,140,74.47,48,25.53,03040
3,41,159,126,79.25,33,20.75,03041
3,42,165,118,71.52,47,28.48,03042
3,43,47,32,68.09,15,31.91,03043
3,44,82,58,70.73,24,29.27,03044
3,45,282,225,79.79,57,20.21,03045
3,46,31,17,54.84,14,45.16,03046
3,47,107,82,76.64,25,23.36,03047
3,48,119,80,67.23,39,32.77,03048
3,49,73,50,68.49,23,31.51,03049
3,50,146,101,69.18,45,30.82,03050
4,1,405,311,76.79,94,23.21,04001
4,2,425,335,78.82,90,21.18,04002
4,3,314,226,71.97,88,28.03,04003
4,4,217,155,71.43,62,28.57,04004
4,5,338,269,79.59,69,20.41,04005
4,6,94,62,65.96,32,34.04,04006
4,7,326,256,78.53,70,21.47,04007
4,8,327,247,75.54,80,24.46,04008
4,9,389,314,80.72,75,19.28,04009
4,10,311,232,74.6,79,25.4,04010
4,11,312,240,76.92,72,23.08,04011
4,12,169,134,79.29,35,20.71,04012
4,13,221,177,80.09,44,19.91,04013
4,14,271,195,71.96,76,28.04,04014
4,15,206,159,77.18,47,22.82,04015
4,16,299,229,76.59,70,23.41,04016
4,17,252,207,82.14,45,17.86,04017
4,18,312,229,73.4,83,26.6,04018
4,19,253,186,73.52,67,26.48,04019
4,20,152,114,75.0,38,25.0,04020
4,21,331,269,81.27,62,18.73,04021
4,22,307,247,80.46,60,19.54,04022
4,23,208,181,87.02,27,12.98,04023
4,24,297,231,77.78,66,22.22,04024
4,25,240,196,81.67,44,18.33,04025
4,26,318,230,72.33,88,27.67,04026
4,27,282,220,78.01,62,21.99,04027
4,28,178,146,82.02,32,17.98,04028
4,29,231,178,77.06,53,22.94,04029
4,30,232,194,83.62,38,16.38,04030
4,31,106,87,82.08,19,17.92,04031
4,32,255,218,85.49,37,14.51,04032
4,33,221,173,78.28,48,21.72,04033
4,34,196,162,82.65,34,17.35,04034
4,35,182,135,74.18,47,25.82,04035
4,36,213,171,80.28,42,19.72,04036
4,37,45,29,64.44,16,35.56,04037
4,38,357,284,79.55,73,20.45,04038
4,39,196,152,77.55,44,22.45,04039
4,40,235,182,77.45,53,22.55,04040
4,41,144,120,83.33,24,16.67,04041
4,42,330,254,76.97,76,23.03,04042
4,43,168,140,83.33,28,16.67,04043
4,44,176,131,74.43,45,25.57,04044
4,45,308,246,79.87,62,20.13,04045
4,46,248,183,73.79,65,26.21,04046
4,47,409,338,82.64,71,17.36,04047
4,48,294,245,83.33,49,16.67,04048
4,49,147,110,74.83,37,25.17,04049
4,50,209,157,75.12,52,24.88,04050
4,51,266,202,75.94,64,24.06,04051
4,52,293,209,71.33,84,28.67,04052
5,1,250,178,71.2,72,28.8,05001
5,2,240,172,71.67,68,28.33,05002
5,3,140,114,81.43,26,18.57,05003
5,4,165,130,78.79,35,21.21,05004
5,5,243,183,75.31,60,24.69,05005
5,6,305,225,73.77,80,26.23,05006
5,7,300,220,73.33,80,26.67,05007
5,8,251,217,86.45,34,13.55,05008
5,9,262,199,75.95,63,24.05,05009
5,10,261,177,67.82,84,32.18,05010
5,11,209,157,75.12,52,24.88,05011
5,12,185,135,72.97,50,27.03,05012
5,13,276,193,69.93,83,30.07,05013
5,14,273,227,83.15,46,16.85,05014
5,15,185,136,73.51,49,26.49,05015
5,16,235,158,67.23,77,32.77,05016
5,17,232,171,73.71,61,26.29,05017
5,18,265,188,70.94,77,29.06,05018
5,19,165,112,67.88,53,32.12,05019
5,20,122,93,76.23,29,23.77,05020
5,21,288,204,70.83,84,29.17,05021
5,22,220,171,77.73,49,22.27,05022
5,23,166,124,74.7,42,25.3,05023
5,24,150,132,88.0,18,12.0,05024
5,25,213,164,77.0,49,23.0,05025
5,26,305,231,75.74,74,24.26,05026
5,27,300,253,84.33,47,15.67,05027
5,28,273,220,80.59,53,19.41,05028
5,29,282,214,75.89,68,24.11,05029
5,30,178,149,83.71,29,16.29,05030
5,31,297,220,74.07,77,25.93,05031
5,32,357,278,77.87,79,22.13,05032
5,33,122,90,73.77,32,26.23,05033
5,34,305,228,74.75,77,25.25,05034
5,35,182,152,83.52,30,16.48,05035
5,36,205,139,67.8,66,32.2,05036
5,37,189,157,83.07,32,16.93,05037
5,38,180,162,90.0,18,10.0,05038
5,39,271,226,83.39,45,16.61,05039
5,40,325,235,72.31,90,27.69,05040
5,41,148,126,85.14,22,14.86,05041
5,42,275,202,73.45,73,26.55,05042
5,43,271,204,75.28,67,24.72,05043
5,44,338,262,77.51,76,22.49,05044
5,45,161,130,80.75,31,19.25,05045
5,46,248,204,82.26,44,17.74,05046
5,47,220,163,74.09,57,25.91,05047
5,48,154,122,79.22,32,20.78,05048
5,49,61,50,81.97,11,18.03,05049
5,50,212,160,75.47,52,24.53,05050
5,51,207,153,73.91,54,26.09,05051
5,52,44,38,86.36,6,13.64,05052
5,53,239,193,80.75,46,19.25,05053
5,54,328,241,73.48,87,26.52,05054
5,55,207,151,72.95,56,27.05,05055
6,1,273,220,80.59,53,19.41,06001
6,2,283,209,73.85,74,26.15,06002
6,3,235,178,75.74,57,24.26,06003
6,4,178,124,69.66,54,30.34,06004
6,5,160,114,71.25,46,28.75,06005
6,6,193,143,74.09,50,25.91,06006
6,7,256,176,68.75,80,31.25,06007
6,8,304,230,75.66,74,24.34,06008
6,9,228,161,70.61,67,29.39,06009
6,10,277,210,75.81,67,24.19,06010
6,11,260,173,66.54,87,33.46,06011
6,12,285,196,68.77,89,31.23,06012
6,13,252,180,71.43,72,28.57,06013
6,14,288,200,69.44,88,30.56,06014
6,15,152,117,76.97,35,23.03,06015
6,16,236,166,70.34,70,29.66,06016
6,17,284,203,71.48,81,28.52,06017
6,18,205,147,71.71,58,28.29,06018
6,19,337,240,71.22,97,28.78,06019
6,20,235,173,73.62,62,26.38,06020
6,21,238,174,73.11,64,26.89,06021
6,22,216,165,76.39,51,23.61,06022
6,23,207,150,72.46,57,27.54,06023
6,24,280,208,74.29,72,25.71,06024
6,25,214,150,70.09,64,29.91,06025
6,26,258,192,74.42,66,25.58,06026
6,27,299,200,66.89,99,33.11,06027
6,28,449,328,73.05,121,26.95,06028
6,29,293,214,73.04,79,26.96,06029
6,30,261,174,66.67,87,33.33,06030
6,31,301,227,75.42,74,24.58,06031
6,32,279,210,75.27,69,24.73,06032
6,33,345,252,73.04,93,26.96,06033
6,34,265,191,72.08,74,27.92,06034
6,35,241,176,73.03,65,26.97,06035
6,36,159,103,64.78,56,35.22,06036
6,37,251,184,73.31,67,26.69,06037
6,38,305,219,71.8,86,28.2,06038
6,39,239,161,67.36,78,32.64,06039
6,40,153,101,66.01,52,33.99,06040
6,41,242,189,78.1,53,21.9,06041
6,42,133,88,66.17,45,33.83,06042
6,43,303,217,71.62,86,28.38,06043
6,44,266,187,70.3,79,29.7,06044
6,45,221,155,70.14,66,29.86,06045
6,46,253,172,67.98,81,32.02,06046
6,47,274,207,75.55,67,24.45,06047
6,48,213,154,72.3,59,27.7,06048
6,49,200,131,65.5,69,34.5,06049
6,50,267,190,71.16,77,28.84,06050
6,51,192,126,65.63,66,34.38,06051
6,52,193,137,70.98,56,29.02,06052
6,53,214,154,71.96,60,28.04,06053
6,54,199,132,66.33,67,33.67,06054
6,55,265,181,68.3,84,31.7,06055
6,56,204,133,65.2,71,34.8,06056
6,57,163,115,70.55,48,29.45,06057
6,58,240,186,77.5,54,22.5,06058
6,59,252,176,69.84,76,30.16,06059
6,60,162,114,70.37,48,29.63,06060
6,61,190,141,74.21,49,25.79,06061
6,62,272,168,61.76,104,38.24,06062
6,63,223,144,64.57,79,35.43,06063
6,64,268,200,74.63,68,25.37,06064
7,1,388,314,80.93,74,19.07,07001
7,2,310,227,73.23,83,26.77,07002
7,3,200,138,69.0,62,31.0,07003
7,4,178,116,65.17,62,34.83,07004
7,5,227,157,69.16,70,30.84,07005
7,6,182,131,71.98,51,28.02,07006
7,7,163,118,72.39,45,27.61,07007
7,8,124,90,72.58,34,27.42,07008
7,9,253,185,73.12,68,26.88,07009
7,10,197,146,74.11,51,25.89,07010
7,11,244,166,68.03,78,31.97,07011
7,12,165,125,75.76,40,24.24,07012
7,13,179,117,65.36,62,34.64,07013
7,14,331,224,67.67,107,32.33,07014
7,15,157,108,68.79,49,31.21,07015
7,16,219,156,71.23,63,28.77,07016
7,17,119,83,69.75,36,30.25,07017
7,18,202,145,71.78,57,28.22,07018
7,19,313,234,74.76,79,25.24,07019
7,20,143,102,71.33,41,28.67,07020
7,21,249,181,72.69,68,27.31,07021
7,22,168,121,72.02,47,27.98,07022
7,23,255,182,71.37,73,28.63,07023
7,24,215,169,78.6,46,21.4,07024
7,25,273,189,69.23,84,30.77,07025
7,26,299,212,70.9,87,29.1,07026
7,27,350,267,76.29,83,23.71,07027
7,28,347,224,64.55,123,35.45,07028
7,29,226,166,73.45,60,26.55,07029
7,30,226,170,75.22,56,24.78,07030
7,31,217,165,76.04,52,23.96,07031
7,32,244,177,72.54,67,27.46,07032
7,33,155,118,76.13,37,23.87,07033
7,34,234,169,72.22,65,27.78,07034
7,35,331,238,71.9,93,28.1,07035
7,36,227,161,70.93,66,29.07,07036
7,37,129,92,71.32,37,28.68,07037
7,38,177,134,75.71,43,24.29,07038
7,39,332,219,65.96,113,34.04,07039
7,40,275,183,66.55,92,33.45,07040
7,41,165,137,83.03,28,16.97,07041
7,42,313,228,72.84,85,27.16,07042
7,43,278,221,79.5,57,20.5,07043
7,44,316,225,71.2,91,28.8,07044
7,45,293,223,76.11,70,23.89,07045
7,46,58,37,63.79,21,36.21,07046
7,47,203,151,74.38,52,25.62,07047
7,48,212,156,73.58,56,26.42,07048
7,49,119,92,77.31,27,22.69,07049
7,50,147,117,79.59,30,20.41,07050
7,51,415,291,70.12,124,29.88,07051
7,52,171,127,74.27,44,25.73,07052
7,53,204,148,72.55,56,27.45,07053
7,54,112,88,78.57,24,21.43,07054
7,55,201,151,75.12,50,24.88,07055
7,56,238,179,75.21,59,24.79,07056
7,57,147,106,72.11,41,27.89,07057
7,58,244,194,79.51,50,20.49,07058
7,59,137,94,68.61,43,31.39,07059
7,60,168,118,70.24,50,29.76,07060
7,61,172,129,75.0,43,25.0,07061
8,1,275,217,78.91,58,21.09,08001
8,2,144,99,68.75,45,31.25,08002
8,3,289,229,79.24,60,20.76,08003
8,4,238,186,78.15,52,21.85,08004
8,5,248,192,77.42,56,22.58,08005
8,6,243,183,75.31,60,24.69,08006
8,7,214,153,71.5,61,28.5,08007
8,8,231,180,77.92,51,22.08,08008
8,9,290,217,74.83,73,25.17,08009
8,10,316,247,78.16,69,21.84,08010
8,11,160,125,78.13,35,21.88,08011
8,12,251,192,76.49,59,23.51,08012
8,13,224,166,74.11,58,25.89,08013
8,14,272,185,68.01,87,31.99,08014
8,15,189,146,77.25,43,22.75,08015
8,16,262,203,77.48,59,22.52,08016
8,17,177,135,76.27,42,23.73,08017
8,18,188,132,70.21,56,29.79,08018
8,19,280,217,77.5,63,22.5,08019
8,20,182,131,71.98,51,28.02,08020
8,21,190,150,78.95,40,21.05,08021
8,22,241,177,73.44,64,26.56,08022
8,23,239,162,67.78,77,32.22,08023
8,24,272,201,73.9,71,26.1,08024
8,25,253,189,74.7,64,25.3,08025
8,26,194,146,75.26,48,24.74,08026
8,27,290,212,73.1,78,26.9,08027
8,28,212,164,77.36,48,22.64,08028
8,29,288,222,77.08,66,22.92,08029
8,30,208,154,74.04,54,25.96,08030
8,31,173,124,71.68,49,28.32,08031
8,32,384,283,73.7,101,26.3,08032
8,33,213,166,77.93,47,22.07,08033
8,34,298,222,74.5,76,25.5,08034
8,35,279,211,75.63,68,24.37,08035
8,36,237,169,71.31,68,28.69,08036
8,37,275,197,71.64,78,28.36,08037
