ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Robert P. Famiglietti,Robert P. Famiglietti Percent,precinct_id
13,1,340,272,80.0,68,20.0,13001
13,2,260,238,91.54,22,8.46,13002
13,4,380,295,77.63,85,22.37,13004
13,5,415,388,93.49,27,6.51,13005
13,6,373,326,87.4,47,12.6,13006
13,7,309,283,91.59,26,8.41,13007
13,8,374,298,79.68,76,20.32,13008
13,9,397,349,87.91,48,12.09,13009
13,10,307,256,83.39,51,16.61,13010
13,11,379,344,90.77,35,9.23,13011
13,12,352,318,90.34,34,9.66,13012
13,13,387,350,90.44,37,9.56,13013
13,14,378,320,84.66,58,15.34,13014
13,15,492,458,93.09,34,6.91,13015
13,16,449,406,90.42,43,9.58,13016
13,17,372,303,81.45,69,18.55,13017
13,19,246,223,90.65,23,9.35,13019
13,21,407,355,87.22,52,12.78,13021
13,22,315,282,89.52,33,10.48,13022
13,23,342,301,88.01,41,11.99,13023
13,24,330,299,90.61,31,9.39,13024
13,25,356,290,81.46,66,18.54,13025
13,26,397,332,83.63,65,16.37,13026
13,27,359,315,87.74,44,12.26,13027
13,28,278,251,90.29,27,9.71,13028
13,29,308,275,89.29,33,10.71,13029
13,30,62,61,98.39,1,1.61,13030
13,31,87,81,93.1,6,6.9,13031
13,32,379,347,91.56,32,8.44,13032
13,33,354,320,90.4,34,9.6,13033
13,34,484,438,90.5,46,9.5,13034
13,35,363,341,93.94,22,6.06,13035
13,36,230,212,92.17,18,7.83,13036
13,37,335,295,88.06,40,11.94,13037
13,38,406,346,85.22,60,14.78,13038
13,39,371,333,89.76,38,10.24,13039
13,40,441,384,87.07,57,12.93,13040
13,41,277,256,92.42,21,7.58,13041
13,42,321,283,88.16,38,11.84,13042
13,43,345,298,86.38,47,13.62,13043
13,44,340,312,91.76,28,8.24,13044
13,45,449,395,87.97,54,12.03,13045
13,46,383,353,92.17,30,7.83,13046
