ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,239,239,100.0,11003
12,2,215,215,100.0,12002
12,3,232,232,100.0,12003
12,4,163,163,100.0,12004
12,5,222,222,100.0,12005
12,6,165,165,100.0,12006
12,8,74,74,100.0,12008
12,9,22,22,100.0,12009
12,10,225,225,100.0,12010
12,11,347,347,100.0,12011
12,12,217,217,100.0,12012
12,13,325,325,100.0,12013
12,14,245,245,100.0,12014
12,17,215,215,100.0,12017
12,19,269,269,100.0,12019
12,20,199,199,100.0,12020
12,21,279,279,100.0,12021
12,23,233,233,100.0,12023
12,24,256,256,100.0,12024
14,7,208,208,100.0,14007
14,8,182,182,100.0,14008
14,10,266,266,100.0,14010
14,12,211,211,100.0,14012
14,14,220,220,100.0,14014
14,16,271,271,100.0,14016
14,17,266,266,100.0,14017
14,18,244,244,100.0,14018
14,19,341,341,100.0,14019
14,20,223,223,100.0,14020
14,21,253,253,100.0,14021
14,22,329,329,100.0,14022
14,23,331,331,100.0,14023
14,26,284,284,100.0,14026
14,29,287,287,100.0,14029
14,30,215,215,100.0,14030
14,31,236,236,100.0,14031
14,33,203,203,100.0,14033
14,34,44,44,100.0,14034
14,35,285,285,100.0,14035
16,11,339,339,100.0,16011
16,13,226,226,100.0,16013
16,21,259,259,100.0,16021
16,23,274,274,100.0,16023
16,32,123,123,100.0,16032
16,42,236,236,100.0,16042
20,4,275,275,100.0,20004
20,21,167,167,100.0,20021
22,8,222,222,100.0,22008
22,9,270,270,100.0,22009
22,11,235,235,100.0,22011
22,15,221,221,100.0,22015
22,22,215,215,100.0,22022
22,28,29,29,100.0,22028
