ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Diane Shapiro,Diane Shapiro Percent,Paloma Andrade,Paloma Andrade Percent,precinct_id
1,1,460,321,69.78,80,17.39,59,12.83,01001
1,2,490,327,66.73,103,21.02,60,12.24,01002
1,3,398,286,71.86,65,16.33,47,11.81,01003
1,4,402,287,71.39,78,19.4,37,9.2,01004
1,5,508,354,69.69,102,20.08,52,10.24,01005
1,6,392,225,57.4,117,29.85,50,12.76,01006
1,7,406,252,62.07,121,29.8,33,8.13,01007
1,8,470,341,72.55,81,17.23,48,10.21,01008
1,9,352,248,70.45,55,15.63,49,13.92,01009
1,10,511,318,62.23,134,26.22,59,11.55,01010
1,11,379,264,69.66,75,19.79,40,10.55,01011
1,12,571,342,59.89,184,32.22,45,7.88,01012
1,13,510,380,74.51,60,11.76,70,13.73,01013
1,14,405,303,74.81,70,17.28,32,7.9,01014
1,15,306,227,74.18,40,13.07,39,12.75,01015
1,16,153,139,90.85,10,6.54,4,2.61,01016
1,17,356,246,69.1,69,19.38,41,11.52,01017
1,18,383,284,74.15,43,11.23,56,14.62,01018
1,19,272,181,66.54,52,19.12,39,14.34,01019
1,20,384,275,71.61,63,16.41,46,11.98,01020
1,21,362,236,65.19,88,24.31,38,10.5,01021
1,22,355,280,78.87,32,9.01,43,12.11,01022
1,23,356,232,65.17,81,22.75,43,12.08,01023
1,24,548,387,70.62,83,15.15,78,14.23,01024
1,25,350,246,70.29,73,20.86,31,8.86,01025
1,26,448,270,60.27,129,28.79,49,10.94,01026
1,27,305,210,68.85,67,21.97,28,9.18,01027
1,28,277,219,79.06,44,15.88,14,5.05,01028
1,29,439,300,68.34,90,20.5,49,11.16,01029
1,30,578,434,75.09,91,15.74,53,9.17,01030
1,31,611,373,61.05,201,32.9,37,6.06,01031
1,32,396,280,70.71,77,19.44,39,9.85,01032
1,33,455,313,68.79,90,19.78,52,11.43,01033
1,34,314,216,68.79,61,19.43,37,11.78,01034
1,35,412,262,63.59,123,29.85,27,6.55,01035
1,36,466,324,69.53,97,20.82,45,9.66,01036
1,37,376,264,70.21,61,16.22,51,13.56,01037
1,38,256,192,75.0,38,14.84,26,10.16,01038
1,39,450,336,74.67,63,14.0,51,11.33,01039
1,40,210,137,65.24,49,23.33,24,11.43,01040
1,41,353,230,65.16,77,21.81,46,13.03,01041
1,42,388,250,64.43,107,27.58,31,7.99,01042
1,43,352,240,68.18,73,20.74,39,11.08,01043
1,44,362,237,65.47,62,17.13,63,17.4,01044
1,45,426,295,69.25,68,15.96,63,14.79,01045
1,46,444,305,68.69,90,20.27,49,11.04,01046
1,47,454,300,66.08,110,24.23,44,9.69,01047
1,48,235,157,66.81,55,23.4,23,9.79,01048
1,49,294,190,64.63,58,19.73,46,15.65,01049
1,50,352,245,69.6,66,18.75,41,11.65,01050
2,1,851,566,66.51,218,25.62,67,7.87,02001
2,2,184,154,83.7,24,13.04,6,3.26,02002
2,3,626,460,73.48,123,19.65,43,6.87,02003
2,4,409,397,97.07,7,1.71,5,1.22,02004
2,5,503,462,91.85,23,4.57,18,3.58,02005
2,6,770,457,59.35,274,35.58,39,5.06,02006
2,7,484,467,96.49,11,2.27,6,1.24,02007
2,8,587,379,64.57,173,29.47,35,5.96,02008
2,9,480,446,92.92,26,5.42,8,1.67,02009
2,10,333,322,96.7,7,2.1,4,1.2,02010
2,11,561,352,62.75,160,28.52,49,8.73,02011
2,12,774,460,59.43,257,33.2,57,7.36,02012
2,13,504,427,84.72,56,11.11,21,4.17,02013
2,14,452,409,90.49,27,5.97,16,3.54,02014
2,15,280,274,97.86,4,1.43,2,0.71,02015
2,16,826,480,58.11,295,35.71,51,6.17,02016
2,17,415,397,95.66,13,3.13,5,1.2,02017
2,18,455,278,61.1,158,34.73,19,4.18,02018
2,19,707,426,60.25,234,33.1,47,6.65,02019
2,20,478,421,88.08,43,9.0,14,2.93,02020
2,21,413,350,84.75,49,11.86,14,3.39,02021
2,22,609,414,67.98,159,26.11,36,5.91,02022
2,23,334,281,84.13,39,11.68,14,4.19,02023
2,24,576,432,75.0,105,18.23,39,6.77,02024
2,25,669,547,81.76,89,13.3,33,4.93,02025
2,26,449,339,75.5,91,20.27,19,4.23,02026
2,27,378,366,96.83,9,2.38,3,0.79,02027
2,28,400,259,64.75,124,31.0,17,4.25,02028
2,29,272,221,81.25,42,15.44,9,3.31,02029
2,30,629,392,62.32,192,30.52,45,7.15,02030
2,31,415,393,94.7,13,3.13,9,2.17,02031
2,32,329,288,87.54,26,7.9,15,4.56,02032
2,33,305,293,96.07,5,1.64,7,2.3,02033
2,34,334,318,95.21,13,3.89,3,0.9,02034
2,35,189,140,74.07,32,16.93,17,8.99,02035
2,36,727,507,69.74,176,24.21,44,6.05,02036
2,37,406,258,63.55,124,30.54,24,5.91,02037
