ward,precinct,total,Edward A. Arce,Edward A. Arce Percent,precinct_id
2,28,38,38,100.0,02028
3,13,147,147,100.0,03013
3,19,87,87,100.0,03019
3,47,5,5,100.0,03047
11,1,263,263,100.0,11001
11,2,228,228,100.0,11002
11,3,190,190,100.0,11003
11,4,234,234,100.0,11004
11,5,164,164,100.0,11005
11,6,272,272,100.0,11006
11,7,192,192,100.0,11007
11,8,200,200,100.0,11008
11,9,140,140,100.0,11009
11,10,147,147,100.0,11010
11,11,347,347,100.0,11011
11,16,267,267,100.0,11016
11,17,342,342,100.0,11017
11,18,153,153,100.0,11018
11,19,206,206,100.0,11019
11,20,152,152,100.0,11020
11,21,204,204,100.0,11021
11,22,165,165,100.0,11022
11,23,156,156,100.0,11023
11,24,345,345,100.0,11024
11,25,228,228,100.0,11025
11,26,307,307,100.0,11026
11,29,233,233,100.0,11029
11,30,213,213,100.0,11030
11,33,135,135,100.0,11033
11,35,244,244,100.0,11035
11,37,236,236,100.0,11037
11,38,275,275,100.0,11038
11,40,122,122,100.0,11040
11,41,116,116,100.0,11041
11,42,69,69,100.0,11042
11,44,216,216,100.0,11044
11,50,145,145,100.0,11050
12,1,111,111,100.0,12001
12,2,151,151,100.0,12002
12,3,176,176,100.0,12003
12,4,128,128,100.0,12004
12,5,168,168,100.0,12005
12,6,132,132,100.0,12006
12,7,221,221,100.0,12007
12,8,289,289,100.0,12008
12,9,134,134,100.0,12009
12,10,191,191,100.0,12010
12,11,271,271,100.0,12011
12,12,165,165,100.0,12012
12,13,251,251,100.0,12013
12,14,175,175,100.0,12014
12,15,123,123,100.0,12015
12,16,170,170,100.0,12016
12,17,167,167,100.0,12017
12,18,201,201,100.0,12018
12,19,248,248,100.0,12019
12,20,164,164,100.0,12020
12,21,205,205,100.0,12021
12,22,146,146,100.0,12022
12,23,185,185,100.0,12023
12,24,209,209,100.0,12024
14,5,237,237,100.0,14005
14,7,174,174,100.0,14007
14,8,140,140,100.0,14008
14,10,204,204,100.0,14010
14,11,148,148,100.0,14011
14,12,164,164,100.0,14012
14,14,176,176,100.0,14014
14,15,233,233,100.0,14015
14,16,210,210,100.0,14016
14,17,165,165,100.0,14017
14,18,204,204,100.0,14018
14,19,266,266,100.0,14019
14,20,170,170,100.0,14020
14,21,166,166,100.0,14021
14,22,239,239,100.0,14022
14,23,267,267,100.0,14023
14,24,120,120,100.0,14024
14,26,232,232,100.0,14026
14,29,216,216,100.0,14029
14,30,168,168,100.0,14030
14,31,181,181,100.0,14031
14,32,128,128,100.0,14032
14,33,137,137,100.0,14033
14,34,178,178,100.0,14034
14,35,232,232,100.0,14035
15,6,233,233,100.0,15006
15,9,234,234,100.0,15009
15,11,268,268,100.0,15011
15,13,166,166,100.0,15013
15,15,216,216,100.0,15015
15,22,287,287,100.0,15022
15,24,183,183,100.0,15024
15,25,257,257,100.0,15025
15,27,169,169,100.0,15027
15,29,107,107,100.0,15029
15,30,228,228,100.0,15030
15,32,238,238,100.0,15032
15,38,183,183,100.0,15038
15,44,211,211,100.0,15044
15,45,142,142,100.0,15045
15,48,131,131,100.0,15048
15,49,187,187,100.0,15049
15,50,154,154,100.0,15050
16,1,170,170,100.0,16001
16,2,152,152,100.0,16002
16,4,177,177,100.0,16004
16,7,210,210,100.0,16007
16,11,227,227,100.0,16011
16,13,180,180,100.0,16013
16,21,218,218,100.0,16021
16,23,200,200,100.0,16023
16,32,184,184,100.0,16032
16,35,249,249,100.0,16035
16,39,48,48,100.0,16039
16,42,196,196,100.0,16042
16,44,215,215,100.0,16044
20,4,208,208,100.0,20004
20,8,74,74,100.0,20008
20,15,202,202,100.0,20015
20,21,124,124,100.0,20021
20,41,89,89,100.0,20041
22,1,147,147,100.0,22001
22,2,139,139,100.0,22002
22,3,210,210,100.0,22003
22,4,173,173,100.0,22004
22,5,203,203,100.0,22005
22,6,159,159,100.0,22006
22,8,161,161,100.0,22008
22,9,216,216,100.0,22009
22,10,186,186,100.0,22010
22,11,173,173,100.0,22011
22,12,135,135,100.0,22012
22,13,223,223,100.0,22013
22,14,145,145,100.0,22014
22,15,159,159,100.0,22015
22,16,195,195,100.0,22016
22,17,204,204,100.0,22017
22,18,190,190,100.0,22018
22,19,174,174,100.0,22019
22,20,192,192,100.0,22020
22,22,158,158,100.0,22022
22,23,191,191,100.0,22023
22,24,143,143,100.0,22024
22,25,147,147,100.0,22025
22,26,127,127,100.0,22026
22,27,236,236,100.0,22027
22,28,143,143,100.0,22028
22,29,132,132,100.0,22029
23,31,233,233,100.0,23031
24,10,6,6,100.0,24010
24,44,272,272,100.0,24044
24,53,221,221,100.0,24053
25,1,267,267,100.0,25001
25,2,363,363,100.0,25002
25,3,114,114,100.0,25003
25,5,245,245,100.0,25005
25,6,184,184,100.0,25006
25,7,240,240,100.0,25007
25,8,275,275,100.0,25008
25,9,348,348,100.0,25009
25,11,313,313,100.0,25011
25,12,283,283,100.0,25012
25,13,292,292,100.0,25013
25,15,261,261,100.0,25015
25,17,400,400,100.0,25017
25,19,269,269,100.0,25019
25,20,336,336,100.0,25020
25,22,168,168,100.0,25022
25,23,313,313,100.0,25023
25,24,349,349,100.0,25024
25,25,180,180,100.0,25025
25,27,221,221,100.0,25027
25,29,232,232,100.0,25029
25,30,275,275,100.0,25030
25,31,185,185,100.0,25031
28,29,229,229,100.0,28029
28,34,45,45,100.0,28034
28,38,107,107,100.0,28038
28,53,153,153,100.0,28053
