ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,10,373,373,100.0,09010
9,20,379,379,100.0,09020
9,21,400,400,100.0,09021
9,27,354,354,100.0,09027
19,13,341,341,100.0,19013
19,20,382,382,100.0,19020
19,27,293,293,100.0,19027
19,28,478,478,100.0,19028
19,31,329,329,100.0,19031
19,40,385,385,100.0,19040
19,42,425,425,100.0,19042
19,43,525,525,100.0,19043
19,48,379,379,100.0,19048
19,49,506,506,100.0,19049
19,50,554,554,100.0,19050
19,60,398,398,100.0,19060
19,63,287,287,100.0,19063
19,64,451,451,100.0,19064
19,66,514,514,100.0,19066
21,1,535,535,100.0,21001
21,3,332,332,100.0,21003
21,4,416,416,100.0,21004
21,5,391,391,100.0,21005
21,6,367,367,100.0,21006
21,7,400,400,100.0,21007
21,8,449,449,100.0,21008
21,9,470,470,100.0,21009
21,10,308,308,100.0,21010
21,11,398,398,100.0,21011
21,12,400,400,100.0,21012
21,13,218,218,100.0,21013
21,14,417,417,100.0,21014
21,17,386,386,100.0,21017
21,18,348,348,100.0,21018
21,19,325,325,100.0,21019
21,20,222,222,100.0,21020
21,21,445,445,100.0,21021
21,22,359,359,100.0,21022
21,24,424,424,100.0,21024
21,27,388,388,100.0,21027
21,28,310,310,100.0,21028
21,31,511,511,100.0,21031
21,33,403,403,100.0,21033
21,38,385,385,100.0,21038
21,40,319,319,100.0,21040
21,42,373,373,100.0,21042
21,44,381,381,100.0,21044
21,45,326,326,100.0,21045
21,47,430,430,100.0,21047
21,49,447,447,100.0,21049
21,50,363,363,100.0,21050
21,51,412,412,100.0,21051
21,53,254,254,100.0,21053
21,54,319,319,100.0,21054
21,56,291,291,100.0,21056
21,58,291,291,100.0,21058
21,59,490,490,100.0,21059
21,60,392,392,100.0,21060
21,61,447,447,100.0,21061
21,63,348,348,100.0,21063
21,66,303,303,100.0,21066
21,68,396,396,100.0,21068
34,1,576,576,100.0,34001
34,7,490,490,100.0,34007
34,8,458,458,100.0,34008
34,12,522,522,100.0,34012
34,13,523,523,100.0,34013
34,19,104,104,100.0,34019
34,21,384,384,100.0,34021
34,25,470,470,100.0,34025
34,29,403,403,100.0,34029
34,32,240,240,100.0,34032
34,33,231,231,100.0,34033
34,34,462,462,100.0,34034
34,44,450,450,100.0,34044
34,45,430,430,100.0,34045
34,46,426,426,100.0,34046
34,47,267,267,100.0,34047
34,48,495,495,100.0,34048
34,49,562,562,100.0,34049
34,51,627,627,100.0,34051
34,55,464,464,100.0,34055
34,56,234,234,100.0,34056
34,57,492,492,100.0,34057
34,58,412,412,100.0,34058
34,61,358,358,100.0,34061
