ward,precinct,total,Aurora Austriaco,Aurora Austriaco Percent,Rosemary E. Mulligan,Rosemary E. Mulligan Percent,precinct_id
41,13,270,142,52.59,128,47.41,41013
41,25,314,207,65.92,107,34.08,41025
41,26,208,107,51.44,101,48.56,41026
41,28,503,322,64.02,181,35.98,41028
41,29,305,200,65.57,105,34.43,41029
41,32,353,171,48.44,182,51.56,41032
41,48,328,194,59.15,134,40.85,41048
