ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
2,1,737,737,100.0,02001
2,11,445,445,100.0,02011
2,14,373,373,100.0,02014
2,18,0,0,0.0,02018
2,20,66,66,100.0,02020
2,22,500,500,100.0,02022
2,24,454,454,100.0,02024
2,26,0,0,0.0,02026
2,31,129,129,100.0,02031
2,35,180,180,100.0,02035
2,43,394,394,100.0,02043
2,49,275,275,100.0,02049
2,53,513,513,100.0,02053
2,54,531,531,100.0,02054
2,55,231,231,100.0,02055
3,1,319,319,100.0,03001
3,3,467,467,100.0,03003
3,6,302,302,100.0,03006
3,8,426,426,100.0,03008
3,9,158,158,100.0,03009
3,11,330,330,100.0,03011
3,14,226,226,100.0,03014
3,15,371,371,100.0,03015
3,17,192,192,100.0,03017
3,18,193,193,100.0,03018
3,22,187,187,100.0,03022
3,23,347,347,100.0,03023
3,24,422,422,100.0,03024
3,27,354,354,100.0,03027
3,28,725,725,100.0,03028
3,29,286,286,100.0,03029
3,32,327,327,100.0,03032
3,33,474,474,100.0,03033
3,35,353,353,100.0,03035
3,36,128,128,100.0,03036
3,37,134,134,100.0,03037
3,38,64,64,100.0,03038
3,40,300,300,100.0,03040
3,41,239,239,100.0,03041
3,42,326,326,100.0,03042
3,43,108,108,100.0,03043
3,45,245,245,100.0,03045
3,46,87,87,100.0,03046
3,47,215,215,100.0,03047
3,49,115,115,100.0,03049
4,6,135,135,100.0,04006
11,14,212,212,100.0,11014
11,36,51,51,100.0,11036
11,48,15,15,100.0,11048
20,1,335,335,100.0,20001
20,3,299,299,100.0,20003
20,6,423,423,100.0,20006
20,7,110,110,100.0,20007
20,11,253,253,100.0,20011
20,12,41,41,100.0,20012
20,14,448,448,100.0,20014
20,17,248,248,100.0,20017
20,23,471,471,100.0,20023
20,27,274,274,100.0,20027
20,31,395,395,100.0,20031
20,33,388,388,100.0,20033
20,37,334,334,100.0,20037
20,42,366,366,100.0,20042
20,46,310,310,100.0,20046
25,14,168,168,100.0,25014
25,16,193,193,100.0,25016
25,18,141,141,100.0,25018
27,5,161,161,100.0,27005
27,6,192,192,100.0,27006
27,9,340,340,100.0,27009
27,12,465,465,100.0,27012
27,16,165,165,100.0,27016
27,20,553,553,100.0,27020
27,21,260,260,100.0,27021
27,28,331,331,100.0,27028
27,37,304,304,100.0,27037
27,39,243,243,100.0,27039
27,42,276,276,100.0,27042
27,43,166,166,100.0,27043
27,51,151,151,100.0,27051
42,3,396,396,100.0,42003
42,4,288,288,100.0,42004
42,9,498,498,100.0,42009
42,17,615,615,100.0,42017
42,19,209,209,100.0,42019
42,20,275,275,100.0,42020
42,22,402,402,100.0,42022
42,24,103,103,100.0,42024
42,27,370,370,100.0,42027
42,32,333,333,100.0,42032
42,39,145,145,100.0,42039
42,45,331,331,100.0,42045
42,46,336,336,100.0,42046
42,49,115,115,100.0,42049
42,55,392,392,100.0,42055
42,56,475,475,100.0,42056
42,57,348,348,100.0,42057
42,58,311,311,100.0,42058
42,60,246,246,100.0,42060
42,61,26,26,100.0,42061
43,13,240,240,100.0,43013
43,19,341,341,100.0,43019
43,30,342,342,100.0,43030
43,37,385,385,100.0,43037
43,51,393,393,100.0,43051
43,54,322,322,100.0,43054
43,55,262,262,100.0,43055
