ward,precinct,total,James Buiter,James Buiter Percent,precinct_id
9,3,265,4,1.51,09003
9,7,389,9,2.31,09007
9,15,467,15,3.21,09015
9,16,402,4,1.0,09016
9,24,220,9,4.09,09024
9,26,364,6,1.65,09026
9,28,313,12,3.83,09028
9,33,312,10,3.21,09033
9,41,448,11,2.46,09041
9,42,264,9,3.41,09042
9,44,332,9,2.71,09044
9,50,412,5,1.21,09050
