ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,precinct_id
28,16,282,282,100.0,28016
28,47,261,261,100.0,28047
29,4,364,364,100.0,29004
29,5,362,362,100.0,29005
29,8,267,267,100.0,29008
29,11,390,390,100.0,29011
29,13,390,390,100.0,29013
29,18,443,443,100.0,29018
29,23,357,357,100.0,29023
29,26,327,327,100.0,29026
29,29,447,447,100.0,29029
29,33,257,257,100.0,29033
29,35,310,310,100.0,29035
29,37,363,363,100.0,29037
29,40,495,495,100.0,29040
29,41,414,414,100.0,29041
29,43,455,455,100.0,29043
29,44,328,328,100.0,29044
29,45,324,324,100.0,29045
29,46,384,384,100.0,29046
29,47,481,481,100.0,29047
29,48,349,349,100.0,29048
36,2,230,230,100.0,36002
36,16,408,408,100.0,36016
36,22,367,367,100.0,36022
36,23,142,142,100.0,36023
36,24,350,350,100.0,36024
36,33,223,223,100.0,36033
36,44,306,306,100.0,36044
36,45,259,259,100.0,36045
36,54,401,401,100.0,36054
36,55,361,361,100.0,36055
37,5,437,437,100.0,37005
37,6,446,446,100.0,37006
37,7,478,478,100.0,37007
37,9,398,398,100.0,37009
37,17,389,389,100.0,37017
37,18,392,392,100.0,37018
37,29,442,442,100.0,37029
37,32,416,416,100.0,37032
37,35,342,342,100.0,37035
37,37,368,368,100.0,37037
37,38,462,462,100.0,37038
