ward,precinct,total,"Larry R. Rogers, Jr.","Larry R. Rogers, Jr. Percent",Lionel Garcia,Lionel Garcia Percent,Antonne ''Tony'' Cox,Antonne ''Tony'' Cox Percent,precinct_id
2,2,174,149,85.63,18,10.34,7,4.02,02002
2,3,591,450,76.14,86,14.55,55,9.31,02003
2,4,385,376,97.66,5,1.3,4,1.04,02004
2,5,480,439,91.46,18,3.75,23,4.79,02005
2,6,727,485,66.71,193,26.55,49,6.74,02006
2,7,455,438,96.26,5,1.1,12,2.64,02007
2,9,460,431,93.7,19,4.13,10,2.17,02009
2,10,315,300,95.24,12,3.81,3,0.95,02010
2,12,732,478,65.3,191,26.09,63,8.61,02012
2,13,470,390,82.98,45,9.57,35,7.45,02013
2,14,429,397,92.54,16,3.73,16,3.73,02014
2,15,267,249,93.26,11,4.12,7,2.62,02015
2,16,775,495,63.87,220,28.39,60,7.74,02016
2,17,395,371,93.92,13,3.29,11,2.78,02017
2,18,432,295,68.29,120,27.78,17,3.94,02018
2,19,647,416,64.3,194,29.98,37,5.72,02019
2,20,439,378,86.1,39,8.88,22,5.01,02020
2,21,349,304,87.11,31,8.88,14,4.01,02021
2,23,326,278,85.28,29,8.9,19,5.83,02023
2,25,634,520,82.02,75,11.83,39,6.15,02025
2,26,415,314,75.66,70,16.87,31,7.47,02026
2,27,355,335,94.37,11,3.1,9,2.54,02027
2,29,246,197,80.08,34,13.82,15,6.1,02029
2,30,602,388,64.45,158,26.25,56,9.3,02030
2,31,392,366,93.37,13,3.32,13,3.32,02031
2,33,288,272,94.44,7,2.43,9,3.13,02033
2,34,301,282,93.69,11,3.65,8,2.66,02034
2,38,691,448,64.83,211,30.54,32,4.63,02038
2,39,508,424,83.46,58,11.42,26,5.12,02039
2,40,334,236,70.66,75,22.46,23,6.89,02040
2,41,248,240,96.77,1,0.4,7,2.82,02041
2,42,179,174,97.21,4,2.23,1,0.56,02042
2,44,256,236,92.19,10,3.91,10,3.91,02044
2,45,473,427,90.27,28,5.92,18,3.81,02045
2,46,479,438,91.44,14,2.92,27,5.64,02046
2,47,299,281,93.98,6,2.01,12,4.01,02047
2,48,295,289,97.97,1,0.34,5,1.69,02048
2,51,361,335,92.8,15,4.16,11,3.05,02051
2,52,560,522,93.21,20,3.57,18,3.21,02052
2,56,352,321,91.19,18,5.11,13,3.69,02056
3,1,322,311,96.58,4,1.24,7,2.17,03001
3,2,421,403,95.72,6,1.43,12,2.85,03002
3,4,292,281,96.23,5,1.71,6,2.05,03004
3,5,302,278,92.05,13,4.3,11,3.64,03005
3,6,327,316,96.64,1,0.31,10,3.06,03006
3,7,270,256,94.81,7,2.59,7,2.59,03007
3,8,467,443,94.86,13,2.78,11,2.36,03008
3,9,330,315,95.45,3,0.91,12,3.64,03009
3,10,175,166,94.86,4,2.29,5,2.86,03010
3,11,396,372,93.94,6,1.52,18,4.55,03011
3,12,327,313,95.72,4,1.22,10,3.06,03012
3,14,239,236,98.74,1,0.42,2,0.84,03014
3,15,409,388,94.87,8,1.96,13,3.18,03015
3,16,299,284,94.98,3,1.0,12,4.01,03016
3,17,216,209,96.76,3,1.39,4,1.85,03017
3,18,202,194,96.04,2,0.99,6,2.97,03018
3,19,45,35,77.78,9,20.0,1,2.22,03019
3,20,284,270,95.07,3,1.06,11,3.87,03020
3,21,209,201,96.17,4,1.91,4,1.91,03021
3,22,211,206,97.63,2,0.95,3,1.42,03022
3,23,391,370,94.63,8,2.05,13,3.32,03023
3,24,447,420,93.96,10,2.24,17,3.8,03024
3,25,297,290,97.64,2,0.67,5,1.68,03025
3,26,151,148,98.01,1,0.66,2,1.32,03026
3,27,379,356,93.93,8,2.11,15,3.96,03027
3,30,278,266,95.68,5,1.8,7,2.52,03030
3,31,495,474,95.76,6,1.21,15,3.03,03031
3,32,344,330,95.93,2,0.58,12,3.49,03032
3,33,513,491,95.71,13,2.53,9,1.75,03033
3,34,287,263,91.64,6,2.09,18,6.27,03034
3,35,380,364,95.79,3,0.79,13,3.42,03035
3,36,136,134,98.53,0,0.0,2,1.47,03036
3,37,140,128,91.43,3,2.14,9,6.43,03037
3,38,425,412,96.94,3,0.71,10,2.35,03038
3,39,342,334,97.66,6,1.75,2,0.58,03039
3,40,324,309,95.37,6,1.85,9,2.78,03040
3,41,280,234,83.57,24,8.57,22,7.86,03041
3,42,360,342,95.0,6,1.67,12,3.33,03042
3,43,119,116,97.48,1,0.84,2,1.68,03043
3,44,162,151,93.21,6,3.7,5,3.09,03044
3,45,453,379,83.66,51,11.26,23,5.08,03045
3,46,90,88,97.78,1,1.11,1,1.11,03046
3,47,221,215,97.29,3,1.36,3,1.36,03047
3,48,246,233,94.72,8,3.25,5,2.03,03048
3,49,130,127,97.69,0,0.0,3,2.31,03049
3,50,273,267,97.8,2,0.73,4,1.47,03050
4,1,647,523,80.83,48,7.42,76,11.75,04001
4,2,597,566,94.81,15,2.51,16,2.68,04002
4,3,554,520,93.86,8,1.44,26,4.69,04003
4,4,481,460,95.63,10,2.08,11,2.29,04004
4,5,512,481,93.95,12,2.34,19,3.71,04005
4,6,143,138,96.5,2,1.4,3,2.1,04006
4,7,536,510,95.15,9,1.68,17,3.17,04007
4,8,535,504,94.21,13,2.43,18,3.36,04008
4,9,633,603,95.26,9,1.42,21,3.32,04009
4,10,505,478,94.65,11,2.18,16,3.17,04010
4,11,484,465,96.07,7,1.45,12,2.48,04011
4,12,265,249,93.96,3,1.13,13,4.91,04012
4,13,321,282,87.85,16,4.98,23,7.17,04013
4,14,422,408,96.68,4,0.95,10,2.37,04014
4,15,352,313,88.92,20,5.68,19,5.4,04015
4,16,540,518,95.93,6,1.11,16,2.96,04016
4,17,441,368,83.45,52,11.79,21,4.76,04017
4,18,489,462,94.48,16,3.27,11,2.25,04018
4,19,481,464,96.47,8,1.66,9,1.87,04019
4,20,291,281,96.56,3,1.03,7,2.41,04020
4,21,498,450,90.36,20,4.02,28,5.62,04021
4,22,480,442,92.08,11,2.29,27,5.63,04022
4,23,326,275,84.36,26,7.98,25,7.67,04023
4,24,476,431,90.55,18,3.78,27,5.67,04024
4,25,373,353,94.64,12,3.22,8,2.14,04025
4,26,504,477,94.64,10,1.98,17,3.37,04026
4,27,400,389,97.25,3,0.75,8,2.0,04027
4,28,273,225,82.42,28,10.26,20,7.33,04028
4,29,351,302,86.04,30,8.55,19,5.41,04029
4,30,365,333,91.23,17,4.66,15,4.11,04030
4,31,261,201,77.01,20,7.66,40,15.33,04031
4,32,432,340,78.7,38,8.8,54,12.5,04032
4,33,385,361,93.77,9,2.34,15,3.9,04033
4,34,300,236,78.67,26,8.67,38,12.67,04034
4,35,327,311,95.11,7,2.14,9,2.75,04035
4,36,324,297,91.67,14,4.32,13,4.01,04036
4,37,81,77,95.06,1,1.23,3,3.7,04037
4,38,573,509,88.83,24,4.19,40,6.98,04038
4,39,338,323,95.56,7,2.07,8,2.37,04039
4,40,454,423,93.17,13,2.86,18,3.96,04040
4,41,228,162,71.05,23,10.09,43,18.86,04041
4,42,481,451,93.76,17,3.53,13,2.7,04042
4,43,272,230,84.56,16,5.88,26,9.56,04043
4,44,284,246,86.62,12,4.23,26,9.15,04044
4,45,556,517,92.99,24,4.32,15,2.7,04045
4,46,337,318,94.36,4,1.19,15,4.45,04046
4,47,632,539,85.28,27,4.27,66,10.44,04047
4,48,441,378,85.71,33,7.48,30,6.8,04048
4,49,292,281,96.23,3,1.03,8,2.74,04049
4,50,375,358,95.47,7,1.87,10,2.67,04050
4,51,415,389,93.73,8,1.93,18,4.34,04051
4,52,510,493,96.67,1,0.2,16,3.14,04052
5,1,484,472,97.52,4,0.83,8,1.65,05001
5,2,388,370,95.36,8,2.06,10,2.58,05002
5,3,226,202,89.38,8,3.54,16,7.08,05003
5,4,284,273,96.13,6,2.11,5,1.76,05004
5,5,425,408,96.0,5,1.18,12,2.82,05005
5,6,484,459,94.83,9,1.86,16,3.31,05006
5,7,441,426,96.6,6,1.36,9,2.04,05007
5,8,453,363,80.13,38,8.39,52,11.48,05008
5,9,404,391,96.78,3,0.74,10,2.48,05009
5,10,420,401,95.48,5,1.19,14,3.33,05010
5,11,325,270,83.08,27,8.31,28,8.62,05011
5,12,296,282,95.27,6,2.03,8,2.7,05012
5,13,403,378,93.8,12,2.98,13,3.23,05013
5,14,468,404,86.32,22,4.7,42,8.97,05014
5,15,322,274,85.09,16,4.97,32,9.94,05015
5,16,359,346,96.38,7,1.95,6,1.67,05016
5,17,443,431,97.29,6,1.35,6,1.35,05017
5,18,437,415,94.97,10,2.29,12,2.75,05018
5,19,260,249,95.77,4,1.54,7,2.69,05019
5,20,225,216,96.0,2,0.89,7,3.11,05020
5,21,444,421,94.82,4,0.9,19,4.28,05021
5,22,370,360,97.3,1,0.27,9,2.43,05022
5,23,302,284,94.04,10,3.31,8,2.65,05023
5,24,272,253,93.01,11,4.04,8,2.94,05024
5,25,439,423,96.36,4,0.91,12,2.73,05025
5,26,486,462,95.06,9,1.85,15,3.09,05026
5,27,516,379,73.45,65,12.6,72,13.95,05027
5,28,422,400,94.79,8,1.9,14,3.32,05028
5,29,411,386,93.92,8,1.95,17,4.14,05029
5,30,304,220,72.37,40,13.16,44,14.47,05030
5,31,455,437,96.04,6,1.32,12,2.64,05031
5,32,555,520,93.69,17,3.06,18,3.24,05032
5,33,228,214,93.86,5,2.19,9,3.95,05033
5,34,480,466,97.08,4,0.83,10,2.08,05034
5,35,316,260,82.28,27,8.54,29,9.18,05035
5,36,311,292,93.89,6,1.93,13,4.18,05036
5,37,304,253,83.22,16,5.26,35,11.51,05037
5,38,328,267,81.4,27,8.23,34,10.37,05038
5,39,411,321,78.1,39,9.49,51,12.41,05039
5,40,525,504,96.0,3,0.57,18,3.43,05040
5,41,319,227,71.16,32,10.03,60,18.81,05041
5,42,470,446,94.89,11,2.34,13,2.77,05042
5,43,411,402,97.81,4,0.97,5,1.22,05043
5,44,508,478,94.09,8,1.57,22,4.33,05044
5,45,238,231,97.06,5,2.1,2,0.84,05045
5,46,424,329,77.59,42,9.91,53,12.5,05046
5,47,399,392,98.25,4,1.0,3,0.75,05047
5,48,261,219,83.91,17,6.51,25,9.58,05048
5,49,96,95,98.96,1,1.04,0,0.0,05049
5,50,352,336,95.45,7,1.99,9,2.56,05050
5,51,333,318,95.5,5,1.5,10,3.0,05051
5,52,87,73,83.91,5,5.75,9,10.34,05052
5,53,394,341,86.55,21,5.33,32,8.12,05053
5,54,543,515,94.84,5,0.92,23,4.24,05054
5,55,354,343,96.89,5,1.41,6,1.69,05055
6,1,444,429,96.62,7,1.58,8,1.8,06001
6,2,453,440,97.13,4,0.88,9,1.99,06002
6,3,441,419,95.01,8,1.81,14,3.17,06003
6,4,387,373,96.38,5,1.29,9,2.33,06004
6,5,285,279,97.89,1,0.35,5,1.75,06005
6,6,325,322,99.08,1,0.31,2,0.62,06006
6,7,455,436,95.82,5,1.1,14,3.08,06007
6,8,498,486,97.59,3,0.6,9,1.81,06008
6,9,367,355,96.73,6,1.63,6,1.63,06009
6,10,477,460,96.44,6,1.26,11,2.31,06010
6,11,416,398,95.67,7,1.68,11,2.64,06011
6,12,448,436,97.32,6,1.34,6,1.34,06012
6,13,382,369,96.6,2,0.52,11,2.88,06013
6,14,488,477,97.75,2,0.41,9,1.84,06014
6,15,289,276,95.5,5,1.73,8,2.77,06015
6,16,430,413,96.05,5,1.16,12,2.79,06016
6,17,448,432,96.43,4,0.89,12,2.68,06017
6,18,321,313,97.51,2,0.62,6,1.87,06018
6,19,493,476,96.55,5,1.01,12,2.43,06019
6,20,406,394,97.04,3,0.74,9,2.22,06020
6,21,386,373,96.63,7,1.81,6,1.55,06021
6,22,334,325,97.31,5,1.5,4,1.2,06022
6,23,353,338,95.75,6,1.7,9,2.55,06023
6,24,433,414,95.61,12,2.77,7,1.62,06024
6,25,327,316,96.64,5,1.53,6,1.83,06025
6,26,461,444,96.31,9,1.95,8,1.74,06026
6,27,500,487,97.4,4,0.8,9,1.8,06027
6,28,642,624,97.2,6,0.93,12,1.87,06028
6,29,467,454,97.22,5,1.07,8,1.71,06029
6,30,415,394,94.94,7,1.69,14,3.37,06030
6,31,451,435,96.45,7,1.55,9,2.0,06031
6,32,488,477,97.75,3,0.61,8,1.64,06032
6,33,533,508,95.31,10,1.88,15,2.81,06033
6,34,396,380,95.96,8,2.02,8,2.02,06034
6,35,364,350,96.15,4,1.1,10,2.75,06035
6,36,299,292,97.66,3,1.0,4,1.34,06036
6,37,425,413,97.18,3,0.71,9,2.12,06037
6,38,467,445,95.29,7,1.5,15,3.21,06038
6,39,440,424,96.36,2,0.45,14,3.18,06039
6,40,289,281,97.23,2,0.69,6,2.08,06040
6,41,413,399,96.61,5,1.21,9,2.18,06041
6,42,317,304,95.9,6,1.89,7,2.21,06042
6,43,457,439,96.06,6,1.31,12,2.63,06043
6,44,426,403,94.6,5,1.17,18,4.23,06044
6,45,337,321,95.25,9,2.67,7,2.08,06045
6,46,389,382,98.2,2,0.51,5,1.29,06046
6,47,436,419,96.1,4,0.92,13,2.98,06047
6,48,404,394,97.52,2,0.5,8,1.98,06048
6,49,431,416,96.52,8,1.86,7,1.62,06049
6,50,400,385,96.25,3,0.75,12,3.0,06050
6,51,287,277,96.52,4,1.39,6,2.09,06051
6,52,313,301,96.17,5,1.6,7,2.24,06052
6,53,389,375,96.4,5,1.29,9,2.31,06053
6,54,394,385,97.72,2,0.51,7,1.78,06054
6,55,416,395,94.95,9,2.16,12,2.88,06055
6,56,318,306,96.23,2,0.63,10,3.14,06056
6,57,258,254,98.45,1,0.39,3,1.16,06057
6,58,407,392,96.31,5,1.23,10,2.46,06058
6,59,361,347,96.12,4,1.11,10,2.77,06059
6,60,268,259,96.64,5,1.87,4,1.49,06060
6,61,275,269,97.82,2,0.73,4,1.45,06061
6,62,434,421,97.0,9,2.07,4,0.92,06062
6,63,391,382,97.7,3,0.77,6,1.53,06063
6,64,418,404,96.65,3,0.72,11,2.63,06064
7,1,551,528,95.83,9,1.63,14,2.54,07001
7,2,467,447,95.72,12,2.57,8,1.71,07002
7,3,336,321,95.54,5,1.49,10,2.98,07003
7,4,333,313,93.99,13,3.9,7,2.1,07004
7,5,365,335,91.78,21,5.75,9,2.47,07005
7,6,362,349,96.41,7,1.93,6,1.66,07006
7,7,319,304,95.3,4,1.25,11,3.45,07007
7,8,170,156,91.76,12,7.06,2,1.18,07008
7,9,360,344,95.56,1,0.28,15,4.17,07009
7,10,304,287,94.41,7,2.3,10,3.29,07010
7,11,399,375,93.98,6,1.5,18,4.51,07011
7,12,287,267,93.03,9,3.14,11,3.83,07012
7,13,268,257,95.9,3,1.12,8,2.99,07013
7,14,493,460,93.31,10,2.03,23,4.67,07014
7,15,235,226,96.17,6,2.55,3,1.28,07015
7,16,310,297,95.81,5,1.61,8,2.58,07016
7,17,254,236,92.91,6,2.36,12,4.72,07017
7,18,326,300,92.02,17,5.21,9,2.76,07018
7,19,545,515,94.5,14,2.57,16,2.94,07019
7,20,252,238,94.44,6,2.38,8,3.17,07020
7,21,402,376,93.53,14,3.48,12,2.99,07021
7,22,274,258,94.16,8,2.92,8,2.92,07022
7,23,459,432,94.12,8,1.74,19,4.14,07023
7,24,324,315,97.22,2,0.62,7,2.16,07024
7,25,426,412,96.71,8,1.88,6,1.41,07025
7,26,468,447,95.51,10,2.14,11,2.35,07026
7,27,484,465,96.07,7,1.45,12,2.48,07027
7,28,563,543,96.45,7,1.24,13,2.31,07028
7,29,401,386,96.26,7,1.75,8,2.0,07029
7,30,330,315,95.45,7,2.12,8,2.42,07030
7,31,313,302,96.49,3,0.96,8,2.56,07031
7,32,368,325,88.32,30,8.15,13,3.53,07032
7,33,260,253,97.31,5,1.92,2,0.77,07033
7,34,323,313,96.9,2,0.62,8,2.48,07034
7,35,507,470,92.7,15,2.96,22,4.34,07035
7,36,385,367,95.32,3,0.78,15,3.9,07036
7,37,177,171,96.61,2,1.13,4,2.26,07037
7,38,269,260,96.65,4,1.49,5,1.86,07038
7,39,460,440,95.65,6,1.3,14,3.04,07039
7,40,489,457,93.46,14,2.86,18,3.68,07040
7,41,264,254,96.21,3,1.14,7,2.65,07041
7,42,592,567,95.78,9,1.52,16,2.7,07042
7,43,387,367,94.83,9,2.33,11,2.84,07043
7,44,617,582,94.33,17,2.76,18,2.92,07044
7,45,457,433,94.75,10,2.19,14,3.06,07045
7,46,127,122,96.06,2,1.57,3,2.36,07046
7,47,308,295,95.78,3,0.97,10,3.25,07047
7,48,324,315,97.22,5,1.54,4,1.23,07048
7,49,188,185,98.4,0,0.0,3,1.6,07049
7,50,240,224,93.33,5,2.08,11,4.58,07050
7,51,611,577,94.44,6,0.98,28,4.58,07051
7,52,271,262,96.68,3,1.11,6,2.21,07052
7,53,305,298,97.7,5,1.64,2,0.66,07053
7,54,190,174,91.58,14,7.37,2,1.05,07054
7,55,285,268,94.04,5,1.75,12,4.21,07055
7,56,341,327,95.89,6,1.76,8,2.35,07056
7,57,278,261,93.88,6,2.16,11,3.96,07057
7,58,359,344,95.82,6,1.67,9,2.51,07058
