ward,precinct,total,Michael C. Marzullo,Michael C. Marzullo Percent,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,9,46,35,76.09,11,23.91,29009
36,5,270,131,48.52,139,51.48,36005
36,7,274,95,34.67,179,65.33,36007
36,8,348,161,46.26,187,53.74,36008
36,9,336,161,47.92,175,52.08,36009
36,10,265,122,46.04,143,53.96,36010
36,11,408,191,46.81,217,53.19,36011
36,12,253,133,52.57,120,47.43,36012
36,13,348,192,55.17,156,44.83,36013
36,14,385,214,55.58,171,44.42,36014
36,15,355,235,66.2,120,33.8,36015
36,17,316,94,29.75,222,70.25,36017
36,18,416,144,34.62,272,65.38,36018
36,19,432,274,63.43,158,36.57,36019
36,20,493,267,54.16,226,45.84,36020
36,21,553,274,49.55,279,50.45,36021
36,25,258,129,50.0,129,50.0,36025
36,27,189,78,41.27,111,58.73,36027
36,28,348,202,58.05,146,41.95,36028
36,29,312,153,49.04,159,50.96,36029
36,30,421,161,38.24,260,61.76,36030
36,31,368,200,54.35,168,45.65,36031
36,32,352,180,51.14,172,48.86,36032
36,34,273,98,35.9,175,64.1,36034
36,35,377,196,51.99,181,48.01,36035
36,37,329,176,53.5,153,46.5,36037
36,38,209,107,51.2,102,48.8,36038
36,39,347,154,44.38,193,55.62,36039
36,40,428,235,54.91,193,45.09,36040
36,42,315,171,54.29,144,45.71,36042
36,46,285,120,42.11,165,57.89,36046
36,47,243,108,44.44,135,55.56,36047
36,48,319,125,39.18,194,60.82,36048
36,49,472,220,46.61,252,53.39,36049
36,50,297,166,55.89,131,44.11,36050
36,52,418,295,70.57,123,29.43,36052
36,53,117,76,64.96,41,35.04,36053
38,3,281,157,55.87,124,44.13,38003
38,38,422,185,43.84,237,56.16,38038
41,1,523,157,30.02,366,69.98,41001
41,2,535,165,30.84,370,69.16,41002
41,3,473,190,40.17,283,59.83,41003
41,4,532,165,31.02,367,68.98,41004
41,5,635,239,37.64,396,62.36,41005
41,7,567,150,26.46,417,73.54,41007
41,8,513,140,27.29,373,72.71,41008
41,9,521,204,39.16,317,60.84,41009
41,11,533,186,34.9,347,65.1,41011
41,12,457,202,44.2,255,55.8,41012
41,15,548,190,34.67,358,65.33,41015
41,16,496,201,40.52,295,59.48,41016
41,17,478,193,40.38,285,59.62,41017
41,18,431,151,35.03,280,64.97,41018
41,20,496,106,21.37,390,78.63,41020
41,21,514,192,37.35,322,62.65,41021
41,22,418,136,32.54,282,67.46,41022
41,24,486,194,39.92,292,60.08,41024
41,30,564,224,39.72,340,60.28,41030
41,31,526,156,29.66,370,70.34,41031
41,33,387,93,24.03,294,75.97,41033
41,34,400,93,23.25,307,76.75,41034
41,35,498,183,36.75,315,63.25,41035
41,36,484,147,30.37,337,69.63,41036
41,37,538,106,19.7,432,80.3,41037
41,38,481,177,36.8,304,63.2,41038
41,40,521,152,29.17,369,70.83,41040
41,41,507,185,36.49,322,63.51,41041
41,42,557,146,26.21,411,73.79,41042
41,43,503,189,37.57,314,62.43,41043
41,45,466,198,42.49,268,57.51,41045
41,46,354,134,37.85,220,62.15,41046
41,49,563,158,28.06,405,71.94,41049
41,50,509,221,43.42,288,56.58,41050
41,51,342,158,46.2,184,53.8,41051
41,52,588,193,32.82,395,67.18,41052
41,55,476,123,25.84,353,74.16,41055
41,56,550,160,29.09,390,70.91,41056
