ward,precinct,total,Louis S. ''Lou'' Viverito,Louis S. ''Lou'' Viverito Percent,Jeffrey Malinowski,Jeffrey Malinowski Percent,precinct_id
13,1,336,244,72.62,92,27.38,13001
13,2,251,219,87.25,32,12.75,13002
13,4,525,379,72.19,146,27.81,13004
13,5,401,348,86.78,53,13.22,13005
13,6,362,295,81.49,67,18.51,13006
13,7,299,255,85.28,44,14.72,13007
13,8,364,270,74.18,94,25.82,13008
13,9,379,318,83.91,61,16.09,13009
13,10,307,243,79.15,64,20.85,13010
13,11,376,321,85.37,55,14.63,13011
13,12,339,267,78.76,72,21.24,13012
13,13,380,334,87.89,46,12.11,13013
13,14,365,274,75.07,91,24.93,13014
13,15,490,402,82.04,88,17.96,13015
13,16,443,367,82.84,76,17.16,13016
13,17,364,266,73.08,98,26.92,13017
13,19,237,215,90.72,22,9.28,13019
13,21,394,333,84.52,61,15.48,13021
13,22,315,269,85.4,46,14.6,13022
13,23,332,265,79.82,67,20.18,13023
13,24,327,253,77.37,74,22.63,13024
13,25,352,257,73.01,95,26.99,13025
13,26,390,303,77.69,87,22.31,13026
13,27,349,286,81.95,63,18.05,13027
13,28,267,225,84.27,42,15.73,13028
13,29,296,250,84.46,46,15.54,13029
13,30,57,52,91.23,5,8.77,13030
13,31,84,74,88.1,10,11.9,13031
13,32,374,339,90.64,35,9.36,13032
13,33,348,299,85.92,49,14.08,13033
13,34,481,421,87.53,60,12.47,13034
13,35,351,306,87.18,45,12.82,13035
13,36,227,201,88.55,26,11.45,13036
13,37,314,268,85.35,46,14.65,13037
13,38,400,329,82.25,71,17.75,13038
13,39,362,303,83.7,59,16.3,13039
13,40,428,345,80.61,83,19.39,13040
13,41,270,235,87.04,35,12.96,13041
13,42,308,257,83.44,51,16.56,13042
13,43,345,269,77.97,76,22.03,13043
13,44,334,303,90.72,31,9.28,13044
13,45,442,361,81.67,81,18.33,13045
13,46,367,309,84.2,58,15.8,13046
23,1,354,229,64.69,125,35.31,23001
23,2,399,288,72.18,111,27.82,23002
23,3,344,203,59.01,141,40.99,23003
23,4,366,239,65.3,127,34.7,23004
23,7,68,63,92.65,5,7.35,23007
23,8,402,318,79.1,84,20.9,23008
23,11,410,264,64.39,146,35.61,23011
23,12,374,237,63.37,137,36.63,23012
23,13,431,278,64.5,153,35.5,23013
23,14,1,1,100.0,0,0.0,23014
23,15,391,252,64.45,139,35.55,23015
23,16,383,263,68.67,120,31.33,23016
23,17,426,274,64.32,152,35.68,23017
23,18,308,200,64.94,108,35.06,23018
23,19,341,232,68.04,109,31.96,23019
23,20,318,212,66.67,106,33.33,23020
23,21,338,326,96.45,12,3.55,23021
23,22,387,271,70.03,116,29.97,23022
23,23,370,247,66.76,123,33.24,23023
23,26,361,223,61.77,138,38.23,23026
23,27,328,246,75.0,82,25.0,23027
23,28,373,251,67.29,122,32.71,23028
23,30,329,233,70.82,96,29.18,23030
23,34,321,218,67.91,103,32.09,23034
23,35,261,254,97.32,7,2.68,23035
23,36,465,307,66.02,158,33.98,23036
23,37,247,241,97.57,6,2.43,23037
23,38,316,227,71.84,89,28.16,23038
23,39,338,227,67.16,111,32.84,23039
23,40,390,244,62.56,146,37.44,23040
23,42,310,224,72.26,86,27.74,23042
23,43,428,255,59.58,173,40.42,23043
23,44,365,263,72.05,102,27.95,23044
23,45,466,353,75.75,113,24.25,23045
23,46,384,266,69.27,118,30.73,23046
23,47,412,264,64.08,148,35.92,23047
23,48,360,241,66.94,119,33.06,23048
23,49,414,277,66.91,137,33.09,23049
23,52,426,278,65.26,148,34.74,23052
23,54,435,296,68.05,139,31.95,23054
23,55,371,238,64.15,133,35.85,23055
23,56,334,212,63.47,122,36.53,23056
