ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
28,16,269,269,100.0,28016
28,47,265,265,100.0,28047
29,4,348,348,100.0,29004
29,5,335,335,100.0,29005
29,8,261,261,100.0,29008
29,11,367,367,100.0,29011
29,13,376,376,100.0,29013
29,18,429,429,100.0,29018
29,23,365,365,100.0,29023
29,26,301,301,100.0,29026
29,29,427,427,100.0,29029
29,33,245,245,100.0,29033
29,35,301,301,100.0,29035
29,37,329,329,100.0,29037
29,40,484,484,100.0,29040
29,41,393,393,100.0,29041
29,43,425,425,100.0,29043
29,44,298,298,100.0,29044
29,45,299,299,100.0,29045
29,46,371,371,100.0,29046
29,47,448,448,100.0,29047
29,48,336,336,100.0,29048
36,2,244,244,100.0,36002
36,16,446,446,100.0,36016
36,22,362,362,100.0,36022
36,23,143,143,100.0,36023
36,24,333,333,100.0,36024
36,33,242,242,100.0,36033
36,44,323,323,100.0,36044
36,45,284,284,100.0,36045
36,54,393,393,100.0,36054
36,55,387,387,100.0,36055
37,5,420,420,100.0,37005
37,6,427,427,100.0,37006
37,7,436,436,100.0,37007
37,9,391,391,100.0,37009
37,17,361,361,100.0,37017
37,18,376,376,100.0,37018
37,29,419,419,100.0,37029
37,32,386,386,100.0,37032
37,35,332,332,100.0,37035
37,37,353,353,100.0,37037
37,38,449,449,100.0,37038
41,27,143,143,100.0,41027
