ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,Ante ''Tony'' Marijan,Ante ''Tony'' Marijan Percent,precinct_id
11,1,385,299,77.66,86,22.34,11001
11,2,366,297,81.15,69,18.85,11002
11,4,373,312,83.65,61,16.35,11004
11,5,246,188,76.42,58,23.58,11005
11,6,438,334,76.26,104,23.74,11006
11,7,270,218,80.74,52,19.26,11007
11,8,348,276,79.31,72,20.69,11008
11,9,246,196,79.67,50,20.33,11009
11,10,216,181,83.8,35,16.2,11010
11,11,505,393,77.82,112,22.18,11011
11,16,406,317,78.08,89,21.92,11016
11,17,473,381,80.55,92,19.45,11017
11,18,221,151,68.33,70,31.67,11018
11,19,338,261,77.22,77,22.78,11019
11,20,236,195,82.63,41,17.37,11020
11,21,281,243,86.48,38,13.52,11021
11,22,271,243,89.67,28,10.33,11022
11,24,479,411,85.8,68,14.2,11024
11,25,323,263,81.42,60,18.58,11025
11,26,477,398,83.44,79,16.56,11026
11,29,361,282,78.12,79,21.88,11029
11,30,382,307,80.37,75,19.63,11030
11,38,421,354,84.09,67,15.91,11038
11,40,191,164,85.86,27,14.14,11040
11,41,179,150,83.8,29,16.2,11041
11,44,335,236,70.45,99,29.55,11044
11,45,155,117,75.48,38,24.52,11045
11,47,299,258,86.29,41,13.71,11047
11,50,189,152,80.42,37,19.58,11050
12,1,182,164,90.11,18,9.89,12001
12,7,338,290,85.8,48,14.2,12007
12,8,321,279,86.92,42,13.08,12008
12,9,185,173,93.51,12,6.49,12009
12,15,205,185,90.24,20,9.76,12015
12,16,182,172,94.51,10,5.49,12016
12,18,312,283,90.71,29,9.29,12018
12,19,56,46,82.14,10,17.86,12019
12,22,211,179,84.83,32,15.17,12022
22,1,208,184,88.46,24,11.54,22001
22,29,189,165,87.3,24,12.7,22029
24,53,343,316,92.13,27,7.87,24053
25,1,367,320,87.19,47,12.81,25001
25,2,538,433,80.48,105,19.52,25002
25,5,376,301,80.05,75,19.95,25005
25,7,360,288,80.0,72,20.0,25007
25,8,403,343,85.11,60,14.89,25008
25,9,544,438,80.51,106,19.49,25009
25,11,482,400,82.99,82,17.01,25011
25,13,444,378,85.14,66,14.86,25013
25,15,368,313,85.05,55,14.95,25015
25,17,587,500,85.18,87,14.82,25017
25,19,469,401,85.5,68,14.5,25019
25,20,454,405,89.21,49,10.79,25020
25,22,244,195,79.92,49,20.08,25022
25,23,472,388,82.2,84,17.8,25023
25,24,558,452,81.0,106,19.0,25024
25,30,414,340,82.13,74,17.87,25030
28,29,318,278,87.42,40,12.58,28029
28,38,159,141,88.68,18,11.32,28038
28,53,0,0,0.0,0,0.0,28053
