ward,precinct,total,William D. ''Will'' Burns,William D. ''Will'' Burns Percent,Sylvester ''Junebug'' Hendricks,Sylvester ''Junebug'' Hendricks Percent,precinct_id
2,7,455,449,98.68,6,1.32,02007
2,8,573,456,79.58,117,20.42,02008
2,14,46,44,95.65,2,4.35,02014
2,18,449,342,76.17,107,23.83,02018
2,19,693,507,73.16,186,26.84,02019
2,20,361,338,93.63,23,6.37,02020
2,21,354,318,89.83,36,10.17,02021
2,24,74,58,78.38,16,21.62,02024
2,26,437,363,83.07,74,16.93,02026
2,30,631,479,75.91,152,24.09,02030
2,31,251,245,97.61,6,2.39,02031
2,36,716,579,80.87,137,19.13,02036
2,37,399,304,76.19,95,23.81,02037
2,38,711,511,71.87,200,28.13,02038
2,40,992,823,82.96,169,17.04,02040
2,44,257,246,95.72,11,4.28,02044
2,46,482,467,96.89,15,3.11,02046
3,2,411,403,98.05,8,1.95,03002
3,4,297,289,97.31,8,2.69,03004
3,5,305,289,94.75,16,5.25,03005
3,7,285,276,96.84,9,3.16,03007
3,9,161,159,98.76,2,1.24,03009
3,11,53,51,96.23,2,3.77,03011
3,16,295,286,96.95,9,3.05,03016
3,20,281,278,98.93,3,1.07,03020
3,30,282,279,98.94,3,1.06,03030
3,31,498,494,99.2,4,0.8,03031
3,34,294,281,95.58,13,4.42,03034
3,38,340,337,99.12,3,0.88,03038
3,39,321,312,97.2,9,2.8,03039
3,45,176,156,88.64,20,11.36,03045
3,49,9,9,100.0,0,0.0,03049
4,2,599,583,97.33,16,2.67,04002
4,3,554,543,98.01,11,1.99,04003
4,4,486,474,97.53,12,2.47,04004
4,5,519,507,97.69,12,2.31,04005
4,7,528,516,97.73,12,2.27,04007
4,8,543,527,97.05,16,2.95,04008
4,10,517,503,97.29,14,2.71,04010
4,11,478,464,97.07,14,2.93,04011
4,12,266,260,97.74,6,2.26,04012
4,13,331,314,94.86,17,5.14,04013
4,14,430,420,97.67,10,2.33,04014
4,15,368,349,94.84,19,5.16,04015
4,16,547,536,97.99,11,2.01,04016
4,18,486,465,95.68,21,4.32,04018
4,19,480,472,98.33,8,1.67,04019
4,20,297,291,97.98,6,2.02,04020
4,23,340,312,91.76,28,8.24,04023
4,24,480,459,95.63,21,4.38,04024
4,25,368,355,96.47,13,3.53,04025
4,26,515,506,98.25,9,1.75,04026
4,27,407,402,98.77,5,1.23,04027
4,30,373,349,93.57,24,6.43,04030
4,33,380,366,96.32,14,3.68,04033
4,35,334,328,98.2,6,1.8,04035
4,36,334,321,96.11,13,3.89,04036
4,37,79,75,94.94,4,5.06,04037
4,39,329,323,98.18,6,1.82,04039
4,40,465,451,96.99,14,3.01,04040
4,42,481,466,96.88,15,3.12,04042
4,46,344,328,95.35,16,4.65,04046
4,49,292,288,98.63,4,1.37,04049
4,50,387,381,98.45,6,1.55,04050
4,51,415,403,97.11,12,2.89,04051
4,52,511,499,97.65,12,2.35,04052
5,2,392,372,94.9,20,5.1,05002
5,9,414,403,97.34,11,2.66,05009
5,10,412,402,97.57,10,2.43,05010
5,13,395,383,96.96,12,3.04,05013
5,15,331,304,91.84,27,8.16,05015
5,16,361,348,96.4,13,3.6,05016
5,18,443,430,97.07,13,2.93,05018
5,19,257,254,98.83,3,1.17,05019
5,23,301,281,93.36,20,6.64,05023
5,45,235,226,96.17,9,3.83,05045
5,51,324,316,97.53,8,2.47,05051
5,52,92,82,89.13,10,10.87,05052
6,39,81,79,97.53,2,2.47,06039
20,2,326,321,98.47,5,1.53,20002
20,5,241,238,98.76,3,1.24,20005
20,9,397,389,97.98,8,2.02,20009
20,14,0,0,0.0,0,0.0,20014
20,16,445,433,97.3,12,2.7,20016
20,18,263,257,97.72,6,2.28,20018
20,22,483,467,96.69,16,3.31,20022
20,24,412,400,97.09,12,2.91,20024
20,29,433,421,97.23,12,2.77,20029
20,32,326,311,95.4,15,4.6,20032
20,36,308,305,99.03,3,0.97,20036
20,47,313,311,99.36,2,0.64,20047
42,1,486,340,69.96,146,30.04,42001
42,2,359,279,77.72,80,22.28,42002
42,5,324,242,74.69,82,25.31,42005
42,6,586,421,71.84,165,28.16,42006
42,7,406,273,67.24,133,32.76,42007
42,9,329,244,74.16,85,25.84,42009
42,11,436,256,58.72,180,41.28,42011
42,13,529,365,69.0,164,31.0,42013
42,23,439,304,69.25,135,30.75,42023
42,24,388,257,66.24,131,33.76,42024
42,25,348,242,69.54,106,30.46,42025
42,29,432,288,66.67,144,33.33,42029
42,31,450,291,64.67,159,35.33,42031
42,35,308,210,68.18,98,31.82,42035
42,37,326,215,65.95,111,34.05,42037
42,38,323,198,61.3,125,38.7,42038
42,40,411,287,69.83,124,30.17,42040
42,41,727,483,66.44,244,33.56,42041
42,42,278,179,64.39,99,35.61,42042
42,43,363,247,68.04,116,31.96,42043
42,44,679,473,69.66,206,30.34,42044
42,47,238,165,69.33,73,30.67,42047
42,48,379,227,59.89,152,40.11,42048
42,50,522,354,67.82,168,32.18,42050
42,51,567,387,68.25,180,31.75,42051
42,52,228,157,68.86,71,31.14,42052
42,53,522,356,68.2,166,31.8,42053
42,54,383,270,70.5,113,29.5,42054
42,61,262,158,60.31,104,39.69,42061
42,62,232,155,66.81,77,33.19,42062
42,63,351,243,69.23,108,30.77,42063
42,64,190,152,80.0,38,20.0,42064
42,65,492,346,70.33,146,29.67,42065
42,66,471,329,69.85,142,30.15,42066
43,35,484,295,60.95,189,39.05,43035
43,40,192,122,63.54,70,36.46,43040
