ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Daniel Cunningham,Daniel Cunningham Percent,Omar N. LÃ³pez,Omar N. LÃ³pez Percent,precinct_id
1,1,206,156,75.73,30,14.56,20,9.71,01001
1,2,532,397,74.62,85,15.98,50,9.4,01002
1,3,427,333,77.99,54,12.65,40,9.37,01003
1,4,444,327,73.65,67,15.09,50,11.26,01004
1,5,560,428,76.43,86,15.36,46,8.21,01005
1,7,425,292,68.71,111,26.12,22,5.18,01007
1,8,497,380,76.46,68,13.68,49,9.86,01008
1,9,380,283,74.47,47,12.37,50,13.16,01009
1,10,552,392,71.01,97,17.57,63,11.41,01010
1,11,366,275,75.14,61,16.67,30,8.2,01011
1,12,633,450,71.09,138,21.8,45,7.11,01012
1,13,564,446,79.08,51,9.04,67,11.88,01013
1,14,426,341,80.05,46,10.8,39,9.15,01014
1,15,336,292,86.9,18,5.36,26,7.74,01015
1,16,164,155,94.51,8,4.88,1,0.61,01016
1,17,391,296,75.7,53,13.55,42,10.74,01017
1,18,420,330,78.57,42,10.0,48,11.43,01018
1,19,306,230,75.16,46,15.03,30,9.8,01019
1,20,431,333,77.26,57,13.23,41,9.51,01020
1,21,398,291,73.12,87,21.86,20,5.03,01021
1,22,386,319,82.64,24,6.22,43,11.14,01022
1,23,378,276,73.02,60,15.87,42,11.11,01023
1,24,576,431,74.83,59,10.24,86,14.93,01024
1,25,381,288,75.59,64,16.8,29,7.61,01025
1,26,474,322,67.93,108,22.78,44,9.28,01026
1,27,336,253,75.3,64,19.05,19,5.65,01027
1,28,81,71,87.65,8,9.88,2,2.47,01028
1,29,474,350,73.84,76,16.03,48,10.13,01029
1,30,631,500,79.24,69,10.94,62,9.83,01030
1,31,658,433,65.81,186,28.27,39,5.93,01031
1,32,434,331,76.27,66,15.21,37,8.53,01032
1,33,485,373,76.91,79,16.29,33,6.8,01033
1,34,333,257,77.18,44,13.21,32,9.61,01034
1,35,460,330,71.74,101,21.96,29,6.3,01035
1,36,503,364,72.37,90,17.89,49,9.74,01036
1,37,408,325,79.66,48,11.76,35,8.58,01037
1,38,286,229,80.07,36,12.59,21,7.34,01038
1,39,482,400,82.99,50,10.37,32,6.64,01039
1,40,226,175,77.43,35,15.49,16,7.08,01040
1,41,381,283,74.28,65,17.06,33,8.66,01041
1,42,190,145,76.32,32,16.84,13,6.84,01042
1,43,370,291,78.65,62,16.76,17,4.59,01043
1,44,46,33,71.74,5,10.87,8,17.39,01044
1,45,455,366,80.44,43,9.45,46,10.11,01045
1,46,473,354,74.84,77,16.28,42,8.88,01046
1,47,504,366,72.62,99,19.64,39,7.74,01047
1,48,268,195,72.76,44,16.42,29,10.82,01048
1,49,326,242,74.23,54,16.56,30,9.2,01049
1,50,379,287,75.73,57,15.04,35,9.23,01050
3,13,250,218,87.2,24,9.6,8,3.2,03013
11,1,47,35,74.47,8,17.02,4,8.51,11001
11,3,282,237,84.04,32,11.35,13,4.61,11003
11,10,220,175,79.55,31,14.09,14,6.36,11010
11,18,34,25,73.53,3,8.82,6,17.65,11018
11,26,20,19,95.0,1,5.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,11030
12,1,171,148,86.55,14,8.19,9,5.26,12001
12,2,267,221,82.77,33,12.36,13,4.87,12002
12,3,285,231,81.05,35,12.28,19,6.67,12003
12,4,200,167,83.5,19,9.5,14,7.0,12004
12,5,258,219,84.88,27,10.47,12,4.65,12005
