ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Steve Miller,Steve Miller Percent,precinct_id
1,1,294,232,78.91,62,21.09,01001
1,6,423,316,74.7,107,25.3,01006
1,11,41,34,82.93,7,17.07,01011
1,44,335,283,84.48,52,15.52,01044
2,1,897,693,77.26,204,22.74,02001
2,2,194,169,87.11,25,12.89,02002
2,3,651,521,80.03,130,19.97,02003
2,4,438,431,98.4,7,1.6,02004
2,5,503,478,95.03,25,4.97,02005
2,6,798,545,68.3,253,31.7,02006
2,7,492,488,99.19,4,0.81,02007
2,8,625,464,74.24,161,25.76,02008
2,9,496,474,95.56,22,4.44,02009
2,10,357,350,98.04,7,1.96,02010
2,11,586,438,74.74,148,25.26,02011
2,12,806,557,69.11,249,30.89,02012
2,13,529,471,89.04,58,10.96,02013
2,14,54,51,94.44,3,5.56,02014
2,15,306,298,97.39,8,2.61,02015
2,16,878,584,66.51,294,33.49,02016
2,17,431,416,96.52,15,3.48,02017
2,18,467,316,67.67,151,32.33,02018
2,19,720,488,67.78,232,32.22,02019
2,20,145,126,86.9,19,13.1,02020
2,21,431,392,90.95,39,9.05,02021
2,22,630,475,75.4,155,24.6,02022
2,23,343,312,90.96,31,9.04,02023
2,24,618,514,83.17,104,16.83,02024
2,25,696,601,86.35,95,13.65,02025
2,26,473,383,80.97,90,19.03,02026
2,27,394,389,98.73,5,1.27,02027
2,28,420,301,71.67,119,28.33,02028
2,29,278,240,86.33,38,13.67,02029
2,30,659,469,71.17,190,28.83,02030
2,32,339,310,91.45,29,8.55,02032
2,33,317,313,98.74,4,1.26,02033
2,34,343,332,96.79,11,3.21,02034
2,35,209,173,82.78,36,17.22,02035
2,36,747,585,78.31,162,21.69,02036
2,37,427,313,73.3,114,26.7,02037
2,38,735,486,66.12,249,33.88,02038
2,39,544,484,88.97,60,11.03,02039
2,40,1054,829,78.65,225,21.35,02040
2,41,291,281,96.56,10,3.44,02041
2,42,204,203,99.51,1,0.49,02042
2,43,497,393,79.07,104,20.93,02043
2,45,512,483,94.34,29,5.66,02045
2,47,326,316,96.93,10,3.07,02047
2,48,305,303,99.34,2,0.66,02048
2,49,389,299,76.86,90,23.14,02049
2,50,347,290,83.57,57,16.43,02050
2,51,379,368,97.1,11,2.9,02051
2,52,599,577,96.33,22,3.67,02052
2,53,624,500,80.13,124,19.87,02053
2,54,633,521,82.31,112,17.69,02054
2,55,276,211,76.45,65,23.55,02055
2,56,380,362,95.26,18,4.74,02056
3,1,356,351,98.6,5,1.4,03001
3,2,456,454,99.56,2,0.44,03002
3,3,536,471,87.87,65,12.13,03003
3,4,312,306,98.08,6,1.92,03004
3,6,349,345,98.85,4,1.15,03006
3,8,500,492,98.4,8,1.6,03008
3,9,369,361,97.83,8,2.17,03009
3,10,185,185,100.0,0,0.0,03010
3,11,428,419,97.9,9,2.1,03011
3,12,361,358,99.17,3,0.83,03012
3,14,252,249,98.81,3,1.19,03014
3,15,441,437,99.09,4,0.91,03015
3,16,314,309,98.41,5,1.59,03016
3,17,235,233,99.15,2,0.85,03017
3,18,215,213,99.07,2,0.93,03018
3,20,197,195,98.98,2,1.02,03020
3,21,232,225,96.98,7,3.02,03021
3,22,228,225,98.68,3,1.32,03022
3,23,360,351,97.5,9,2.5,03023
3,24,504,490,97.22,14,2.78,03024
3,25,321,316,98.44,5,1.56,03025
3,26,164,159,96.95,5,3.05,03026
3,27,395,388,98.23,7,1.77,03027
3,28,901,667,74.03,234,25.97,03028
3,29,328,318,96.95,10,3.05,03029
3,31,533,527,98.87,6,1.13,03031
3,32,372,369,99.19,3,0.81,03032
3,33,554,547,98.74,7,1.26,03033
3,35,400,392,98.0,8,2.0,03035
3,36,133,129,96.99,4,3.01,03036
3,37,161,159,98.76,2,1.24,03037
3,39,375,370,98.67,5,1.33,03039
3,40,337,332,98.52,5,1.48,03040
3,42,382,379,99.21,3,0.79,03042
3,43,127,126,99.21,1,0.79,03043
3,45,490,429,87.55,61,12.45,03045
3,46,99,97,97.98,2,2.02,03046
3,47,249,243,97.59,6,2.41,03047
3,48,279,277,99.28,2,0.72,03048
3,49,131,129,98.47,2,1.53,03049
3,50,292,288,98.63,4,1.37,03050
4,4,516,512,99.22,4,0.78,04004
4,5,542,525,96.86,17,3.14,04005
4,6,148,147,99.32,1,0.68,04006
4,7,555,547,98.56,8,1.44,04007
4,10,540,525,97.22,15,2.78,04010
4,11,513,506,98.64,7,1.36,04011
4,14,447,438,97.99,9,2.01,04014
4,15,385,364,94.55,21,5.45,04015
4,25,392,382,97.45,10,2.55,04025
4,27,423,420,99.29,3,0.71,04027
4,30,392,371,94.64,21,5.36,04030
4,35,347,338,97.41,9,2.59,04035
4,36,348,335,96.26,13,3.74,04036
4,42,434,412,94.93,22,5.07,04042
11,14,277,219,79.06,58,20.94,11014
11,27,270,196,72.59,74,27.41,11027
11,28,238,171,71.85,67,28.15,11028
11,34,105,93,88.57,12,11.43,11034
11,36,84,68,80.95,16,19.05,11036
11,46,136,121,88.97,15,11.03,11046
12,1,20,15,75.0,5,25.0,12001
12,6,46,41,89.13,5,10.87,12006
12,18,70,68,97.14,2,2.86,12018
16,15,391,388,99.23,3,0.77,16015
16,16,363,356,98.07,7,1.93,16016
16,18,340,330,97.06,10,2.94,16018
16,20,271,266,98.15,5,1.85,16020
16,22,307,302,98.37,5,1.63,16022
16,29,285,280,98.25,5,1.75,16029
16,30,343,335,97.67,8,2.33,16030
16,33,235,233,99.15,2,0.85,16033
20,27,315,311,98.73,4,1.27,20027
20,31,433,427,98.61,6,1.39,20031
20,40,290,285,98.28,5,1.72,20040
20,45,249,243,97.59,6,2.41,20045
20,48,159,157,98.74,2,1.26,20048
22,7,363,360,99.17,3,0.83,22007
22,18,2,2,100.0,0,0.0,22018
22,19,304,302,99.34,2,0.66,22019
22,21,388,380,97.94,8,2.06,22021
24,1,486,483,99.38,3,0.62,24001
24,2,339,337,99.41,2,0.59,24002
24,3,365,360,98.63,5,1.37,24003
24,4,342,337,98.54,5,1.46,24004
24,5,347,344,99.14,3,0.86,24005
24,6,432,426,98.61,6,1.39,24006
24,7,365,357,97.81,8,2.19,24007
24,8,340,336,98.82,4,1.18,24008
24,9,365,356,97.53,9,2.47,24009
24,10,278,275,98.92,3,1.08,24010
24,11,266,263,98.87,3,1.13,24011
24,12,404,399,98.76,5,1.24,24012
24,13,362,357,98.62,5,1.38,24013
24,14,477,468,98.11,9,1.89,24014
24,15,315,313,99.37,2,0.63,24015
24,16,271,269,99.26,2,0.74,24016
24,17,332,328,98.8,4,1.2,24017
24,18,279,276,98.92,3,1.08,24018
24,19,272,267,98.16,5,1.84,24019
24,20,308,305,99.03,3,0.97,24020
24,21,258,255,98.84,3,1.16,24021
24,22,404,399,98.76,5,1.24,24022
24,23,314,312,99.36,2,0.64,24023
24,24,246,244,99.19,2,0.81,24024
24,25,451,448,99.33,3,0.67,24025
24,26,460,455,98.91,5,1.09,24026
24,27,198,188,94.95,10,5.05,24027
24,28,406,400,98.52,6,1.48,24028
24,29,423,421,99.53,2,0.47,24029
24,30,349,348,99.71,1,0.29,24030
24,31,370,367,99.19,3,0.81,24031
24,32,340,335,98.53,5,1.47,24032
24,33,267,262,98.13,5,1.87,24033
24,34,365,361,98.9,4,1.1,24034
24,35,512,507,99.02,5,0.98,24035
24,36,313,311,99.36,2,0.64,24036
24,37,368,360,97.83,8,2.17,24037
24,38,389,380,97.69,9,2.31,24038
24,39,390,389,99.74,1,0.26,24039
24,40,427,421,98.59,6,1.41,24040
24,41,333,326,97.9,7,2.1,24041
24,42,283,282,99.65,1,0.35,24042
24,43,494,484,97.98,10,2.02,24043
24,44,323,317,98.14,6,1.86,24044
24,45,329,326,99.09,3,0.91,24045
24,46,414,408,98.55,6,1.45,24046
24,47,324,317,97.84,7,2.16,24047
24,48,186,181,97.31,5,2.69,24048
24,49,533,527,98.87,6,1.13,24049
24,50,544,532,97.79,12,2.21,24050
24,51,528,516,97.73,12,2.27,24051
24,52,303,299,98.68,4,1.32,24052
24,54,366,360,98.36,6,1.64,24054
24,55,387,384,99.22,3,0.78,24055
24,56,441,436,98.87,5,1.13,24056
25,3,502,411,81.87,91,18.13,25003
25,4,499,396,79.36,103,20.64,25004
25,5,3,2,66.67,1,33.33,25005
25,6,69,62,89.86,7,10.14,25006
25,8,2,1,50.0,1,50.0,25008
25,10,252,226,89.68,26,10.32,25010
25,14,230,178,77.39,52,22.61,25014
25,16,245,209,85.31,36,14.69,25016
25,18,496,447,90.12,49,9.88,25018
25,21,325,240,73.85,85,26.15,25021
25,25,404,298,73.76,106,26.24,25025
25,26,363,259,71.35,104,28.65,25026
25,27,359,265,73.82,94,26.18,25027
25,28,447,318,71.14,129,28.86,25028
25,29,982,734,74.75,248,25.25,25029
26,17,178,119,66.85,59,33.15,26017
26,28,2,2,100.0,0,0.0,26028
26,33,143,100,69.93,43,30.07,26033
26,46,291,213,73.2,78,26.8,26046
27,1,766,505,65.93,261,34.07,27001
27,2,329,322,97.87,7,2.13,27002
27,3,353,349,98.87,4,1.13,27003
27,4,290,277,95.52,13,4.48,27004
27,5,209,138,66.03,71,33.97,27005
27,6,229,226,98.69,3,1.31,27006
27,7,499,364,72.95,135,27.05,27007
27,8,373,365,97.86,8,2.14,27008
27,9,413,383,92.74,30,7.26,27009
27,10,497,475,95.57,22,4.43,27010
27,11,520,377,72.5,143,27.5,27011
27,12,597,414,69.35,183,30.65,27012
27,14,549,539,98.18,10,1.82,27014
27,15,216,210,97.22,6,2.78,27015
27,16,211,133,63.03,78,36.97,27016
27,17,528,357,67.61,171,32.39,27017
27,18,381,260,68.24,121,31.76,27018
27,19,367,354,96.46,13,3.54,27019
27,20,610,604,99.02,6,0.98,27020
27,21,301,280,93.02,21,6.98,27021
27,22,382,381,99.74,1,0.26,27022
27,23,76,74,97.37,2,2.63,27023
27,24,346,338,97.69,8,2.31,27024
27,25,259,256,98.84,3,1.16,27025
27,26,284,278,97.89,6,2.11,27026
27,27,397,373,93.95,24,6.05,27027
27,28,437,317,72.54,120,27.46,27028
27,29,297,288,96.97,9,3.03,27029
27,30,215,204,94.88,11,5.12,27030
27,31,283,277,97.88,6,2.12,27031
27,33,335,298,88.96,37,11.04,27033
27,34,344,338,98.26,6,1.74,27034
27,36,319,309,96.87,10,3.13,27036
27,37,389,353,90.75,36,9.25,27037
27,39,273,255,93.41,18,6.59,27039
27,40,333,330,99.1,3,0.9,27040
27,42,359,241,67.13,118,32.87,27042
27,43,197,194,98.48,3,1.52,27043
27,44,321,312,97.2,9,2.8,27044
27,45,292,291,99.66,1,0.34,27045
