ward,precinct,total,Arthur L. Turner,Arthur L. Turner Percent,precinct_id
2,2,167,167,100.0,02002
2,3,534,534,100.0,02003
2,4,361,361,100.0,02004
2,6,623,623,100.0,02006
2,9,424,424,100.0,02009
2,10,288,288,100.0,02010
2,12,615,615,100.0,02012
2,13,414,414,100.0,02013
2,16,667,667,100.0,02016
2,17,361,361,100.0,02017
2,23,85,85,100.0,02023
2,25,569,569,100.0,02025
2,28,331,331,100.0,02028
2,29,227,227,100.0,02029
2,32,289,289,100.0,02032
2,33,260,260,100.0,02033
2,34,295,295,100.0,02034
2,39,459,459,100.0,02039
2,41,245,245,100.0,02041
2,49,5,5,100.0,02049
2,50,292,292,100.0,02050
2,51,333,333,100.0,02051
11,50,10,10,100.0,11050
22,7,336,336,100.0,22007
22,19,275,275,100.0,22019
22,21,347,347,100.0,22021
24,1,445,445,100.0,24001
24,2,287,287,100.0,24002
24,3,314,314,100.0,24003
24,4,282,282,100.0,24004
24,5,304,304,100.0,24005
24,6,389,389,100.0,24006
24,8,297,297,100.0,24008
24,9,331,331,100.0,24009
24,10,239,239,100.0,24010
24,11,230,230,100.0,24011
24,12,355,355,100.0,24012
24,13,322,322,100.0,24013
24,14,402,402,100.0,24014
24,15,278,278,100.0,24015
24,17,286,286,100.0,24017
24,19,236,236,100.0,24019
24,20,267,267,100.0,24020
24,21,229,229,100.0,24021
24,22,360,360,100.0,24022
24,23,283,283,100.0,24023
24,24,216,216,100.0,24024
24,25,393,393,100.0,24025
24,26,424,424,100.0,24026
24,27,172,172,100.0,24027
24,28,345,345,100.0,24028
24,29,50,50,100.0,24029
24,30,321,321,100.0,24030
24,31,343,343,100.0,24031
24,32,283,283,100.0,24032
24,34,326,326,100.0,24034
24,35,433,433,100.0,24035
24,36,270,270,100.0,24036
24,37,337,337,100.0,24037
24,38,350,350,100.0,24038
24,39,340,340,100.0,24039
24,40,407,407,100.0,24040
24,42,250,250,100.0,24042
24,43,420,420,100.0,24043
24,44,396,396,100.0,24044
24,45,292,292,100.0,24045
24,47,291,291,100.0,24047
24,48,170,170,100.0,24048
24,49,476,476,100.0,24049
24,50,469,469,100.0,24050
24,51,456,456,100.0,24051
24,52,248,248,100.0,24052
24,54,336,336,100.0,24054
24,56,404,404,100.0,24056
25,3,357,357,100.0,25003
25,4,380,380,100.0,25004
25,6,248,248,100.0,25006
25,9,5,5,100.0,25009
25,10,219,219,100.0,25010
25,12,363,363,100.0,25012
25,18,149,149,100.0,25018
25,21,250,250,100.0,25021
25,25,303,303,100.0,25025
25,26,264,264,100.0,25026
25,27,261,261,100.0,25027
25,28,338,338,100.0,25028
25,29,769,769,100.0,25029
25,31,241,241,100.0,25031
27,1,604,604,100.0,27001
27,7,390,390,100.0,27007
27,11,399,399,100.0,27011
27,17,417,417,100.0,27017
27,18,2,2,100.0,27018
27,54,183,183,100.0,27054
27,57,307,307,100.0,27057
27,58,111,111,100.0,27058
28,34,60,60,100.0,28034
28,35,271,271,100.0,28035
28,52,280,280,100.0,28052
28,53,193,193,100.0,28053
28,54,242,242,100.0,28054
28,61,227,227,100.0,28061
42,9,213,213,100.0,42009
42,12,260,260,100.0,42012
42,14,424,424,100.0,42014
42,18,807,807,100.0,42018
42,21,321,321,100.0,42021
42,59,593,593,100.0,42059
42,67,806,806,100.0,42067
42,68,428,428,100.0,42068
42,69,352,352,100.0,42069
