ward,precinct,total,John A. Fritchey,John A. Fritchey Percent,precinct_id
1,28,141,141,100.0,01028
1,42,37,37,100.0,01042
32,7,394,394,100.0,32007
32,8,609,609,100.0,32008
32,9,627,627,100.0,32009
32,10,417,417,100.0,32010
32,13,214,214,100.0,32013
32,15,341,341,100.0,32015
32,16,129,129,100.0,32016
32,18,388,388,100.0,32018
32,19,421,421,100.0,32019
32,20,414,414,100.0,32020
32,21,348,348,100.0,32021
32,22,509,509,100.0,32022
32,23,400,400,100.0,32023
32,24,505,505,100.0,32024
32,25,384,384,100.0,32025
32,27,401,401,100.0,32027
32,28,373,373,100.0,32028
32,29,81,81,100.0,32029
32,30,491,491,100.0,32030
32,32,426,426,100.0,32032
32,34,35,35,100.0,32034
32,37,393,393,100.0,32037
32,38,488,488,100.0,32038
32,39,527,527,100.0,32039
32,40,474,474,100.0,32040
32,41,461,461,100.0,32041
32,42,522,522,100.0,32042
32,43,398,398,100.0,32043
32,44,240,240,100.0,32044
32,45,403,403,100.0,32045
32,47,453,453,100.0,32047
32,48,603,603,100.0,32048
32,49,407,407,100.0,32049
32,50,476,476,100.0,32050
33,7,472,472,100.0,33007
33,8,412,412,100.0,33008
33,10,403,403,100.0,33010
33,24,436,436,100.0,33024
40,5,380,380,100.0,40005
40,6,384,384,100.0,40006
40,20,228,228,100.0,40020
43,2,434,434,100.0,43002
43,6,315,315,100.0,43006
43,7,407,407,100.0,43007
43,20,419,419,100.0,43020
43,21,408,408,100.0,43021
43,22,355,355,100.0,43022
43,29,368,368,100.0,43029
43,31,441,441,100.0,43031
43,41,270,270,100.0,43041
43,50,325,325,100.0,43050
43,56,338,338,100.0,43056
43,57,364,364,100.0,43057
44,9,413,413,100.0,44009
44,11,496,496,100.0,44011
44,13,331,331,100.0,44013
44,16,530,530,100.0,44016
44,25,515,515,100.0,44025
44,27,586,586,100.0,44027
44,40,499,499,100.0,44040
44,43,581,581,100.0,44043
44,47,655,655,100.0,44047
44,51,391,391,100.0,44051
47,1,502,502,100.0,47001
47,2,301,301,100.0,47002
47,3,321,321,100.0,47003
47,4,417,417,100.0,47004
47,6,449,449,100.0,47006
47,7,405,405,100.0,47007
47,8,473,473,100.0,47008
47,9,300,300,100.0,47009
47,12,403,403,100.0,47012
47,13,523,523,100.0,47013
47,14,329,329,100.0,47014
47,15,516,516,100.0,47015
47,16,372,372,100.0,47016
47,17,405,405,100.0,47017
47,18,470,470,100.0,47018
47,21,424,424,100.0,47021
47,24,504,504,100.0,47024
47,25,536,536,100.0,47025
47,27,436,436,100.0,47027
47,29,469,469,100.0,47029
47,35,644,644,100.0,47035
47,40,456,456,100.0,47040
47,42,414,414,100.0,47042
47,43,312,312,100.0,47043
47,44,420,420,100.0,47044
47,46,360,360,100.0,47046
47,47,400,400,100.0,47047
47,48,47,47,100.0,47048
47,49,283,283,100.0,47049
47,50,438,438,100.0,47050
47,51,260,260,100.0,47051
47,52,149,149,100.0,47052
