ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,Tim Quirk,Tim Quirk Percent,precinct_id
42,8,504,412,81.75,92,18.25,42008
42,10,302,253,83.77,49,16.23,42010
42,15,437,358,81.92,79,18.08,42015
42,16,280,234,83.57,46,16.43,42016
42,26,373,330,88.47,43,11.53,42026
42,28,381,303,79.53,78,20.47,42028
42,30,312,255,81.73,57,18.27,42030
42,33,463,392,84.67,71,15.33,42033
42,34,384,345,89.84,39,10.16,42034
42,36,415,334,80.48,81,19.52,42036
43,4,584,473,80.99,111,19.01,43004
43,8,540,450,83.33,90,16.67,43008
43,12,577,484,83.88,93,16.12,43012
43,14,305,270,88.52,35,11.48,43014
43,16,412,330,80.1,82,19.9,43016
43,17,530,429,80.94,101,19.06,43017
43,18,445,373,83.82,72,16.18,43018
43,23,363,298,82.09,65,17.91,43023
43,24,499,392,78.56,107,21.44,43024
43,25,435,371,85.29,64,14.71,43025
43,26,332,271,81.63,61,18.37,43026
43,27,374,306,81.82,68,18.18,43027
43,28,506,418,82.61,88,17.39,43028
43,32,417,354,84.89,63,15.11,43032
43,33,402,308,76.62,94,23.38,43033
43,34,355,288,81.13,67,18.87,43034
43,36,407,330,81.08,77,18.92,43036
43,38,440,361,82.05,79,17.95,43038
43,39,282,230,81.56,52,18.44,43039
43,42,298,246,82.55,52,17.45,43042
43,43,373,301,80.7,72,19.3,43043
43,44,523,442,84.51,81,15.49,43044
43,45,162,141,87.04,21,12.96,43045
43,46,399,330,82.71,69,17.29,43046
43,48,498,402,80.72,96,19.28,43048
43,49,419,334,79.71,85,20.29,43049
43,52,411,335,81.51,76,18.49,43052
43,53,471,393,83.44,78,16.56,43053
43,58,395,337,85.32,58,14.68,43058
43,59,362,316,87.29,46,12.71,43059
44,1,368,312,84.78,56,15.22,44001
44,2,337,282,83.68,55,16.32,44002
44,3,377,339,89.92,38,10.08,44003
44,4,371,333,89.76,38,10.24,44004
44,5,609,538,88.34,71,11.66,44005
44,6,612,522,85.29,90,14.71,44006
44,7,446,390,87.44,56,12.56,44007
44,8,266,231,86.84,35,13.16,44008
44,10,456,380,83.33,76,16.67,44010
44,12,354,306,86.44,48,13.56,44012
44,14,484,396,81.82,88,18.18,44014
44,15,590,511,86.61,79,13.39,44015
44,17,509,440,86.44,69,13.56,44017
44,18,432,344,79.63,88,20.37,44018
44,19,332,294,88.55,38,11.45,44019
44,20,591,496,83.93,95,16.07,44020
44,21,699,593,84.84,106,15.16,44021
44,22,494,432,87.45,62,12.55,44022
44,23,529,469,88.66,60,11.34,44023
44,24,402,343,85.32,59,14.68,44024
44,26,474,393,82.91,81,17.09,44026
44,28,435,345,79.31,90,20.69,44028
44,29,658,530,80.55,128,19.45,44029
44,30,468,406,86.75,62,13.25,44030
44,31,631,503,79.71,128,20.29,44031
44,32,390,336,86.15,54,13.85,44032
44,33,710,629,88.59,81,11.41,44033
44,34,374,331,88.5,43,11.5,44034
44,35,328,274,83.54,54,16.46,44035
44,36,601,519,86.36,82,13.64,44036
44,37,589,517,87.78,72,12.22,44037
44,38,535,434,81.12,101,18.88,44038
44,39,625,492,78.72,133,21.28,44039
44,41,492,418,84.96,74,15.04,44041
44,42,667,576,86.36,91,13.64,44042
44,44,588,517,87.93,71,12.07,44044
44,45,668,553,82.78,115,17.22,44045
44,46,360,308,85.56,52,14.44,44046
44,48,275,238,86.55,37,13.45,44048
44,49,658,579,87.99,79,12.01,44049
44,50,571,441,77.23,130,22.77,44050
46,1,603,542,89.88,61,10.12,46001
46,3,557,486,87.25,71,12.75,46003
46,5,457,386,84.46,71,15.54,46005
46,10,430,355,82.56,75,17.44,46010
46,13,498,413,82.93,85,17.07,46013
46,15,531,454,85.5,77,14.5,46015
46,17,534,465,87.08,69,12.92,46017
46,18,468,404,86.32,64,13.68,46018
46,24,499,420,84.17,79,15.83,46024
46,28,582,494,84.88,88,15.12,46028
46,29,384,332,86.46,52,13.54,46029
46,30,462,405,87.66,57,12.34,46030
46,31,502,439,87.45,63,12.55,46031
46,33,498,425,85.34,73,14.66,46033
46,36,412,354,85.92,58,14.08,46036
46,37,406,347,85.47,59,14.53,46037
46,43,623,558,89.57,65,10.43,46043
46,44,434,404,93.09,30,6.91,46044
