ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,18,46,46,100.0,33018
38,5,400,400,100.0,38005
38,7,313,313,100.0,38007
38,10,285,285,100.0,38010
38,20,326,326,100.0,38020
39,1,269,269,100.0,39001
39,2,267,267,100.0,39002
39,3,275,275,100.0,39003
39,4,220,220,100.0,39004
39,5,248,248,100.0,39005
39,6,303,303,100.0,39006
39,7,215,215,100.0,39007
39,8,354,354,100.0,39008
39,9,391,391,100.0,39009
39,10,264,264,100.0,39010
39,11,373,373,100.0,39011
39,12,38,38,100.0,39012
39,14,363,363,100.0,39014
39,15,235,235,100.0,39015
39,16,271,271,100.0,39016
39,17,247,247,100.0,39017
39,18,336,336,100.0,39018
39,19,198,198,100.0,39019
39,20,238,238,100.0,39020
39,21,214,214,100.0,39021
39,25,339,339,100.0,39025
39,26,264,264,100.0,39026
39,32,251,251,100.0,39032
39,33,382,382,100.0,39033
39,34,372,372,100.0,39034
39,35,382,382,100.0,39035
39,36,252,252,100.0,39036
39,37,381,381,100.0,39037
39,38,296,296,100.0,39038
39,39,122,122,100.0,39039
39,40,197,197,100.0,39040
39,41,124,124,100.0,39041
39,42,245,245,100.0,39042
39,43,405,405,100.0,39043
39,45,168,168,100.0,39045
39,47,192,192,100.0,39047
40,1,120,120,100.0,40001
40,2,16,16,100.0,40002
40,10,118,118,100.0,40010
40,17,126,126,100.0,40017
40,20,51,51,100.0,40020
40,24,122,122,100.0,40024
40,29,265,265,100.0,40029
40,30,283,283,100.0,40030
40,31,215,215,100.0,40031
40,32,163,163,100.0,40032
40,34,206,206,100.0,40034
40,38,167,167,100.0,40038
40,48,219,219,100.0,40048
40,49,194,194,100.0,40049
41,6,310,310,100.0,41006
41,10,301,301,100.0,41010
41,14,334,334,100.0,41014
41,19,355,355,100.0,41019
41,23,289,289,100.0,41023
41,39,253,253,100.0,41039
41,44,304,304,100.0,41044
41,47,282,282,100.0,41047
41,54,242,242,100.0,41054
41,57,271,271,100.0,41057
45,4,383,383,100.0,45004
45,5,331,331,100.0,45005
45,10,425,425,100.0,45010
45,12,355,355,100.0,45012
45,14,359,359,100.0,45014
45,24,397,397,100.0,45024
45,36,262,262,100.0,45036
50,25,20,20,100.0,50025
50,44,211,211,100.0,50044
50,45,138,138,100.0,50045
