ward,precinct,total,Jackie Marie Portman,Jackie Marie Portman Percent,precinct_id
2,14,329,329,100.0,02014
2,20,206,206,100.0,02020
2,31,254,254,100.0,02031
2,44,181,181,100.0,02044
2,46,344,344,100.0,02046
3,1,207,207,100.0,03001
3,2,287,287,100.0,03002
3,4,221,221,100.0,03004
3,5,217,217,100.0,03005
3,7,179,179,100.0,03007
3,8,316,316,100.0,03008
3,9,242,242,100.0,03009
3,10,114,114,100.0,03010
3,11,300,300,100.0,03011
3,12,237,237,100.0,03012
3,14,204,204,100.0,03014
3,15,279,279,100.0,03015
3,16,211,211,100.0,03016
3,17,125,125,100.0,03017
3,18,144,144,100.0,03018
3,20,185,185,100.0,03020
3,21,131,131,100.0,03021
3,22,133,133,100.0,03022
3,23,228,228,100.0,03023
3,24,329,329,100.0,03024
3,25,208,208,100.0,03025
3,26,105,105,100.0,03026
3,27,255,255,100.0,03027
3,29,192,192,100.0,03029
3,30,209,209,100.0,03030
3,31,340,340,100.0,03031
3,32,238,238,100.0,03032
3,33,338,338,100.0,03033
3,34,206,206,100.0,03034
3,35,265,265,100.0,03035
3,36,82,82,100.0,03036
3,37,108,108,100.0,03037
3,38,293,293,100.0,03038
3,39,233,233,100.0,03039
3,40,234,234,100.0,03040
3,41,201,201,100.0,03041
3,42,217,217,100.0,03042
3,43,72,72,100.0,03043
3,44,96,96,100.0,03044
3,46,64,64,100.0,03046
3,47,141,141,100.0,03047
3,48,159,159,100.0,03048
3,49,96,96,100.0,03049
3,50,154,154,100.0,03050
4,1,468,468,100.0,04001
4,2,465,465,100.0,04002
4,3,390,390,100.0,04003
4,4,340,340,100.0,04004
4,5,404,404,100.0,04005
4,6,105,105,100.0,04006
4,7,394,394,100.0,04007
4,8,416,416,100.0,04008
4,9,452,452,100.0,04009
4,10,374,374,100.0,04010
4,11,370,370,100.0,04011
4,12,202,202,100.0,04012
4,13,231,231,100.0,04013
4,14,285,285,100.0,04014
4,15,260,260,100.0,04015
4,16,436,436,100.0,04016
4,17,312,312,100.0,04017
4,18,352,352,100.0,04018
4,19,331,331,100.0,04019
4,20,213,213,100.0,04020
4,21,375,375,100.0,04021
4,22,338,338,100.0,04022
4,23,240,240,100.0,04023
4,24,333,333,100.0,04024
4,25,279,279,100.0,04025
4,26,354,354,100.0,04026
4,27,324,324,100.0,04027
4,28,213,213,100.0,04028
4,29,242,242,100.0,04029
4,30,264,264,100.0,04030
4,31,161,161,100.0,04031
4,32,302,302,100.0,04032
4,33,292,292,100.0,04033
4,34,217,217,100.0,04034
4,35,226,226,100.0,04035
4,36,236,236,100.0,04036
4,37,54,54,100.0,04037
4,38,434,434,100.0,04038
4,39,254,254,100.0,04039
4,40,317,317,100.0,04040
4,41,177,177,100.0,04041
4,42,344,344,100.0,04042
4,43,206,206,100.0,04043
4,44,212,212,100.0,04044
4,45,380,380,100.0,04045
4,46,264,264,100.0,04046
4,47,507,507,100.0,04047
4,48,322,322,100.0,04048
4,49,217,217,100.0,04049
4,50,257,257,100.0,04050
4,51,298,298,100.0,04051
4,52,324,324,100.0,04052
5,1,310,310,100.0,05001
5,2,249,249,100.0,05002
5,3,170,170,100.0,05003
5,4,184,184,100.0,05004
5,5,298,298,100.0,05005
5,6,323,323,100.0,05006
5,7,318,318,100.0,05007
5,8,289,289,100.0,05008
5,9,276,276,100.0,05009
5,10,289,289,100.0,05010
5,11,230,230,100.0,05011
5,13,279,279,100.0,05013
5,14,324,324,100.0,05014
5,15,210,210,100.0,05015
5,16,250,250,100.0,05016
5,17,293,293,100.0,05017
5,18,292,292,100.0,05018
5,19,171,171,100.0,05019
5,20,158,158,100.0,05020
5,21,299,299,100.0,05021
5,22,257,257,100.0,05022
5,23,201,201,100.0,05023
5,24,166,166,100.0,05024
5,25,276,276,100.0,05025
5,26,349,349,100.0,05026
5,27,357,357,100.0,05027
5,28,275,275,100.0,05028
5,29,298,298,100.0,05029
5,30,212,212,100.0,05030
5,31,317,317,100.0,05031
5,32,408,408,100.0,05032
5,33,152,152,100.0,05033
5,34,338,338,100.0,05034
5,35,230,230,100.0,05035
5,36,201,201,100.0,05036
5,37,221,221,100.0,05037
5,38,217,217,100.0,05038
5,39,270,270,100.0,05039
5,40,376,376,100.0,05040
5,41,213,213,100.0,05041
5,42,319,319,100.0,05042
5,43,298,298,100.0,05043
5,44,377,377,100.0,05044
5,45,157,157,100.0,05045
5,46,297,297,100.0,05046
5,47,261,261,100.0,05047
5,48,184,184,100.0,05048
5,49,73,73,100.0,05049
5,50,95,95,100.0,05050
5,51,226,226,100.0,05051
5,52,62,62,100.0,05052
5,53,279,279,100.0,05053
5,54,395,395,100.0,05054
5,55,240,240,100.0,05055
6,7,323,323,100.0,06007
6,15,194,194,100.0,06015
6,18,232,232,100.0,06018
6,20,289,289,100.0,06020
6,30,297,297,100.0,06030
6,32,340,340,100.0,06032
6,33,402,402,100.0,06033
6,39,154,154,100.0,06039
6,48,303,303,100.0,06048
6,61,199,199,100.0,06061
6,62,330,330,100.0,06062
7,9,259,259,100.0,07009
7,11,286,286,100.0,07011
7,35,354,354,100.0,07035
7,40,329,329,100.0,07040
7,44,425,425,100.0,07044
7,45,335,335,100.0,07045
7,50,166,166,100.0,07050
8,57,275,275,100.0,08057
8,69,79,79,100.0,08069
8,70,448,448,100.0,08070
11,12,164,164,100.0,11012
11,13,196,196,100.0,11013
11,15,168,168,100.0,11015
11,27,117,117,100.0,11027
11,28,145,145,100.0,11028
11,31,109,109,100.0,11031
11,32,134,134,100.0,11032
11,34,104,104,100.0,11034
11,39,217,217,100.0,11039
11,42,75,75,100.0,11042
11,43,213,213,100.0,11043
11,45,98,98,100.0,11045
11,46,76,76,100.0,11046
11,47,180,180,100.0,11047
11,48,71,71,100.0,11048
11,49,149,149,100.0,11049
15,2,155,155,100.0,15002
15,3,191,191,100.0,15003
15,4,201,201,100.0,15004
15,5,192,192,100.0,15005
15,7,199,199,100.0,15007
15,12,127,127,100.0,15012
15,17,174,174,100.0,15017
15,18,126,126,100.0,15018
15,19,145,145,100.0,15019
15,20,137,137,100.0,15020
15,21,153,153,100.0,15021
15,23,148,148,100.0,15023
15,26,186,186,100.0,15026
15,31,154,154,100.0,15031
15,33,174,174,100.0,15033
15,34,113,113,100.0,15034
15,35,175,175,100.0,15035
15,36,196,196,100.0,15036
15,37,158,158,100.0,15037
15,39,200,200,100.0,15039
15,40,212,212,100.0,15040
15,42,151,151,100.0,15042
15,43,190,190,100.0,15043
15,46,123,123,100.0,15046
15,47,195,195,100.0,15047
15,51,126,126,100.0,15051
15,52,164,164,100.0,15052
16,3,155,155,100.0,16003
16,5,189,189,100.0,16005
16,6,67,67,100.0,16006
16,8,233,233,100.0,16008
16,9,213,213,100.0,16009
16,10,320,320,100.0,16010
16,12,161,161,100.0,16012
16,14,202,202,100.0,16014
16,15,223,223,100.0,16015
16,16,209,209,100.0,16016
16,18,180,180,100.0,16018
16,19,258,258,100.0,16019
16,20,151,151,100.0,16020
