ward,precinct,total,Donna L. Cooper,Donna L. Cooper Percent,precinct_id
5,12,221,221,100.0,05012
5,50,139,139,100.0,05050
6,1,356,356,100.0,06001
6,2,336,336,100.0,06002
6,3,333,333,100.0,06003
6,4,263,263,100.0,06004
6,5,207,207,100.0,06005
6,6,241,241,100.0,06006
6,8,389,389,100.0,06008
6,9,287,287,100.0,06009
6,10,377,377,100.0,06010
6,11,331,331,100.0,06011
6,12,349,349,100.0,06012
6,13,279,279,100.0,06013
6,14,369,369,100.0,06014
6,16,319,319,100.0,06016
6,17,343,343,100.0,06017
6,19,376,376,100.0,06019
6,21,275,275,100.0,06021
6,22,251,251,100.0,06022
6,23,262,262,100.0,06023
6,24,320,320,100.0,06024
6,25,210,210,100.0,06025
6,26,353,353,100.0,06026
6,27,372,372,100.0,06027
6,28,516,516,100.0,06028
6,29,362,362,100.0,06029
6,31,359,359,100.0,06031
6,34,297,297,100.0,06034
6,35,287,287,100.0,06035
6,36,211,211,100.0,06036
6,37,340,340,100.0,06037
6,38,367,367,100.0,06038
6,39,191,191,100.0,06039
6,40,197,197,100.0,06040
6,41,313,313,100.0,06041
6,42,217,217,100.0,06042
6,43,362,362,100.0,06043
6,44,343,343,100.0,06044
6,45,266,266,100.0,06045
6,46,315,315,100.0,06046
6,47,335,335,100.0,06047
6,49,292,292,100.0,06049
6,50,320,320,100.0,06050
6,51,228,228,100.0,06051
6,52,252,252,100.0,06052
6,53,298,298,100.0,06053
6,54,280,280,100.0,06054
6,55,326,326,100.0,06055
6,56,235,235,100.0,06056
6,57,195,195,100.0,06057
6,58,331,331,100.0,06058
6,59,279,279,100.0,06059
6,60,217,217,100.0,06060
6,63,291,291,100.0,06063
6,64,331,331,100.0,06064
7,1,429,429,100.0,07001
7,2,336,336,100.0,07002
7,3,240,240,100.0,07003
7,4,214,214,100.0,07004
7,5,252,252,100.0,07005
7,6,249,249,100.0,07006
7,7,216,216,100.0,07007
7,8,118,118,100.0,07008
7,10,211,211,100.0,07010
7,12,198,198,100.0,07012
7,13,197,197,100.0,07013
