ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Antoine Members,Antoine Members Percent,precinct_id
2,14,404,380,94.06,24,5.94,02014
2,20,346,323,93.35,23,6.65,02020
2,31,420,408,97.14,12,2.86,02031
2,44,276,261,94.57,15,5.43,02044
2,46,516,494,95.74,22,4.26,02046
3,5,332,311,93.67,21,6.33,03005
3,7,368,358,97.28,10,2.72,03007
3,20,110,104,94.55,6,5.45,03020
3,23,61,61,100.0,0,0.0,03023
3,30,302,298,98.68,4,1.32,03030
3,34,317,305,96.21,12,3.79,03034
3,36,19,19,100.0,0,0.0,03036
3,38,458,450,98.25,8,1.75,03038
3,41,310,281,90.65,29,9.35,03041
3,44,173,169,97.69,4,2.31,03044
3,49,12,12,100.0,0,0.0,03049
4,1,741,671,90.55,70,9.45,04001
4,2,629,598,95.07,31,4.93,04002
4,3,595,578,97.14,17,2.86,04003
4,8,563,544,96.63,19,3.37,04008
4,9,686,666,97.08,20,2.92,04009
4,12,275,268,97.45,7,2.55,04012
4,13,345,323,93.62,22,6.38,04013
4,16,595,584,98.15,11,1.85,04016
4,17,493,431,87.42,62,12.58,04017
4,18,518,504,97.3,14,2.7,04018
4,19,524,509,97.14,15,2.86,04019
4,20,324,319,98.46,5,1.54,04020
4,21,551,519,94.19,32,5.81,04021
4,22,524,500,95.42,24,4.58,04022
4,23,362,327,90.33,35,9.67,04023
4,24,520,486,93.46,34,6.54,04024
4,26,554,542,97.83,12,2.17,04026
4,28,313,281,89.78,32,10.22,04028
4,29,376,348,92.55,28,7.45,04029
4,31,324,298,91.98,26,8.02,04031
4,32,496,447,90.12,49,9.88,04032
4,33,404,393,97.28,11,2.72,04033
4,34,341,302,88.56,39,11.44,04034
4,37,92,90,97.83,2,2.17,04037
4,38,641,601,93.76,40,6.24,04038
4,39,361,351,97.23,10,2.77,04039
4,40,511,490,95.89,21,4.11,04040
4,41,261,233,89.27,28,10.73,04041
4,42,82,82,100.0,0,0.0,04042
4,43,320,294,91.88,26,8.13,04043
4,44,320,296,92.5,24,7.5,04044
4,45,582,553,95.02,29,4.98,04045
4,46,366,355,96.99,11,3.01,04046
4,47,688,646,93.9,42,6.1,04047
4,48,489,450,92.02,39,7.98,04048
4,49,326,323,99.08,3,0.92,04049
4,50,432,425,98.38,7,1.62,04050
4,51,446,432,96.86,14,3.14,04051
4,52,548,539,98.36,9,1.64,04052
5,2,428,421,98.36,7,1.64,05002
5,3,241,228,94.61,13,5.39,05003
5,5,479,476,99.37,3,0.63,05005
5,8,518,464,89.58,54,10.42,05008
5,9,434,426,98.16,8,1.84,05009
5,10,445,438,98.43,7,1.57,05010
5,12,327,322,98.47,5,1.53,05012
5,13,423,405,95.74,18,4.26,05013
5,15,355,321,90.42,34,9.58,05015
5,16,390,384,98.46,6,1.54,05016
5,17,497,488,98.19,9,1.81,05017
5,18,471,458,97.24,13,2.76,05018
5,19,273,268,98.17,5,1.83,05019
5,20,288,287,99.65,1,0.35,05020
5,22,422,416,98.58,6,1.42,05022
5,23,329,320,97.26,9,2.74,05023
5,25,490,485,98.98,5,1.02,05025
5,27,621,538,86.63,83,13.37,05027
5,30,373,320,85.79,53,14.21,05030
5,33,252,247,98.02,5,1.98,05033
5,35,366,323,88.25,43,11.75,05035
5,39,474,428,90.3,46,9.7,05039
5,41,382,345,90.31,37,9.69,05041
5,45,251,247,98.41,4,1.59,05045
5,48,296,269,90.88,27,9.12,05048
5,50,381,377,98.95,4,1.05,05050
5,51,364,359,98.63,5,1.37,05051
5,52,103,95,92.23,8,7.77,05052
5,53,436,405,92.89,31,7.11,05053
5,55,390,382,97.95,8,2.05,05055
6,1,473,468,98.94,5,1.06,06001
6,2,471,468,99.36,3,0.64,06002
6,3,478,469,98.12,9,1.88,06003
6,4,425,420,98.82,5,1.18,06004
6,5,299,297,99.33,2,0.67,06005
6,6,353,351,99.43,2,0.57,06006
6,7,507,498,98.22,9,1.78,06007
6,8,521,513,98.46,8,1.54,06008
6,9,384,377,98.18,7,1.82,06009
6,10,513,505,98.44,8,1.56,06010
6,11,437,428,97.94,9,2.06,06011
6,12,481,474,98.54,7,1.46,06012
6,13,399,394,98.75,5,1.25,06013
6,14,529,518,97.92,11,2.08,06014
6,15,325,321,98.77,4,1.23,06015
6,16,478,466,97.49,12,2.51,06016
6,17,480,472,98.33,8,1.67,06017
6,18,348,346,99.43,2,0.57,06018
6,19,521,511,98.08,10,1.92,06019
6,20,448,440,98.21,8,1.79,06020
6,23,374,368,98.4,6,1.6,06023
6,24,463,454,98.06,9,1.94,06024
6,25,353,351,99.43,2,0.57,06025
6,26,490,479,97.76,11,2.24,06026
6,27,540,535,99.07,5,0.93,06027
6,28,671,660,98.36,11,1.64,06028
6,29,481,473,98.34,8,1.66,06029
6,30,449,437,97.33,12,2.67,06030
6,31,488,481,98.57,7,1.43,06031
6,32,523,519,99.24,4,0.76,06032
6,33,557,551,98.92,6,1.08,06033
6,34,413,405,98.06,8,1.94,06034
6,35,375,367,97.87,8,2.13,06035
6,36,321,320,99.69,1,0.31,06036
6,37,451,440,97.56,11,2.44,06037
6,38,495,483,97.58,12,2.42,06038
6,39,470,466,99.15,4,0.85,06039
6,40,305,302,99.02,3,0.98,06040
6,41,429,420,97.9,9,2.1,06041
6,42,351,344,98.01,7,1.99,06042
