ward,precinct,total,Edward D. Maloney,Edward D. Maloney Percent,precinct_id
18,19,403,403,100.0,18019
18,24,392,392,100.0,18024
18,25,387,387,100.0,18025
18,26,285,285,100.0,18026
18,30,335,335,100.0,18030
18,32,452,452,100.0,18032
18,34,426,426,100.0,18034
18,45,354,354,100.0,18045
18,46,398,398,100.0,18046
18,51,479,479,100.0,18051
18,52,375,375,100.0,18052
18,53,306,306,100.0,18053
19,1,401,401,100.0,19001
19,2,362,362,100.0,19002
19,3,318,318,100.0,19003
19,4,331,331,100.0,19004
19,5,423,423,100.0,19005
19,6,323,323,100.0,19006
19,7,410,410,100.0,19007
19,8,309,309,100.0,19008
19,9,261,261,100.0,19009
19,10,518,518,100.0,19010
19,11,399,399,100.0,19011
19,12,373,373,100.0,19012
19,14,233,233,100.0,19014
19,15,321,321,100.0,19015
19,16,447,447,100.0,19016
19,17,410,410,100.0,19017
19,18,449,449,100.0,19018
19,19,415,415,100.0,19019
19,21,272,272,100.0,19021
19,22,435,435,100.0,19022
19,23,438,438,100.0,19023
19,24,316,316,100.0,19024
19,25,426,426,100.0,19025
19,26,413,413,100.0,19026
19,29,292,292,100.0,19029
19,30,348,348,100.0,19030
19,32,426,426,100.0,19032
19,33,400,400,100.0,19033
19,34,396,396,100.0,19034
19,35,379,379,100.0,19035
19,36,609,609,100.0,19036
19,37,420,420,100.0,19037
19,38,416,416,100.0,19038
19,39,256,256,100.0,19039
19,41,272,272,100.0,19041
19,44,353,353,100.0,19044
19,45,415,415,100.0,19045
19,46,491,491,100.0,19046
19,47,306,306,100.0,19047
19,51,292,292,100.0,19051
19,52,302,302,100.0,19052
19,53,380,380,100.0,19053
19,54,317,317,100.0,19054
19,55,316,316,100.0,19055
19,56,449,449,100.0,19056
19,57,453,453,100.0,19057
19,58,374,374,100.0,19058
19,59,357,357,100.0,19059
19,61,502,502,100.0,19061
19,62,407,407,100.0,19062
19,65,301,301,100.0,19065
21,15,367,367,100.0,21015
21,29,212,212,100.0,21029
21,35,234,234,100.0,21035
21,36,352,352,100.0,21036
21,57,351,351,100.0,21057
21,70,356,356,100.0,21070
21,71,293,293,100.0,21071
21,73,488,488,100.0,21073
