ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,Jay Valko,Jay Valko Percent,precinct_id
1,28,167,138,82.63,29,17.37,01028
1,42,45,33,73.33,12,26.67,01042
32,7,473,339,71.67,134,28.33,32007
32,8,765,524,68.5,241,31.5,32008
32,9,719,572,79.55,147,20.45,32009
32,10,531,373,70.24,158,29.76,32010
32,13,257,171,66.54,86,33.46,32013
32,15,391,308,78.77,83,21.23,32015
32,16,152,126,82.89,26,17.11,32016
32,18,483,354,73.29,129,26.71,32018
32,19,493,401,81.34,92,18.66,32019
32,20,494,364,73.68,130,26.32,32020
32,21,395,308,77.97,87,22.03,32021
32,22,603,468,77.61,135,22.39,32022
32,23,482,361,74.9,121,25.1,32023
32,24,636,415,65.25,221,34.75,32024
32,25,445,349,78.43,96,21.57,32025
32,27,473,346,73.15,127,26.85,32027
32,28,435,351,80.69,84,19.31,32028
32,29,99,80,80.81,19,19.19,32029
32,30,629,404,64.23,225,35.77,32030
32,32,534,365,68.35,169,31.65,32032
32,34,42,38,90.48,4,9.52,32034
32,37,478,371,77.62,107,22.38,32037
32,38,582,447,76.8,135,23.2,32038
32,39,649,450,69.34,199,30.66,32039
32,40,565,445,78.76,120,21.24,32040
32,41,589,436,74.02,153,25.98,32041
32,42,629,477,75.83,152,24.17,32042
32,43,497,330,66.4,167,33.6,32043
32,44,298,234,78.52,64,21.48,32044
32,45,489,371,75.87,118,24.13,32045
32,47,577,387,67.07,190,32.93,32047
32,48,743,533,71.74,210,28.26,32048
32,49,480,358,74.58,122,25.42,32049
32,50,583,410,70.33,173,29.67,32050
33,7,559,485,86.76,74,13.24,33007
33,8,470,402,85.53,68,14.47,33008
33,10,461,390,84.6,71,15.4,33010
33,24,517,454,87.81,63,12.19,33024
40,5,435,374,85.98,61,14.02,40005
40,6,436,387,88.76,49,11.24,40006
40,20,266,221,83.08,45,16.92,40020
42,8,545,400,73.39,145,26.61,42008
42,10,325,231,71.08,94,28.92,42010
42,15,462,337,72.94,125,27.06,42015
42,16,301,213,70.76,88,29.24,42016
42,26,398,324,81.41,74,18.59,42026
42,28,402,299,74.38,103,25.62,42028
42,30,341,239,70.09,102,29.91,42030
42,33,484,369,76.24,115,23.76,42033
42,34,412,318,77.18,94,22.82,42034
42,36,453,311,68.65,142,31.35,42036
43,2,556,395,71.04,161,28.96,43002
43,4,626,434,69.33,192,30.67,43004
43,6,412,302,73.3,110,26.7,43006
43,7,491,361,73.52,130,26.48,43007
43,8,562,425,75.62,137,24.38,43008
43,12,603,453,75.12,150,24.88,43012
43,14,326,248,76.07,78,23.93,43014
43,16,454,317,69.82,137,30.18,43016
43,17,590,402,68.14,188,31.86,43017
43,18,493,345,69.98,148,30.02,43018
43,20,509,376,73.87,133,26.13,43020
43,21,499,385,77.15,114,22.85,43021
43,22,481,324,67.36,157,32.64,43022
43,23,376,291,77.39,85,22.61,43023
43,24,541,394,72.83,147,27.17,43024
43,25,461,366,79.39,95,20.61,43025
43,26,356,244,68.54,112,31.46,43026
43,27,395,293,74.18,102,25.82,43027
43,28,549,373,67.94,176,32.06,43028
43,29,467,350,74.95,117,25.05,43029
43,31,554,415,74.91,139,25.09,43031
43,32,451,345,76.5,106,23.5,43032
43,33,438,283,64.61,155,35.39,43033
43,34,366,289,78.96,77,21.04,43034
43,36,448,309,68.97,139,31.03,43036
43,38,460,340,73.91,120,26.09,43038
43,39,312,202,64.74,110,35.26,43039
43,41,321,227,70.72,94,29.28,43041
43,42,344,238,69.19,106,30.81,43042
43,43,408,290,71.08,118,28.92,43043
43,44,570,406,71.23,164,28.77,43044
43,45,175,129,73.71,46,26.29,43045
43,46,460,295,64.13,165,35.87,43046
