ward,precinct,total,Eileen O'Neill Burke,Eileen O'Neill Burke Percent,precinct_id
1,42,20,20,100.0,01042
30,1,186,186,100.0,30001
30,3,255,255,100.0,30003
30,15,161,161,100.0,30015
32,9,228,228,100.0,32009
32,15,72,72,100.0,32015
32,19,179,179,100.0,32019
32,21,244,244,100.0,32021
32,22,371,371,100.0,32022
32,25,278,278,100.0,32025
33,5,318,318,100.0,33005
33,9,313,313,100.0,33009
33,10,30,30,100.0,33010
33,14,289,289,100.0,33014
33,18,118,118,100.0,33018
35,22,101,101,100.0,35022
35,33,106,106,100.0,35033
38,1,226,226,100.0,38001
38,4,134,134,100.0,38004
38,5,362,362,100.0,38005
38,7,222,222,100.0,38007
38,10,82,82,100.0,38010
38,41,297,297,100.0,38041
38,42,241,241,100.0,38042
39,1,193,193,100.0,39001
39,2,215,215,100.0,39002
39,3,181,181,100.0,39003
39,4,170,170,100.0,39004
39,5,165,165,100.0,39005
39,6,228,228,100.0,39006
39,7,159,159,100.0,39007
39,8,233,233,100.0,39008
39,9,251,251,100.0,39009
39,10,200,200,100.0,39010
39,11,254,254,100.0,39011
39,12,246,246,100.0,39012
39,13,147,147,100.0,39013
39,14,241,241,100.0,39014
39,15,174,174,100.0,39015
39,16,208,208,100.0,39016
39,17,166,166,100.0,39017
39,18,245,245,100.0,39018
39,19,140,140,100.0,39019
39,20,170,170,100.0,39020
39,21,138,138,100.0,39021
39,22,233,233,100.0,39022
39,23,129,129,100.0,39023
39,24,239,239,100.0,39024
39,25,262,262,100.0,39025
39,26,190,190,100.0,39026
39,27,242,242,100.0,39027
39,28,255,255,100.0,39028
39,29,222,222,100.0,39029
39,30,142,142,100.0,39030
39,31,161,161,100.0,39031
39,33,253,253,100.0,39033
39,34,290,290,100.0,39034
39,35,293,293,100.0,39035
39,36,189,189,100.0,39036
39,37,282,282,100.0,39037
39,38,244,244,100.0,39038
39,39,77,77,100.0,39039
39,40,139,139,100.0,39040
39,41,48,48,100.0,39041
39,42,168,168,100.0,39042
39,43,291,291,100.0,39043
39,44,285,285,100.0,39044
39,45,102,102,100.0,39045
39,46,169,169,100.0,39046
39,47,138,138,100.0,39047
40,1,179,179,100.0,40001
40,2,180,180,100.0,40002
40,5,267,267,100.0,40005
40,6,292,292,100.0,40006
40,8,65,65,100.0,40008
40,10,233,233,100.0,40010
40,14,328,328,100.0,40014
40,15,243,243,100.0,40015
40,17,92,92,100.0,40017
40,18,55,55,100.0,40018
40,19,199,199,100.0,40019
40,20,225,225,100.0,40020
40,21,224,224,100.0,40021
40,24,144,144,100.0,40024
40,25,183,183,100.0,40025
40,29,216,216,100.0,40029
40,30,237,237,100.0,40030
40,31,174,174,100.0,40031
40,32,120,120,100.0,40032
40,34,162,162,100.0,40034
40,36,243,243,100.0,40036
40,38,120,120,100.0,40038
40,44,179,179,100.0,40044
40,48,172,172,100.0,40048
40,49,162,162,100.0,40049
41,1,271,271,100.0,41001
41,2,294,294,100.0,41002
41,3,263,263,100.0,41003
41,4,293,293,100.0,41004
41,5,340,340,100.0,41005
41,6,224,224,100.0,41006
41,7,300,300,100.0,41007
41,8,261,261,100.0,41008
41,9,267,267,100.0,41009
41,10,216,216,100.0,41010
41,11,327,327,100.0,41011
41,12,287,287,100.0,41012
41,13,137,137,100.0,41013
41,14,260,260,100.0,41014
41,15,302,302,100.0,41015
41,16,280,280,100.0,41016
41,17,260,260,100.0,41017
41,18,215,215,100.0,41018
41,19,112,112,100.0,41019
41,20,270,270,100.0,41020
41,21,293,293,100.0,41021
41,22,230,230,100.0,41022
41,23,223,223,100.0,41023
41,24,250,250,100.0,41024
41,30,322,322,100.0,41030
41,31,294,294,100.0,41031
41,32,165,165,100.0,41032
41,33,190,190,100.0,41033
41,34,226,226,100.0,41034
41,35,274,274,100.0,41035
41,36,258,258,100.0,41036
41,37,293,293,100.0,41037
41,38,274,274,100.0,41038
41,39,193,193,100.0,41039
41,40,247,247,100.0,41040
41,41,262,262,100.0,41041
41,42,299,299,100.0,41042
41,43,261,261,100.0,41043
41,45,231,231,100.0,41045
41,46,193,193,100.0,41046
41,49,279,279,100.0,41049
41,50,289,289,100.0,41050
41,51,191,191,100.0,41051
41,52,327,327,100.0,41052
41,53,250,250,100.0,41053
41,55,237,237,100.0,41055
41,56,319,319,100.0,41056
45,2,273,273,100.0,45002
45,3,275,275,100.0,45003
45,4,268,268,100.0,45004
45,5,254,254,100.0,45005
45,6,253,253,100.0,45006
45,7,278,278,100.0,45007
45,8,217,217,100.0,45008
45,9,252,252,100.0,45009
45,10,288,288,100.0,45010
45,11,236,236,100.0,45011
45,12,270,270,100.0,45012
45,13,282,282,100.0,45013
45,14,273,273,100.0,45014
45,15,282,282,100.0,45015
45,16,304,304,100.0,45016
45,17,217,217,100.0,45017
45,18,263,263,100.0,45018
45,19,248,248,100.0,45019
45,20,209,209,100.0,45020
45,21,203,203,100.0,45021
45,22,209,209,100.0,45022
45,23,276,276,100.0,45023
45,24,309,309,100.0,45024
45,25,277,277,100.0,45025
45,26,303,303,100.0,45026
45,27,219,219,100.0,45027
45,28,246,246,100.0,45028
45,29,291,291,100.0,45029
45,30,234,234,100.0,45030
45,31,259,259,100.0,45031
45,32,171,171,100.0,45032
45,33,211,211,100.0,45033
45,34,193,193,100.0,45034
45,35,246,246,100.0,45035
45,36,196,196,100.0,45036
45,37,278,278,100.0,45037
45,38,303,303,100.0,45038
45,39,300,300,100.0,45039
45,40,316,316,100.0,45040
45,41,181,181,100.0,45041
45,42,238,238,100.0,45042
45,43,218,218,100.0,45043
45,44,270,270,100.0,45044
45,45,186,186,100.0,45045
45,46,272,272,100.0,45046
45,47,278,278,100.0,45047
45,48,242,242,100.0,45048
45,49,229,229,100.0,45049
45,50,203,203,100.0,45050
45,51,247,247,100.0,45051
45,52,266,266,100.0,45052
45,53,222,222,100.0,45053
46,21,153,153,100.0,46021
47,1,368,368,100.0,47001
47,2,217,217,100.0,47002
47,3,237,237,100.0,47003
47,4,294,294,100.0,47004
47,5,312,312,100.0,47005
47,6,325,325,100.0,47006
47,7,273,273,100.0,47007
47,8,355,355,100.0,47008
47,9,223,223,100.0,47009
47,10,276,276,100.0,47010
47,11,570,570,100.0,47011
47,12,293,293,100.0,47012
47,13,414,414,100.0,47013
