ward,precinct,total,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent,precinct_id
40,1,206,137,66.5,40001
40,2,227,151,66.52,40002
40,3,252,133,52.78,40003
40,4,168,117,69.64,40004
40,5,251,155,61.75,40005
40,6,254,130,51.18,40006
40,7,285,155,54.39,40007
40,8,296,132,44.59,40008
40,9,201,146,72.64,40009
40,10,234,164,70.09,40010
40,11,287,200,69.69,40011
40,12,157,97,61.78,40012
40,13,276,137,49.64,40013
40,14,191,138,72.25,40014
40,15,223,150,67.26,40015
40,16,272,132,48.53,40016
40,17,232,149,64.22,40017
40,18,173,109,63.01,40018
40,19,314,225,71.66,40019
40,20,208,143,68.75,40020
40,21,304,138,45.39,40021
40,22,219,106,48.4,40022
40,23,313,160,51.12,40023
40,24,192,141,73.44,40024
40,25,254,113,44.49,40025
40,26,286,142,49.65,40026
40,27,323,185,57.28,40027
40,28,276,135,48.91,40028
40,29,291,193,66.32,40029
40,30,331,247,74.62,40030
40,31,279,124,44.44,40031
40,32,281,144,51.25,40032
40,33,274,136,49.64,40033
40,34,259,189,72.97,40034
40,35,174,111,63.79,40035
40,36,237,123,51.9,40036
40,37,247,135,54.66,40037
40,38,282,134,47.52,40038
40,39,61,45,73.77,40039
