ward,precinct,total,GABE BEUKINGA,GABE BEUKINGA Percent,"WALTER BURNETT, JR.","WALTER BURNETT, JR. Percent",precinct_id
27,1,142,53,37.32,89,62.68,27001
27,2,252,68,26.98,184,73.02,27002
27,3,115,30,26.09,85,73.91,27003
27,4,108,31,28.7,77,71.3,27004
27,5,153,40,26.14,113,73.86,27005
27,6,166,58,34.94,108,65.06,27006
27,7,214,92,42.99,122,57.01,27007
27,8,158,31,19.62,127,80.38,27008
27,9,94,53,56.38,41,43.62,27009
27,10,259,41,15.83,218,84.17,27010
27,11,136,43,31.62,93,68.38,27011
27,12,109,52,47.71,57,52.29,27012
27,13,324,59,18.21,265,81.79,27013
27,14,104,17,16.35,87,83.65,27014
27,15,135,30,22.22,105,77.78,27015
27,16,150,70,46.67,80,53.33,27016
27,17,201,42,20.9,159,79.1,27017
27,18,171,34,19.88,137,80.12,27018
27,19,141,38,26.95,103,73.05,27019
27,20,133,26,19.55,107,80.45,27020
27,21,153,73,47.71,80,52.29,27021
27,22,128,18,14.06,110,85.94,27022
27,23,172,24,13.95,148,86.05,27023
27,24,141,36,25.53,105,74.47,27024
27,25,170,43,25.29,127,74.71,27025
27,26,200,45,22.5,155,77.5,27026
27,27,192,32,16.67,160,83.33,27027
27,28,113,29,25.66,84,74.34,27028
27,29,146,37,25.34,109,74.66,27029
27,30,123,21,17.07,102,82.93,27030
27,31,159,38,23.9,121,76.1,27031
27,32,155,31,20.0,124,80.0,27032
27,33,155,55,35.48,100,64.52,27033
27,34,205,31,15.12,174,84.88,27034
27,35,159,59,37.11,100,62.89,27035
27,36,136,33,24.26,103,75.74,27036
27,37,251,56,22.31,195,77.69,27037
27,38,331,74,22.36,257,77.64,27038
27,39,169,41,24.26,128,75.74,27039
27,40,223,62,27.8,161,72.2,27040
27,41,218,55,25.23,163,74.77,27041
27,42,138,38,27.54,100,72.46,27042
27,43,154,55,35.71,99,64.29,27043
27,44,165,21,12.73,144,87.27,27044
27,45,198,109,55.05,89,44.95,27045
27,46,129,34,26.36,95,73.64,27046
27,47,200,43,21.5,157,78.5,27047
27,48,235,49,20.85,186,79.15,27048
27,49,127,20,15.75,107,84.25,27049
27,50,175,31,17.71,144,82.29,27050
