ward,precinct,total,DEBORAH L. GRAHAM,DEBORAH L. GRAHAM Percent,LAWRENCE ANDOLINO,LAWRENCE ANDOLINO Percent,BOB GALHOTRA,BOB GALHOTRA Percent,CHRIS TALIAFERRO,CHRIS TALIAFERRO Percent,LaCOULTON J. WALLS,LaCOULTON J. WALLS Percent,ZERLINA A. SMITH,ZERLINA A. SMITH Percent,ODDIS ''O.J'' JOHNSON,ODDIS ''O.J'' JOHNSON Percent,STEPHEN ROBINSON,STEPHEN ROBINSON Percent,precinct_id
29,1,338,55,16.27,187,55.33,34,10.06,42,12.43,1,0.3,8,2.37,0,0.0,11,3.25,29001
29,2,360,175,48.61,5,1.39,5,1.39,95,26.39,43,11.94,29,8.06,4,1.11,4,1.11,29002
29,3,265,132,49.81,1,0.38,2,0.75,88,33.21,10,3.77,25,9.43,1,0.38,6,2.26,29003
29,4,266,128,48.12,6,2.26,3,1.13,59,22.18,3,1.13,10,3.76,42,15.79,15,5.64,29004
29,5,216,85,39.35,5,2.31,4,1.85,52,24.07,34,15.74,11,5.09,16,7.41,9,4.17,29005
29,6,179,105,58.66,4,2.23,7,3.91,27,15.08,8,4.47,18,10.06,6,3.35,4,2.23,29006
29,7,243,59,24.28,65,26.75,26,10.7,62,25.51,5,2.06,11,4.53,3,1.23,12,4.94,29007
29,8,132,81,61.36,4,3.03,1,0.76,26,19.7,6,4.55,7,5.3,4,3.03,3,2.27,29008
29,9,349,43,12.32,192,55.01,62,17.77,31,8.88,4,1.15,2,0.57,7,2.01,8,2.29,29009
29,10,382,47,12.3,208,54.45,31,8.12,60,15.71,2,0.52,6,1.57,3,0.79,25,6.54,29010
29,11,132,55,41.67,3,2.27,6,4.55,32,24.24,24,18.18,6,4.55,4,3.03,2,1.52,29011
29,12,276,93,33.7,19,6.88,16,5.8,95,34.42,7,2.54,18,6.52,16,5.8,12,4.35,29012
29,13,235,135,57.45,6,2.55,3,1.28,45,19.15,2,0.85,9,3.83,19,8.09,16,6.81,29013
29,14,268,114,42.54,4,1.49,4,1.49,86,32.09,19,7.09,27,10.07,3,1.12,11,4.1,29014
29,15,290,139,47.93,9,3.1,5,1.72,100,34.48,13,4.48,9,3.1,9,3.1,6,2.07,29015
29,16,279,197,70.61,0,0.0,2,0.72,40,14.34,7,2.51,25,8.96,5,1.79,3,1.08,29016
29,17,199,131,65.83,3,1.51,2,1.01,30,15.08,10,5.03,7,3.52,9,4.52,7,3.52,29017
29,18,224,137,61.16,4,1.79,3,1.34,43,19.2,15,6.7,14,6.25,4,1.79,4,1.79,29018
29,19,246,108,43.9,1,0.41,2,0.81,86,34.96,25,10.16,16,6.5,7,2.85,1,0.41,29019
29,20,306,168,54.9,10,3.27,6,1.96,41,13.4,59,19.28,9,2.94,7,2.29,6,1.96,29020
29,21,237,141,59.49,4,1.69,3,1.27,27,11.39,30,12.66,21,8.86,7,2.95,4,1.69,29021
29,22,178,91,51.12,11,6.18,9,5.06,36,20.22,8,4.49,10,5.62,7,3.93,6,3.37,29022
29,23,254,31,12.2,91,35.83,97,38.19,24,9.45,1,0.39,6,2.36,1,0.39,3,1.18,29023
29,24,199,99,49.75,9,4.52,3,1.51,50,25.13,6,3.02,7,3.52,14,7.04,11,5.53,29024
29,25,281,133,47.33,5,1.78,6,2.14,68,24.2,5,1.78,8,2.85,29,10.32,27,9.61,29025
29,26,262,139,53.05,8,3.05,12,4.58,78,29.77,8,3.05,10,3.82,1,0.38,6,2.29,29026
29,27,233,104,44.64,3,1.29,3,1.29,44,18.88,14,6.01,10,4.29,37,15.88,18,7.73,29027
29,28,307,127,41.37,3,0.98,4,1.3,125,40.72,2,0.65,38,12.38,6,1.95,2,0.65,29028
29,29,216,13,6.02,81,37.5,45,20.83,67,31.02,4,1.85,3,1.39,1,0.46,2,0.93,29029
29,30,322,121,37.58,89,27.64,61,18.94,19,5.9,13,4.04,9,2.8,3,0.93,7,2.17,29030
29,31,217,16,7.37,104,47.93,45,20.74,42,19.35,5,2.3,1,0.46,0,0.0,4,1.84,29031
29,32,203,12,5.91,88,43.35,27,13.3,64,31.53,3,1.48,3,1.48,3,1.48,3,1.48,29032
29,33,227,140,61.67,5,2.2,5,2.2,46,20.26,14,6.17,9,3.96,6,2.64,2,0.88,29033
29,34,158,95,60.13,10,6.33,21,13.29,17,10.76,5,3.16,7,4.43,1,0.63,2,1.27,29034
29,35,166,97,58.43,2,1.2,4,2.41,24,14.46,8,4.82,14,8.43,10,6.02,7,4.22,29035
29,36,227,113,49.78,5,2.2,2,0.88,81,35.68,9,3.96,7,3.08,8,3.52,2,0.88,29036
29,37,217,134,61.75,6,2.76,4,1.84,41,18.89,12,5.53,8,3.69,4,1.84,8,3.69,29037
29,38,186,36,19.35,66,35.48,61,32.8,16,8.6,1,0.54,1,0.54,1,0.54,4,2.15,29038
29,39,182,24,13.19,84,46.15,24,13.19,34,18.68,5,2.75,6,3.3,0,0.0,5,2.75,29039
29,40,286,124,43.36,7,2.45,8,2.8,85,29.72,5,1.75,16,5.59,28,9.79,13,4.55,29040
29,41,236,109,46.19,4,1.69,2,0.85,48,20.34,6,2.54,8,3.39,32,13.56,27,11.44,29041
29,42,236,124,52.54,2,0.85,2,0.85,64,27.12,9,3.81,21,8.9,9,3.81,5,2.12,29042
29,43,313,58,18.53,121,38.66,45,14.38,69,22.04,0,0.0,6,1.92,5,1.6,9,2.88,29043
29,44,299,127,42.47,5,1.67,5,1.67,126,42.14,16,5.35,9,3.01,7,2.34,4,1.34,29044
