ward,precinct,total,MARK THOMAS,MARK THOMAS Percent,TOM TUNNEY,TOM TUNNEY Percent,SCOTT DAVIS,SCOTT DAVIS Percent,precinct_id
44,1,361,88,24.38,246,68.14,27,7.48,44001
44,2,202,46,22.77,117,57.92,39,19.31,44002
44,3,265,30,11.32,224,84.53,11,4.15,44003
44,4,299,45,15.05,242,80.94,12,4.01,44004
44,5,207,53,25.6,134,64.73,20,9.66,44005
44,6,213,43,20.19,153,71.83,17,7.98,44006
44,7,231,43,18.61,171,74.03,17,7.36,44007
44,8,249,53,21.29,180,72.29,16,6.43,44008
44,9,163,37,22.7,103,63.19,23,14.11,44009
44,10,156,42,26.92,100,64.1,14,8.97,44010
44,11,200,42,21.0,123,61.5,35,17.5,44011
44,12,257,50,19.46,182,70.82,25,9.73,44012
44,13,165,44,26.67,102,61.82,19,11.52,44013
44,14,162,38,23.46,106,65.43,18,11.11,44014
44,15,201,50,24.88,130,64.68,21,10.45,44015
44,16,221,54,24.43,135,61.09,32,14.48,44016
44,17,298,65,21.81,202,67.79,31,10.4,44017
44,18,196,37,18.88,155,79.08,4,2.04,44018
44,19,281,105,37.37,158,56.23,18,6.41,44019
44,20,142,47,33.1,86,60.56,9,6.34,44020
44,21,220,57,25.91,148,67.27,15,6.82,44021
44,22,280,63,22.5,198,70.71,19,6.79,44022
44,23,160,36,22.5,108,67.5,16,10.0,44023
44,24,284,93,32.75,177,62.32,14,4.93,44024
44,25,187,35,18.72,122,65.24,30,16.04,44025
44,26,201,60,29.85,112,55.72,29,14.43,44026
44,27,219,40,18.26,155,70.78,24,10.96,44027
44,28,236,66,27.97,155,65.68,15,6.36,44028
44,29,189,38,20.11,136,71.96,15,7.94,44029
44,30,201,37,18.41,137,68.16,27,13.43,44030
44,31,186,42,22.58,121,65.05,23,12.37,44031
44,32,252,62,24.6,151,59.92,39,15.48,44032
44,33,203,54,26.6,134,66.01,15,7.39,44033
44,34,267,56,20.97,173,64.79,38,14.23,44034
44,35,336,70,20.83,248,73.81,18,5.36,44035
44,36,192,51,26.56,126,65.63,15,7.81,44036
44,37,259,85,32.82,149,57.53,25,9.65,44037
44,38,186,61,32.8,104,55.91,21,11.29,44038
44,39,164,46,28.05,106,64.63,12,7.32,44039
44,40,218,37,16.97,158,72.48,23,10.55,44040
44,41,224,52,23.21,159,70.98,13,5.8,44041
