ward,precinct,total,RICARDO MUNOZ,RICARDO MUNOZ Percent,NEFTALIE GONZALEZ,NEFTALIE GONZALEZ Percent,"RAUL MONTES, JR.","RAUL MONTES, JR. Percent",ROBERT MARTINEZ,ROBERT MARTINEZ Percent,precinct_id
22,1,148,97,65.54,13,8.78,15,10.14,23,15.54,22001
22,2,263,120,45.63,15,5.7,34,12.93,94,35.74,22002
22,3,253,132,52.17,52,20.55,60,23.72,9,3.56,22003
22,4,169,99,58.58,37,21.89,21,12.43,12,7.1,22004
22,5,217,92,42.4,12,5.53,74,34.1,39,17.97,22005
22,6,241,109,45.23,19,7.88,105,43.57,8,3.32,22006
22,7,141,93,65.96,31,21.99,15,10.64,2,1.42,22007
22,8,265,150,56.6,18,6.79,13,4.91,84,31.7,22008
22,9,175,123,70.29,25,14.29,17,9.71,10,5.71,22009
22,10,288,159,55.21,42,14.58,71,24.65,16,5.56,22010
22,11,174,120,68.97,15,8.62,22,12.64,17,9.77,22011
22,12,219,122,55.71,19,8.68,25,11.42,53,24.2,22012
22,13,205,110,53.66,38,18.54,46,22.44,11,5.37,22013
22,14,169,117,69.23,24,14.2,10,5.92,18,10.65,22014
22,15,156,100,64.1,36,23.08,10,6.41,10,6.41,22015
22,16,179,86,48.04,24,13.41,41,22.91,28,15.64,22016
22,17,202,112,55.45,23,11.39,57,28.22,10,4.95,22017
22,18,167,102,61.08,38,22.75,9,5.39,18,10.78,22018
22,19,85,61,71.76,7,8.24,9,10.59,8,9.41,22019
22,20,184,94,51.09,17,9.24,58,31.52,15,8.15,22020
22,21,262,167,63.74,27,10.31,55,20.99,13,4.96,22021
22,22,155,92,59.35,30,19.35,9,5.81,24,15.48,22022
22,23,296,196,66.22,17,5.74,32,10.81,51,17.23,22023
22,24,254,161,63.39,38,14.96,46,18.11,9,3.54,22024
22,25,212,114,53.77,52,24.53,33,15.57,13,6.13,22025
