ward,precinct,total,REY COLON,REY COLON Percent,CARLOS RAMIREZ-ROSA,CARLOS RAMIREZ-ROSA Percent,precinct_id
35,1,231,78,33.77,153,66.23,35001
35,2,288,80,27.78,208,72.22,35002
35,3,175,73,41.71,102,58.29,35003
35,4,254,117,46.06,137,53.94,35004
35,5,187,65,34.76,122,65.24,35005
35,6,177,54,30.51,123,69.49,35006
35,7,206,60,29.13,146,70.87,35007
35,8,178,61,34.27,117,65.73,35008
35,9,222,45,20.27,177,79.73,35009
35,10,261,75,28.74,186,71.26,35010
35,11,234,85,36.32,149,63.68,35011
35,12,130,48,36.92,82,63.08,35012
35,13,139,63,45.32,76,54.68,35013
35,14,161,60,37.27,101,62.73,35014
35,15,250,58,23.2,192,76.8,35015
35,16,127,60,47.24,67,52.76,35016
35,17,196,78,39.8,118,60.2,35017
35,18,196,84,42.86,112,57.14,35018
35,19,133,56,42.11,77,57.89,35019
35,20,136,32,23.53,104,76.47,35020
35,21,188,76,40.43,112,59.57,35021
35,22,217,59,27.19,158,72.81,35022
35,23,211,53,25.12,158,74.88,35023
35,24,184,62,33.7,122,66.3,35024
35,25,214,79,36.92,135,63.08,35025
35,26,181,73,40.33,108,59.67,35026
35,27,187,67,35.83,120,64.17,35027
35,28,205,43,20.98,162,79.02,35028
35,29,167,47,28.14,120,71.86,35029
35,30,198,51,25.76,147,74.24,35030
35,31,236,45,19.07,191,80.93,35031
