ward,precinct,total,SEAN C. STARR,SEAN C. STARR Percent,IRMA CORNIER,IRMA CORNIER Percent,MILAGROS SANTIAGO,MILAGROS SANTIAGO Percent,REGNER ''RAY'' SUAREZ,REGNER ''RAY'' SUAREZ Percent,precinct_id
31,1,146,2,1.37,4,2.74,64,43.84,76,52.05,31001
31,2,139,2,1.44,4,2.88,50,35.97,83,59.71,31002
31,3,145,11,7.59,4,2.76,77,53.1,53,36.55,31003
31,4,164,41,25.0,13,7.93,59,35.98,51,31.1,31004
31,5,159,10,6.29,9,5.66,87,54.72,53,33.33,31005
31,6,152,1,0.66,2,1.32,41,26.97,108,71.05,31006
31,7,137,51,37.23,6,4.38,52,37.96,28,20.44,31007
31,8,96,11,11.46,7,7.29,44,45.83,34,35.42,31008
31,9,134,9,6.72,7,5.22,74,55.22,44,32.84,31009
31,10,123,16,13.01,4,3.25,41,33.33,62,50.41,31010
31,11,112,19,16.96,6,5.36,53,47.32,34,30.36,31011
31,12,125,19,15.2,9,7.2,42,33.6,55,44.0,31012
31,13,138,7,5.07,2,1.45,53,38.41,76,55.07,31013
31,14,126,13,10.32,3,2.38,65,51.59,45,35.71,31014
31,15,127,5,3.94,10,7.87,42,33.07,70,55.12,31015
31,16,190,55,28.95,17,8.95,54,28.42,64,33.68,31016
31,17,163,9,5.52,8,4.91,89,54.6,57,34.97,31017
31,18,159,14,8.81,9,5.66,60,37.74,76,47.8,31018
31,19,127,6,4.72,6,4.72,46,36.22,69,54.33,31019
31,20,133,4,3.01,6,4.51,25,18.8,98,73.68,31020
31,21,142,2,1.41,15,10.56,33,23.24,92,64.79,31021
31,22,128,3,2.34,11,8.59,41,32.03,73,57.03,31022
31,23,131,12,9.16,4,3.05,59,45.04,56,42.75,31023
31,24,188,5,2.66,11,5.85,52,27.66,120,63.83,31024
31,25,115,10,8.7,6,5.22,50,43.48,49,42.61,31025
31,26,172,26,15.12,9,5.23,60,34.88,77,44.77,31026
31,27,168,2,1.19,8,4.76,44,26.19,114,67.86,31027
31,28,113,6,5.31,5,4.42,45,39.82,57,50.44,31028
31,29,196,17,8.67,5,2.55,54,27.55,120,61.22,31029
31,30,92,5,5.43,3,3.26,30,32.61,54,58.7,31030
31,31,149,5,3.36,7,4.7,59,39.6,78,52.35,31031
31,32,123,6,4.88,9,7.32,43,34.96,65,52.85,31032
31,33,130,21,16.15,5,3.85,51,39.23,53,40.77,31033
31,34,130,22,16.92,3,2.31,51,39.23,54,41.54,31034
31,35,167,12,7.19,10,5.99,76,45.51,69,41.32,31035
31,36,173,11,6.36,8,4.62,52,30.06,102,58.96,31036
31,37,135,2,1.48,6,4.44,39,28.89,88,65.19,31037
31,38,123,2,1.63,6,4.88,39,31.71,76,61.79,31038
31,39,146,59,40.41,10,6.85,43,29.45,34,23.29,31039
31,40,144,30,20.83,6,4.17,63,43.75,45,31.25,31040
31,41,125,5,4.0,10,8.0,44,35.2,66,52.8,31041
