ward,precinct,total,MATTHEW J. O'SHEA,MATTHEW J. O'SHEA Percent,ANNE SCHAIBLE,ANNE SCHAIBLE Percent,precinct_id
19,1,317,256,80.76,61,19.24,19001
19,2,426,318,74.65,108,25.35,19002
19,3,237,165,69.62,72,30.38,19003
19,4,377,275,72.94,102,27.06,19004
19,5,370,236,63.78,134,36.22,19005
19,6,336,234,69.64,102,30.36,19006
19,7,317,249,78.55,68,21.45,19007
19,8,335,254,75.82,81,24.18,19008
19,9,253,204,80.63,49,19.37,19009
19,10,381,258,67.72,123,32.28,19010
19,11,322,234,72.67,88,27.33,19011
19,12,273,201,73.63,72,26.37,19012
19,13,349,248,71.06,101,28.94,19013
19,14,335,232,69.25,103,30.75,19014
19,15,419,288,68.74,131,31.26,19015
19,16,321,261,81.31,60,18.69,19016
19,17,292,215,73.63,77,26.37,19017
19,18,304,235,77.3,69,22.7,19018
19,19,394,257,65.23,137,34.77,19019
19,20,253,180,71.15,73,28.85,19020
19,21,343,250,72.89,93,27.11,19021
19,22,346,232,67.05,114,32.95,19022
19,23,328,252,76.83,76,23.17,19023
19,24,253,193,76.28,60,23.72,19024
19,25,304,189,62.17,115,37.83,19025
19,26,328,237,72.26,91,27.74,19026
19,27,303,226,74.59,77,25.41,19027
19,28,330,268,81.21,62,18.79,19028
19,29,290,195,67.24,95,32.76,19029
19,30,262,184,70.23,78,29.77,19030
19,31,292,201,68.84,91,31.16,19031
19,32,295,216,73.22,79,26.78,19032
19,33,320,239,74.69,81,25.31,19033
19,34,320,243,75.94,77,24.06,19034
19,35,282,207,73.4,75,26.6,19035
19,36,331,245,74.02,86,25.98,19036
19,37,294,228,77.55,66,22.45,19037
19,38,277,208,75.09,69,24.91,19038
19,39,75,47,62.67,28,37.33,19039
19,40,324,224,69.14,100,30.86,19040
19,41,288,205,71.18,83,28.82,19041
19,42,251,161,64.14,90,35.86,19042
19,43,362,302,83.43,60,16.57,19043
19,44,345,258,74.78,87,25.22,19044
19,45,337,271,80.42,66,19.58,19045
19,46,352,269,76.42,83,23.58,19046
19,47,455,323,70.99,132,29.01,19047
19,48,305,244,80.0,61,20.0,19048
19,49,398,284,71.36,114,28.64,19049
19,50,245,178,72.65,67,27.35,19050
19,51,380,315,82.89,65,17.11,19051
19,52,324,212,65.43,112,34.57,19052
19,53,311,222,71.38,89,28.62,19053
19,54,247,169,68.42,78,31.58,19054
19,55,279,197,70.61,82,29.39,19055
19,56,368,202,54.89,166,45.11,19056
19,57,277,192,69.31,85,30.69,19057
