ward,precinct,total,TIM MEEGAN,TIM MEEGAN Percent,DEBORAH L. MELL,DEBORAH L. MELL Percent,ANNISA WANAT,ANNISA WANAT Percent,precinct_id
33,1,267,109,40.82,120,44.94,38,14.23,33001
33,2,334,126,37.72,161,48.2,47,14.07,33002
33,3,302,122,40.4,106,35.1,74,24.5,33003
33,4,274,90,32.85,151,55.11,33,12.04,33004
33,5,207,58,28.02,125,60.39,24,11.59,33005
33,6,241,57,23.65,167,69.29,17,7.05,33006
33,7,298,102,34.23,124,41.61,72,24.16,33007
33,8,465,185,39.78,162,34.84,118,25.38,33008
33,9,289,73,25.26,185,64.01,31,10.73,33009
33,10,309,77,24.92,204,66.02,28,9.06,33010
33,11,275,110,40.0,113,41.09,52,18.91,33011
33,12,289,71,24.57,192,66.44,26,9.0,33012
33,13,247,59,23.89,162,65.59,26,10.53,33013
33,14,112,41,36.61,58,51.79,13,11.61,33014
33,15,328,141,42.99,137,41.77,50,15.24,33015
33,16,408,126,30.88,256,62.75,26,6.37,33016
33,17,310,129,41.61,133,42.9,48,15.48,33017
33,18,300,127,42.33,113,37.67,60,20.0,33018
33,19,238,63,26.47,127,53.36,48,20.17,33019
33,20,313,142,45.37,102,32.59,69,22.04,33020
33,21,285,125,43.86,131,45.96,29,10.18,33021
33,22,350,71,20.29,256,73.14,23,6.57,33022
33,23,312,117,37.5,133,42.63,62,19.87,33023
33,24,483,138,28.57,227,47.0,118,24.43,33024
33,25,328,100,30.49,172,52.44,56,17.07,33025
33,26,190,54,28.42,101,53.16,35,18.42,33026
33,27,214,98,45.79,84,39.25,32,14.95,33027
33,28,203,68,33.5,101,49.75,34,16.75,33028
