ward,precinct,total,BRENDAN REILLY,BRENDAN REILLY Percent,precinct_id
42,1,243,243,100.0,42001
42,2,143,143,100.0,42002
42,3,136,136,100.0,42003
42,4,264,264,100.0,42004
42,5,118,118,100.0,42005
42,6,297,297,100.0,42006
42,7,229,229,100.0,42007
42,8,207,207,100.0,42008
42,9,152,152,100.0,42009
42,10,160,160,100.0,42010
42,11,180,180,100.0,42011
42,12,134,134,100.0,42012
42,13,307,307,100.0,42013
42,14,119,119,100.0,42014
42,15,94,94,100.0,42015
42,16,155,155,100.0,42016
42,17,155,155,100.0,42017
42,18,123,123,100.0,42018
42,19,213,213,100.0,42019
42,20,113,113,100.0,42020
42,21,111,111,100.0,42021
42,22,82,82,100.0,42022
42,23,144,144,100.0,42023
42,24,187,187,100.0,42024
42,25,183,183,100.0,42025
42,26,179,179,100.0,42026
42,27,191,191,100.0,42027
42,28,280,280,100.0,42028
42,29,146,146,100.0,42029
42,30,222,222,100.0,42030
42,31,155,155,100.0,42031
42,32,116,116,100.0,42032
42,33,157,157,100.0,42033
42,34,214,214,100.0,42034
42,35,245,245,100.0,42035
42,36,165,165,100.0,42036
42,37,85,85,100.0,42037
42,38,133,133,100.0,42038
42,39,110,110,100.0,42039
42,40,169,169,100.0,42040
42,41,159,159,100.0,42041
42,42,196,196,100.0,42042
