ward,precinct,total,DEBRA L. SILVERSTEIN,DEBRA L. SILVERSTEIN Percent,SHAJAN M. KURIAKOSE,SHAJAN M. KURIAKOSE Percent,ZEHRA QUADRI,ZEHRA QUADRI Percent,precinct_id
50,1,253,173,68.38,47,18.58,33,13.04,50001
50,2,151,99,65.56,38,25.17,14,9.27,50002
50,3,246,171,69.51,43,17.48,32,13.01,50003
50,4,250,159,63.6,49,19.6,42,16.8,50004
50,5,209,156,74.64,35,16.75,18,8.61,50005
50,6,258,189,73.26,30,11.63,39,15.12,50006
50,7,319,186,58.31,83,26.02,50,15.67,50007
50,8,183,121,66.12,31,16.94,31,16.94,50008
50,9,199,126,63.32,33,16.58,40,20.1,50009
50,10,208,121,58.17,36,17.31,51,24.52,50010
50,11,155,126,81.29,24,15.48,5,3.23,50011
50,12,128,86,67.19,26,20.31,16,12.5,50012
50,13,186,96,51.61,22,11.83,68,36.56,50013
50,14,89,75,84.27,11,12.36,3,3.37,50014
50,15,289,168,58.13,68,23.53,53,18.34,50015
50,16,100,75,75.0,15,15.0,10,10.0,50016
50,17,176,122,69.32,21,11.93,33,18.75,50017
50,18,75,74,98.67,0,0.0,1,1.33,50018
50,19,157,65,41.4,34,21.66,58,36.94,50019
50,20,249,140,56.22,58,23.29,51,20.48,50020
50,21,168,108,64.29,29,17.26,31,18.45,50021
50,22,170,127,74.71,16,9.41,27,15.88,50022
50,23,152,88,57.89,21,13.82,43,28.29,50023
50,24,214,159,74.3,44,20.56,11,5.14,50024
50,25,226,141,62.39,69,30.53,16,7.08,50025
50,26,194,125,64.43,23,11.86,46,23.71,50026
50,27,88,53,60.23,3,3.41,32,36.36,50027
50,28,227,157,69.16,23,10.13,47,20.7,50028
50,29,156,72,46.15,31,19.87,53,33.97,50029
50,30,170,85,50.0,44,25.88,41,24.12,50030
50,31,202,99,49.01,28,13.86,75,37.13,50031
50,32,205,106,51.71,37,18.05,62,30.24,50032
50,33,197,137,69.54,40,20.3,20,10.15,50033
50,34,289,174,60.21,66,22.84,49,16.96,50034
50,35,258,147,56.98,61,23.64,50,19.38,50035
50,36,236,165,69.92,41,17.37,30,12.71,50036
50,37,216,151,69.91,30,13.89,35,16.2,50037
50,38,149,104,69.8,33,22.15,12,8.05,50038
50,39,143,95,66.43,28,19.58,20,13.99,50039
50,40,265,203,76.6,35,13.21,27,10.19,50040
