ward,precinct,total,MICHELLE A. HARRIS,MICHELLE A. HARRIS Percent,FAHEEM SHABAZZ,FAHEEM SHABAZZ Percent,precinct_id
8,1,174,117,67.24,35,20.11,08001
8,2,210,137,65.24,34,16.19,08002
8,3,322,234,72.67,21,6.52,08003
8,4,295,241,81.69,30,10.17,08004
8,5,333,213,63.96,54,16.22,08005
8,6,260,167,64.23,42,16.15,08006
8,7,317,217,68.45,72,22.71,08007
8,8,297,203,68.35,26,8.75,08008
8,9,178,122,68.54,44,24.72,08009
8,10,354,232,65.54,44,12.43,08010
8,11,248,181,72.98,48,19.35,08011
8,12,224,139,62.05,48,21.43,08012
8,13,277,166,59.93,77,27.8,08013
8,14,123,75,60.98,29,23.58,08014
8,15,213,168,78.87,25,11.74,08015
8,16,67,46,68.66,14,20.9,08016
8,17,243,186,76.54,27,11.11,08017
8,18,199,149,74.87,29,14.57,08018
8,19,341,238,69.79,44,12.9,08019
8,20,278,186,66.91,54,19.42,08020
8,21,276,154,55.8,52,18.84,08021
8,22,233,155,66.52,52,22.32,08022
8,23,202,139,68.81,26,12.87,08023
8,24,166,88,53.01,61,36.75,08024
8,25,222,162,72.97,23,10.36,08025
8,26,221,174,78.73,20,9.05,08026
8,27,297,199,67.0,47,15.82,08027
8,28,270,187,69.26,48,17.78,08028
8,29,281,178,63.35,51,18.15,08029
8,30,278,191,68.71,37,13.31,08030
8,31,200,137,68.5,27,13.5,08031
8,32,215,177,82.33,24,11.16,08032
8,33,248,145,58.47,28,11.29,08033
8,34,254,174,68.5,48,18.9,08034
8,35,304,180,59.21,31,10.2,08035
8,36,275,202,73.45,54,19.64,08036
8,37,247,155,62.75,53,21.46,08037
8,38,171,104,60.82,39,22.81,08038
8,39,263,204,77.57,36,13.69,08039
8,40,188,121,64.36,25,13.3,08040
8,41,252,166,65.87,47,18.65,08041
8,42,306,216,70.59,55,17.97,08042
8,43,115,82,71.3,24,20.87,08043
8,44,177,138,77.97,19,10.73,08044
8,45,176,120,68.18,21,11.93,08045
8,46,194,119,61.34,62,31.96,08046
8,47,220,171,77.73,28,12.73,08047
8,48,212,137,64.62,38,17.92,08048
8,49,262,186,70.99,31,11.83,08049
8,50,301,231,76.74,30,9.97,08050
8,51,286,176,61.54,36,12.59,08051
8,52,360,260,72.22,39,10.83,08052
8,53,150,88,58.67,42,28.0,08053
8,54,162,107,66.05,28,17.28,08054
8,55,160,125,78.13,19,11.88,08055
8,56,279,202,72.4,15,5.38,08056
