ward,precinct,total,MARY O'CONNOR,MARY O'CONNOR Percent,JOE LOMANTO,JOE LOMANTO Percent,ANTHONY V. NAPOLITANO,ANTHONY V. NAPOLITANO Percent,precinct_id
41,1,327,107,32.72,48,14.68,172,52.6,41001
41,2,361,142,39.34,46,12.74,173,47.92,41002
41,3,304,164,53.95,18,5.92,122,40.13,41003
41,4,374,209,55.88,42,11.23,123,32.89,41004
41,5,309,134,43.37,44,14.24,131,42.39,41005
41,6,359,238,66.3,25,6.96,96,26.74,41006
41,7,404,149,36.88,86,21.29,169,41.83,41007
41,8,339,134,39.53,40,11.8,165,48.67,41008
41,9,306,153,50.0,30,9.8,123,40.2,41009
41,10,380,192,50.53,36,9.47,152,40.0,41010
41,11,364,153,42.03,43,11.81,168,46.15,41011
41,12,307,193,62.87,23,7.49,91,29.64,41012
41,13,360,122,33.89,29,8.06,209,58.06,41013
41,14,360,204,56.67,54,15.0,102,28.33,41014
41,15,381,161,42.26,32,8.4,188,49.34,41015
41,16,295,161,54.58,23,7.8,111,37.63,41016
41,17,311,175,56.27,24,7.72,112,36.01,41017
41,18,307,127,41.37,25,8.14,155,50.49,41018
41,19,377,212,56.23,38,10.08,127,33.69,41019
41,20,272,167,61.4,19,6.99,86,31.62,41020
41,21,322,176,54.66,30,9.32,116,36.02,41021
41,22,340,149,43.82,43,12.65,148,43.53,41022
41,23,325,131,40.31,11,3.38,183,56.31,41023
41,24,292,144,49.32,16,5.48,132,45.21,41024
41,25,137,85,62.04,10,7.3,42,30.66,41025
41,26,345,167,48.41,34,9.86,144,41.74,41026
41,27,193,92,47.67,13,6.74,88,45.6,41027
41,28,175,107,61.14,21,12.0,47,26.86,41028
41,29,145,98,67.59,15,10.34,32,22.07,41029
41,30,321,138,42.99,23,7.17,160,49.84,41030
41,31,398,293,73.62,26,6.53,79,19.85,41031
41,32,249,119,47.79,17,6.83,113,45.38,41032
41,33,296,117,39.53,22,7.43,157,53.04,41033
41,34,274,104,37.96,19,6.93,151,55.11,41034
41,35,366,131,35.79,34,9.29,201,54.92,41035
41,36,302,130,43.05,24,7.95,148,49.01,41036
41,37,332,165,49.7,22,6.63,145,43.67,41037
41,38,283,119,42.05,19,6.71,145,51.24,41038
41,39,337,186,55.19,29,8.61,122,36.2,41039
41,40,399,158,39.6,71,17.79,170,42.61,41040
41,41,342,132,38.6,16,4.68,194,56.73,41041
41,42,328,149,45.43,40,12.2,139,42.38,41042
41,43,328,128,39.02,19,5.79,181,55.18,41043
41,44,367,134,36.51,51,13.9,182,49.59,41044
41,45,272,133,48.9,29,10.66,110,40.44,41045
41,46,368,196,53.26,37,10.05,135,36.68,41046
41,47,311,154,49.52,43,13.83,114,36.66,41047
