ward,precinct,total,PAT DOWELL,PAT DOWELL Percent,PATRICIA HORTON,PATRICIA HORTON Percent,precinct_id
3,1,289,183,63.32,106,36.68,03001
3,2,421,356,84.56,65,15.44,03002
3,3,276,224,81.16,52,18.84,03003
3,4,287,215,74.91,72,25.09,03004
3,5,190,133,70.0,57,30.0,03005
3,6,246,187,76.02,59,23.98,03006
3,7,265,206,77.74,59,22.26,03007
3,8,189,132,69.84,57,30.16,03008
3,9,289,203,70.24,86,29.76,03009
3,10,151,105,69.54,46,30.46,03010
3,11,245,160,65.31,85,34.69,03011
3,12,326,252,77.3,74,22.7,03012
3,13,295,262,88.81,33,11.19,03013
3,14,183,131,71.58,52,28.42,03014
3,15,232,138,59.48,94,40.52,03015
3,16,233,154,66.09,79,33.91,03016
3,17,242,173,71.49,69,28.51,03017
3,18,330,246,74.55,84,25.45,03018
3,19,204,151,74.02,53,25.98,03019
3,20,256,188,73.44,68,26.56,03020
3,21,264,194,73.48,70,26.52,03021
3,22,215,163,75.81,52,24.19,03022
3,23,237,152,64.14,85,35.86,03023
3,24,244,161,65.98,83,34.02,03024
3,25,263,198,75.29,65,24.71,03025
3,26,330,258,78.18,72,21.82,03026
3,27,210,154,73.33,56,26.67,03027
3,28,244,206,84.43,38,15.57,03028
3,29,272,164,60.29,108,39.71,03029
3,30,285,199,69.82,86,30.18,03030
3,31,294,217,73.81,77,26.19,03031
3,32,232,170,73.28,62,26.72,03032
3,33,174,129,74.14,45,25.86,03033
3,34,274,193,70.44,81,29.56,03034
3,35,118,75,63.56,43,36.44,03035
3,36,136,69,50.74,67,49.26,03036
3,37,213,165,77.46,48,22.54,03037
3,38,308,241,78.25,67,21.75,03038
3,39,190,143,75.26,47,24.74,03039
3,40,286,189,66.08,97,33.92,03040
3,41,271,202,74.54,69,25.46,03041
