ward,precinct,total,LEROY DUNCAN,LEROY DUNCAN Percent,EMMA M. MITTS,EMMA M. MITTS Percent,MARETTA BROWN-MILLER,MARETTA BROWN-MILLER Percent,TARA STAMPS,TARA STAMPS Percent,precinct_id
37,1,180,29,16.11,89,49.44,24,13.33,38,21.11,37001
37,2,122,13,10.66,49,40.16,23,18.85,37,30.33,37002
37,3,142,5,3.52,55,38.73,23,16.2,59,41.55,37003
37,4,188,10,5.32,85,45.21,23,12.23,70,37.23,37004
37,5,250,13,5.2,107,42.8,39,15.6,91,36.4,37005
37,6,237,46,19.41,100,42.19,35,14.77,56,23.63,37006
37,7,155,4,2.58,94,60.65,19,12.26,38,24.52,37007
37,8,129,8,6.2,69,53.49,7,5.43,45,34.88,37008
37,9,209,16,7.66,67,32.06,38,18.18,88,42.11,37009
37,10,246,7,2.85,117,47.56,31,12.6,91,36.99,37010
37,11,152,4,2.63,77,50.66,25,16.45,46,30.26,37011
37,12,146,15,10.27,61,41.78,12,8.22,58,39.73,37012
37,13,151,3,1.99,73,48.34,25,16.56,50,33.11,37013
37,14,219,3,1.37,115,52.51,19,8.68,82,37.44,37014
37,15,231,4,1.73,144,62.34,25,10.82,58,25.11,37015
37,16,243,15,6.17,121,49.79,23,9.47,84,34.57,37016
37,17,163,3,1.84,93,57.06,15,9.2,52,31.9,37017
37,18,216,5,2.31,120,55.56,22,10.19,69,31.94,37018
37,19,135,16,11.85,62,45.93,17,12.59,40,29.63,37019
37,20,154,4,2.6,78,50.65,19,12.34,53,34.42,37020
37,21,190,9,4.74,120,63.16,21,11.05,40,21.05,37021
37,22,197,12,6.09,96,48.73,17,8.63,72,36.55,37022
37,23,239,8,3.35,127,53.14,33,13.81,71,29.71,37023
37,24,197,11,5.58,83,42.13,28,14.21,75,38.07,37024
37,25,217,7,3.23,103,47.47,32,14.75,75,34.56,37025
37,26,269,12,4.46,139,51.67,44,16.36,74,27.51,37026
37,27,204,6,2.94,117,57.35,23,11.27,58,28.43,37027
37,28,180,4,2.22,110,61.11,28,15.56,38,21.11,37028
37,29,232,12,5.17,98,42.24,37,15.95,85,36.64,37029
37,30,192,16,8.33,103,53.65,25,13.02,48,25.0,37030
37,31,245,11,4.49,99,40.41,26,10.61,109,44.49,37031
37,32,213,33,15.49,77,36.15,34,15.96,69,32.39,37032
37,33,230,6,2.61,124,53.91,23,10.0,77,33.48,37033
37,34,203,10,4.93,134,66.01,8,3.94,51,25.12,37034
37,35,243,9,3.7,130,53.5,30,12.35,74,30.45,37035
37,36,184,7,3.8,106,57.61,23,12.5,48,26.09,37036
37,37,209,9,4.31,96,45.93,37,17.7,67,32.06,37037
37,38,251,33,13.15,101,40.24,42,16.73,75,29.88,37038
37,39,190,10,5.26,87,45.79,25,13.16,68,35.79,37039
37,40,237,3,1.27,109,45.99,44,18.57,81,34.18,37040
37,41,226,21,9.29,98,43.36,27,11.95,80,35.4,37041
